Topic_Id	Primary
0	?
1	Sports
2	Media
3	Poitics & gov't
4	?
5	Music
6	Sports
7	Relgiion (catholicism)
8	Education
9	Popular culture
10	?
11	Art
12	Music
13	Music
14	Literature & theater
15	?
16	?
17	Media
18	Personal Life
19	Business / tech / aviation
20	Humanities & social sciences
21	Sports
22	Science
23	?
24	Warfare and military
25	Law & crime
26	?
27	?
28	Royalty (personal life)
29	?
