#doc name topic proportion ...
0	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/A._E._J._Collins	28	0.27898550724637683	21	0.19420289855072462	16	0.08659420289855073	3	0.0822463768115942	29	0.07572463768115943	6	0.048550724637681154	10	0.031159420289855074	19	0.02246376811594203	7	0.0213768115942029	23	0.02028985507246377	5	0.01920289855072464	11	0.017028985507246377	20	0.015942028985507246	13	0.015942028985507246	4	0.012681159420289854	17	0.008333333333333333	22	0.007246376811594203	15	0.006159420289855073	27	0.0050724637681159425	26	0.0050724637681159425	8	0.0050724637681159425	2	0.003985507246376812	25	0.0028985507246376816	18	0.0028985507246376816	24	0.0018115942028985507	14	0.0018115942028985507	12	0.0018115942028985507	9	0.0018115942028985507	1	0.0018115942028985507	0	0.0018115942028985507	
1	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Aaron_Sorkin	20	0.4038699516256047	22	0.13589830127123412	3	0.11531105861176735	23	0.06502418719766002	8	0.04916188547643154	21	0.045786927663404205	5	0.03532455844301947	19	0.03431207109911126	11	0.025199685003937454	16	0.012037349533130836	12	0.011024862189222634	26	0.0096748790640117	2	0.007649904376195298	17	0.007312408594892564	24	0.0062999212509843635	27	0.004949938125773427	4	0.004612442344470694	0	0.004612442344470694	29	0.0039374507818652265	1	0.003599955000562493	6	0.003262459219259759	7	0.0029249634379570253	13	0.002249971875351558	15	0.001237484531443357	10	0.001237484531443357	25	8.999887501406233E-4	9	8.999887501406233E-4	28	5.624929688378895E-4	18	5.624929688378895E-4	14	5.624929688378895E-4	
2	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Abbas_Kiarostami	20	0.3292532498339501	23	0.2395862985102951	3	0.0969731473574343	19	0.06480690767625012	5	0.054843913084732895	26	0.05199734320144226	21	0.048296802353164435	27	0.032356011006736886	4	0.010437422905398994	13	0.01015276591706993	22	0.007021539045450233	0	0.0064522250687921055	9	0.005313597115475852	15	0.005028940127146789	8	0.005028940127146789	18	0.004459626150488661	17	0.0036056551855014707	11	0.0036056551855014707	25	0.00275168422051428	7	0.0024670272321852165	2	0.0024670272321852165	28	0.00189771325552709	6	0.00189771325552709	24	0.0016130562671980264	10	0.0016130562671980264	1	0.0016130562671980264	16	0.001328399278868963	12	0.001328399278868963	29	0.0010437422905398995	14	7.590853022108361E-4	
3	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Abdul_Karim_(the_Munshi)	10	0.4170398009950249	21	0.16965174129353233	5	0.12375621890547264	3	0.09763681592039802	23	0.05733830845771144	1	0.019651741293532338	2	0.01517412935323383	19	0.012935323383084577	22	0.01181592039800995	24	0.00808457711442786	20	0.00808457711442786	12	0.007711442786069652	27	0.006965174129353234	17	0.006592039800995026	4	0.006592039800995026	29	0.005099502487562189	28	0.003233830845771144	16	0.003233830845771144	7	0.003233830845771144	26	0.0028606965174129352	9	0.0024875621890547263	15	0.0021144278606965174	25	0.0017412935323383085	11	0.0017412935323383085	18	9.950248756218907E-4	14	9.950248756218907E-4	8	9.950248756218907E-4	0	9.950248756218907E-4	13	6.218905472636816E-4	6	6.218905472636816E-4	
4	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Abu_Nidal	2	0.40118641313180564	21	0.17861205915813425	5	0.1025516008451162	3	0.0910937753941167	19	0.04428733950918251	23	0.033804648139119126	7	0.03039167885584268	22	0.029904111815374616	29	0.015033317081098651	10	0.008694945555013813	25	0.007719811474077686	15	0.007476027953843654	18	0.006500893872907525	4	0.006500893872907525	1	0.004550625711035268	20	0.004063058670567203	11	0.003819275150333171	8	0.003819275150333171	26	0.0033317081098651062	14	0.0033317081098651062	24	0.00260035754916301	28	0.0021127905086949453	27	0.0021127905086949453	0	0.0016252234682268812	9	0.001381439947992849	17	8.938729075247847E-4	16	8.938729075247847E-4	12	6.500893872907526E-4	6	6.500893872907526E-4	13	4.063058670567203E-4	
5	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/AC_DC	11	0.05128205128205129	10	0.05128205128205129	29	0.032051282051282055	28	0.032051282051282055	27	0.032051282051282055	26	0.032051282051282055	25	0.032051282051282055	24	0.032051282051282055	23	0.032051282051282055	22	0.032051282051282055	21	0.032051282051282055	20	0.032051282051282055	19	0.032051282051282055	18	0.032051282051282055	17	0.032051282051282055	16	0.032051282051282055	15	0.032051282051282055	14	0.032051282051282055	13	0.032051282051282055	12	0.032051282051282055	9	0.032051282051282055	8	0.032051282051282055	7	0.032051282051282055	6	0.032051282051282055	5	0.032051282051282055	4	0.032051282051282055	3	0.032051282051282055	2	0.032051282051282055	1	0.032051282051282055	0	0.032051282051282055	
6	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adam_Gilchrist	28	0.6898449949297406	3	0.09771114008402144	6	0.07598145733738955	5	0.04251774590757641	4	0.01644212661161814	23	0.012530783717224395	21	0.012096190062291757	11	0.00709836303056642	24	0.005359988410835868	20	0.005359988410835868	27	0.0034043169636389973	22	0.003187020136172678	1	0.003187020136172678	12	0.0029697233087063596	7	0.0029697233087063596	2	0.0025351296537737215	0	0.0025351296537737215	16	0.0023178328263074024	26	0.0014486455164421266	19	0.0014486455164421266	17	0.0014486455164421266	8	0.0014486455164421266	10	0.0012313486889758078	9	0.0012313486889758078	18	7.967550340431697E-4	13	7.967550340431697E-4	29	5.794582065768507E-4	25	5.794582065768507E-4	15	5.794582065768507E-4	14	3.6216137911053165E-4	
7	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adelaide_Anne_Procter	26	0.3489454943851	23	0.23637359627499316	21	0.10408107367844427	3	0.05560120514927418	10	0.04656258559298822	5	0.04409750753218296	1	0.043275814845247874	8	0.02026841961106546	25	0.013694878115584772	19	0.012051492741714598	13	0.011229800054779512	22	0.010408107367844425	12	0.006299643933168995	20	0.005477951246233909	0	0.005477951246233909	27	0.0038345658723637362	7	0.0038345658723637362	28	0.00301287318542865	24	0.00301287318542865	17	0.00301287318542865	2	0.00301287318542865	29	0.0021911804984935637	18	0.0021911804984935637	16	0.0021911804984935637	15	0.0021911804984935637	14	0.0021911804984935637	11	0.0013694878115584773	9	0.0013694878115584773	6	0.0013694878115584773	4	0.0013694878115584773	
8	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adolfo_Farsari	19	0.3810923340680872	23	0.18858682341415628	27	0.09012980651481754	5	0.07910849865295126	21	0.06735243693362723	3	0.061474406073965225	8	0.04237080578006368	26	0.01518491305412687	29	0.010776389909380357	2	0.007102620622091599	6	0.006367866764633847	13	0.005633112907176096	0	0.005633112907176096	9	0.004898359049718345	10	0.004163605192260593	4	0.0034288513348028414	12	0.0026940974773450896	1	0.0026940974773450896	28	0.0019593436198873378	24	0.0019593436198873378	22	0.0019593436198873378	20	0.0019593436198873378	18	0.0019593436198873378	17	0.0019593436198873378	16	0.0019593436198873378	11	0.0019593436198873378	7	0.0019593436198873378	25	0.0012245897624295861	15	0.0012245897624295861	14	0.0012245897624295861	
9	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adrian_Boult	13	0.5336867682792137	3	0.10558869008173184	23	0.10260658272586702	21	0.06615860393196377	5	0.05588690081731831	6	0.01579412414402474	19	0.014137397835210955	7	0.013474707311685442	1	0.012149326264634415	20	0.009167218908769604	8	0.009167218908769604	22	0.008835873647006848	27	0.007179147338193064	24	0.00552242102937928	15	0.005191075767616523	11	0.0048597305058537665	14	0.0038656947205654955	28	0.003534349458802739	26	0.003534349458802739	17	0.003534349458802739	12	0.003534349458802739	10	0.003203004197039982	9	0.0015462778882261985	2	0.0015462778882261985	0	0.0015462778882261985	18	0.0012149326264634416	16	0.0012149326264634416	25	8.835873647006849E-4	4	8.835873647006849E-4	29	5.52242102937928E-4	
