#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
David_I_de_Escocia	empire/religion,0.44639580602883355	generic,0.24482306684141547	royalty,0.1913499344692005	family,0.04062909567496723	literature,0.023328964613368284	music/orchestra,0.017562254259501964	war/ancient,0.01651376146788991	film,0.006815203145478375	politics/art,0.00655307994757536	music/rock,0.0060288335517693315
David_Lovering	music/rock,0.6174568965517241	generic,0.16056034482758622	film,0.05387931034482758	family,0.04633620689655173	politics/art,0.03017241379310345	literature,0.03017241379310345	music/orchestra,0.023706896551724137	royalty,0.020474137931034482	war/ancient,0.009698275862068966	empire/religion,0.007543103448275862
Demóstenes	war/ancient,0.4209505334626576	generic,0.29413191076624634	family,0.1338506304558681	empire/religion,0.07153249272550921	literature,0.030552861299709022	politics/art,0.015276430649854511	music/orchestra,0.012851600387972843	film,0.00848690591658584	royalty,0.008244422890397672	music/rock,0.004122211445198836
Diane_Keaton	film,0.4525660964230171	family,0.17884914463452567	generic,0.15552099533437014	literature,0.07737169517884915	music/rock,0.07542768273716952	politics/art,0.019440124416796267	music/orchestra,0.017107309486780714	royalty,0.01166407465007776	empire/religion,0.007387247278382581	war/ancient,0.004665629860031105
Dick_Turpin	family,0.21465968586387435	literature,0.17277486910994763	royalty,0.10471204188481675	film,0.09947643979057591	war/ancient,0.08376963350785341	generic,0.07853403141361257	politics/art,0.07853403141361257	music/orchestra,0.06282722513089005	empire/religion,0.05759162303664921	music/rock,0.04712041884816754
Diocleciano	empire/religion,0.49868766404199477	generic,0.343503937007874	war/ancient,0.0636482939632546	family,0.04872047244094488	royalty,0.014927821522309712	politics/art,0.010662729658792652	literature,0.006069553805774278	film,0.005085301837270341	music/rock,0.004593175853018373	music/orchestra,0.004101049868766404
Dmitri_Shostakóvich	music/orchestra,0.4528169014084507	generic,0.2102112676056338	family,0.1334507042253521	literature,0.0721830985915493	war/ancient,0.054929577464788736	empire/religion,0.020774647887323944	politics/art,0.019014084507042252	film,0.01584507042253521	music/rock,0.015140845070422536	royalty,0.005633802816901409
Domenico_Selvo	empire/religion,0.29380053908355797	generic,0.215633423180593	politics/art,0.16442048517520216	war/ancient,0.08355795148247978	royalty,0.07277628032345014	music/orchestra,0.07008086253369272	family,0.03504043126684636	music/rock,0.02425876010781671	film,0.0215633423180593	literature,0.018867924528301886
Domiciano	empire/religion,0.45454545454545453	generic,0.2695286195286195	family,0.11969696969696969	war/ancient,0.05404040404040404	literature,0.026936026936026935	royalty,0.02558922558922559	music/orchestra,0.022053872053872055	film,0.012457912457912458	politics/art,0.010942760942760943	music/rock,0.004208754208754209
Dominik_Hašek	film,0.6658031088082902	generic,0.17487046632124353	politics/art,0.04145077720207254	family,0.023316062176165803	war/ancient,0.019430051813471502	music/orchestra,0.018134715025906734	music/rock,0.01683937823834197	royalty,0.015544041450777202	empire/religion,0.012953367875647668	literature,0.011658031088082901
Du_Fu	politics/art,0.1927710843373494	generic,0.18072289156626506	family,0.13855421686746988	empire/religion,0.12048192771084337	literature,0.1144578313253012	film,0.060240963855421686	music/orchestra,0.060240963855421686	royalty,0.060240963855421686	war/ancient,0.04216867469879518	music/rock,0.030120481927710843
Duncan_Edwards	film,0.36486486486486486	generic,0.22822822822822822	family,0.15615615615615616	war/ancient,0.06306306306306306	royalty,0.052552552552552555	politics/art,0.042042042042042045	literature,0.03003003003003003	empire/religion,0.02252252252252252	music/orchestra,0.021021021021021023	music/rock,0.01951951951951952
Eadbaldo_de_Kent	empire/religion,0.6475	generic,0.1375	royalty,0.0475	family,0.03	film,0.03	politics/art,0.0275	music/orchestra,0.025	music/rock,0.02	war/ancient,0.0175	literature,0.0175
Ed_Stelmach	royalty,0.2127659574468085	politics/art,0.11702127659574468	family,0.09574468085106383	war/ancient,0.09574468085106383	literature,0.09574468085106383	film,0.0851063829787234	music/orchestra,0.0851063829787234	generic,0.07446808510638298	empire/religion,0.07446808510638298	music/rock,0.06382978723404255
Eduard_Streltsov	film,0.46737967914438505	war/ancient,0.16363636363636364	generic,0.16042780748663102	family,0.06417112299465241	music/orchestra,0.038502673796791446	royalty,0.033155080213903745	politics/art,0.028877005347593583	empire/religion,0.017112299465240642	music/rock,0.016042780748663103	literature,0.0106951871657754
Eduardo_III_de_Inglaterra	royalty,0.4754248966467616	generic,0.24207625172255398	empire/religion,0.133210840606339	family,0.04823151125401929	war/ancient,0.04363803399173174	politics/art,0.023426734037666513	film,0.009186954524575103	music/rock,0.009186954524575103	literature,0.009186954524575103	music/orchestra,0.006430868167202572
Eduardo_VI_de_Inglaterra	royalty,0.5780780780780781	generic,0.1981981981981982	family,0.07507507507507508	empire/religion,0.04354354354354354	politics/art,0.028528528528528527	literature,0.024024024024024024	film,0.021021021021021023	war/ancient,0.015015015015015015	music/orchestra,0.009009009009009009	music/rock,0.0075075075075075074
Eduardo_VIII_del_Reino_Unido	royalty,0.5005963029218843	generic,0.24329159212880144	family,0.11329755515802027	war/ancient,0.06320810971973763	literature,0.02623732856290996	empire/religion,0.018485390578413835	politics/art,0.010435301132975552	music/rock,0.009838998211091235	film,0.009540846750149075	music/orchestra,0.005068574836016696
Edward_Drinker_Cope	family,0.2529411764705882	politics/art,0.17647058823529413	generic,0.14705882352941177	literature,0.12352941176470589	war/ancient,0.08235294117647059	film,0.052941176470588235	royalty,0.052941176470588235	empire/religion,0.047058823529411764	music/orchestra,0.03529411764705882	music/rock,0.029411764705882353
Edward_Elgar	music/orchestra,0.47927989130434784	generic,0.20822010869565216	family,0.11565896739130435	literature,0.078125	royalty,0.036005434782608696	music/rock,0.03379755434782609	film,0.018851902173913044	politics/art,0.012737771739130434	war/ancient,0.008661684782608696	empire/religion,0.008661684782608696
Edward_Low	literature,0.16666666666666666	family,0.13333333333333333	war/ancient,0.125	generic,0.09166666666666666	music/rock,0.09166666666666666	empire/religion,0.09166666666666666	politics/art,0.08333333333333333	film,0.075	music/orchestra,0.075	royalty,0.06666666666666667
Edwin_Taylor_Pollock	war/ancient,0.21794871794871795	generic,0.10256410256410256	music/rock,0.10256410256410256	empire/religion,0.10256410256410256	literature,0.08974358974358974	royalty,0.08974358974358974	politics/art,0.07692307692307693	film,0.07692307692307693	music/orchestra,0.07692307692307693	family,0.0641025641025641
Egberto	empire/religion,0.6372795969773299	family,0.09319899244332494	royalty,0.07808564231738035	generic,0.05793450881612091	war/ancient,0.030226700251889168	politics/art,0.027707808564231738	music/rock,0.02518891687657431	film,0.020151133501259445	literature,0.017632241813602016	music/orchestra,0.012594458438287154
El_Greco	politics/art,0.4153169366126775	generic,0.23095380923815237	family,0.16316736652669467	music/orchestra,0.0643871225754849	empire/religion,0.052789442111577684	literature,0.03739252149570086	royalty,0.022795440911817635	film,0.007398520295940812	music/rock,0.0033993201359728054	war/ancient,0.0023995200959808036
El_Lissitzky	politics/art,0.32982261640798227	generic,0.2738359201773836	music/orchestra,0.12804878048780488	family,0.08924611973392461	literature,0.07317073170731707	war/ancient,0.06374722838137473	film,0.01607538802660754	music/rock,0.012195121951219513	empire/religion,0.007206208425720621	royalty,0.0066518847006651885
El_Turco	generic,0.2751540041067762	music/orchestra,0.25667351129363447	family,0.16837782340862423	film,0.07186858316221766	politics/art,0.055441478439425054	literature,0.043121149897330596	royalty,0.039014373716632446	war/ancient,0.03490759753593429	empire/religion,0.030800821355236138	music/rock,0.024640657084188913
Elaine_Paige	film,0.35864978902953587	music/rock,0.22784810126582278	literature,0.14135021097046413	generic,0.06751054852320675	music/orchestra,0.06329113924050633	family,0.046413502109704644	royalty,0.03375527426160337	empire/religion,0.02531645569620253	war/ancient,0.02109704641350211	politics/art,0.014767932489451477
Elena_del_Reino_Unido	royalty,0.7149643705463183	generic,0.05938242280285035	family,0.04275534441805225	politics/art,0.030878859857482184	empire/religion,0.030878859857482184	literature,0.030878859857482184	film,0.028503562945368172	music/rock,0.023752969121140142	war/ancient,0.021377672209026127	music/orchestra,0.0166270783847981
Elias_Ashmole	generic,0.21951219512195122	literature,0.17886178861788618	royalty,0.12195121951219512	family,0.11382113821138211	music/orchestra,0.08130081300813008	politics/art,0.07317073170731707	empire/religion,0.06504065040650407	music/rock,0.056910569105691054	film,0.04878048780487805	war/ancient,0.04065040650406504
Elliott_Smith	music/rock,0.49527186761229314	family,0.18557919621749408	generic,0.13672182821118992	literature,0.061465721040189124	film,0.05279747832939322	politics/art,0.02955082742316785	music/orchestra,0.020882584712371945	empire/religion,0.006698187549251379	war/ancient,0.00591016548463357	royalty,0.00512214342001576
Enrique_de_Uppsala	empire/religion,0.1511627906976744	royalty,0.1511627906976744	literature,0.11627906976744186	generic,0.10465116279069768	family,0.09302325581395349	politics/art,0.09302325581395349	war/ancient,0.09302325581395349	music/rock,0.08139534883720931	film,0.05813953488372093	music/orchestra,0.05813953488372093
Epaminondas	war/ancient,0.4964387464387464	generic,0.3311965811965812	empire/religion,0.08048433048433049	family,0.06196581196581197	politics/art,0.006885090218423552	literature,0.006172839506172839	music/orchestra,0.0052231718898385565	music/rock,0.004273504273504274	royalty,0.004273504273504274	film,0.0030864197530864196
Eric_Bana	film,0.4804054054054054	generic,0.15	family,0.09932432432432432	music/rock,0.07905405405405405	literature,0.06959459459459459	war/ancient,0.041891891891891894	royalty,0.037162162162162164	politics/art,0.02364864864864865	music/orchestra,0.00945945945945946	empire/religion,0.00945945945945946
Ernest_Joyce	war/ancient,0.4698046181172291	generic,0.27353463587921845	family,0.17939609236234458	royalty,0.018206039076376555	literature,0.016873889875666074	film,0.014209591474245116	politics/art,0.010213143872113677	music/rock,0.007548845470692718	empire/religion,0.005772646536412078	music/orchestra,0.004440497335701598
Ernest_Shackleton	war/ancient,0.46792354019376803	generic,0.27258444619010214	family,0.1073579471065724	literature,0.05106048703849175	royalty,0.0437287247970673	music/rock,0.01702016234616392	film,0.012830583922492799	empire/religion,0.01073579471065724	politics/art,0.010473946059177796	music/orchestra,0.006284367635506678
Ernesto_Augusto_I_de_Hannover	royalty,0.603202846975089	generic,0.1103202846975089	war/ancient,0.09430604982206406	family,0.042704626334519574	film,0.033807829181494664	literature,0.033807829181494664	politics/art,0.023131672597864767	music/orchestra,0.023131672597864767	empire/religion,0.019572953736654804	music/rock,0.01601423487544484
Ernst_Lindemann	war/ancient,0.5127020785219399	generic,0.16166281755196305	royalty,0.07390300230946882	family,0.06928406466512702	music/orchestra,0.06004618937644342	film,0.03926096997690531	literature,0.02771362586605081	politics/art,0.025404157043879907	empire/religion,0.016166281755196306	music/rock,0.013856812933025405
Esteban_de_Inglaterra	royalty,0.54421768707483	empire/religion,0.19387755102040816	generic,0.07142857142857142	film,0.034013605442176874	war/ancient,0.030612244897959183	family,0.027210884353741496	politics/art,0.027210884353741496	music/orchestra,0.027210884353741496	music/rock,0.023809523809523808	literature,0.02040816326530612
Etelredo_de_Mercia	empire/religion,0.7149725274725275	generic,0.1565934065934066	royalty,0.04120879120879121	family,0.038461538461538464	war/ancient,0.01304945054945055	film,0.009615384615384616	politics/art,0.006868131868131868	music/rock,0.006868131868131868	music/orchestra,0.006181318681318681	literature,0.006181318681318681
Ethan_Hawke	film,0.379746835443038	family,0.13924050632911392	literature,0.10970464135021098	politics/art,0.08016877637130802	music/orchestra,0.07172995780590717	music/rock,0.06329113924050633	royalty,0.05485232067510549	generic,0.05063291139240506	empire/religion,0.029535864978902954	war/ancient,0.02109704641350211
Ethelbaldo_de_Mercia	empire/religion,0.6704851752021563	generic,0.20013477088948786	family,0.05053908355795148	royalty,0.020889487870619946	music/orchestra,0.014824797843665768	politics/art,0.010107816711590296	film,0.010107816711590296	literature,0.009433962264150943	war/ancient,0.008086253369272238	music/rock,0.005390835579514825
Ethelberto_de_Kent	empire/religion,0.6657608695652174	generic,0.20574534161490685	family,0.05745341614906832	royalty,0.020574534161490684	music/orchestra,0.013198757763975156	literature,0.013198757763975156	war/ancient,0.008152173913043478	music/rock,0.006211180124223602	politics/art,0.005822981366459627	film,0.0038819875776397515
Evelyn_Waugh	literature,0.3467741935483871	family,0.16129032258064516	war/ancient,0.11290322580645161	generic,0.10483870967741936	royalty,0.07258064516129033	film,0.05241935483870968	politics/art,0.04838709677419355	music/orchestra,0.036290322580645164	music/rock,0.036290322580645164	empire/religion,0.028225806451612902
Federico_III_de_Alemania	royalty,0.5181682429069189	generic,0.23195619711299154	family,0.09457441513190643	war/ancient,0.06321553011448482	empire/religion,0.035838725734196115	music/orchestra,0.022896963663514187	film,0.013937282229965157	literature,0.009457441513190641	politics/art,0.006470881035340966	music/rock,0.003484320557491289
Felice_Beato	politics/art,0.4200700116686114	generic,0.21061843640606767	family,0.07584597432905485	literature,0.07001166861143523	empire/religion,0.06592765460910152	royalty,0.045507584597432905	war/ancient,0.040256709451575265	music/orchestra,0.029754959159859977	music/rock,0.021586931155192533	film,0.020420070011668612
Filetas	empire/religion,0.15441176470588236	literature,0.15441176470588236	politics/art,0.13970588235294118	war/ancient,0.1323529411764706	family,0.08088235294117647	music/orchestra,0.08088235294117647	royalty,0.08088235294117647	film,0.0661764705882353	generic,0.058823529411764705	music/rock,0.051470588235294115
Flea	music/rock,0.578085183836913	generic,0.19767018565708044	family,0.10374954495813615	film,0.053148889697852204	music/orchestra,0.022934109938114306	war/ancient,0.01892974153622133	empire/religion,0.007644703312704768	politics/art,0.006552602839461231	literature,0.005824535857298871	royalty,0.005460502366217692
Frank_Klepacki	film,0.16326530612244897	music/rock,0.14285714285714285	family,0.12244897959183673	politics/art,0.10204081632653061	war/ancient,0.10204081632653061	literature,0.10204081632653061	generic,0.08163265306122448	music/orchestra,0.08163265306122448	empire/religion,0.05102040816326531	royalty,0.05102040816326531
Frank_Zappa	music/rock,0.48631502628239986	generic,0.18705818379554107	family,0.09516041326808047	music/orchestra,0.0929853181076672	film,0.05002718868950517	literature,0.04332064527823092	politics/art,0.021207177814029365	empire/religion,0.009606670291825267	war/ancient,0.007975348921515316	royalty,0.0063440275512053656
Franklin_Knight_Lane	politics/art,0.21951219512195122	war/ancient,0.10975609756097561	generic,0.0975609756097561	film,0.0975609756097561	royalty,0.0975609756097561	family,0.08536585365853659	music/orchestra,0.08536585365853659	music/rock,0.07317073170731707	empire/religion,0.07317073170731707	literature,0.06097560975609756
Frederick_Delius	music/orchestra,0.4024896265560166	generic,0.15560165975103735	family,0.12240663900414937	literature,0.07883817427385892	royalty,0.06016597510373444	politics/art,0.04979253112033195	music/rock,0.035269709543568464	film,0.03319502074688797	war/ancient,0.03319502074688797	empire/religion,0.029045643153526972
Fridtjof_Nansen	war/ancient,0.4992887624466572	generic,0.17780938833570412	family,0.07633949739212897	politics/art,0.0687529634898056	literature,0.05547652916073969	royalty,0.03840682788051209	film,0.03793266951161688	music/orchestra,0.017543859649122806	music/rock,0.015647226173541962	empire/religion,0.012802275960170697
Garret_Hobart	war/ancient,0.15	politics/art,0.1375	royalty,0.1375	film,0.125	literature,0.1	family,0.075	music/orchestra,0.075	music/rock,0.075	generic,0.0625	empire/religion,0.0625
Georg_Forster	literature,0.29197572488199597	generic,0.17936614969656103	war/ancient,0.16520566419420094	family,0.1112609575185435	music/orchestra,0.08226567768037761	politics/art,0.0667565745111261	royalty,0.048550236008091704	empire/religion,0.024949426837491573	film,0.016857720836142953	music/rock,0.012811867835468645
Georg_Solti	music/orchestra,0.43902439024390244	literature,0.11751662971175167	music/rock,0.08869179600886919	royalty,0.08425720620842572	politics/art,0.07095343680709534	film,0.06208425720620843	family,0.037694013303769404	generic,0.03547671840354767	war/ancient,0.03325942350332594	empire/religion,0.031042128603104215
George_Brinton_McClellan	war/ancient,0.308411214953271	politics/art,0.1838006230529595	generic,0.1588785046728972	family,0.08099688473520249	film,0.06230529595015576	literature,0.06230529595015576	empire/religion,0.04361370716510903	music/orchestra,0.03426791277258567	music/rock,0.03426791277258567	royalty,0.03115264797507788
George_F._Kennan	generic,0.38109756097560976	war/ancient,0.21646341463414634	literature,0.0975609756097561	politics/art,0.06707317073170732	family,0.054878048780487805	music/orchestra,0.051829268292682924	film,0.036585365853658534	empire/religion,0.03353658536585366	music/rock,0.03048780487804878	royalty,0.03048780487804878
George_Fox	generic,0.452312730249693	family,0.24600900532132625	literature,0.08473188702415063	empire/religion,0.06958657388456815	royalty,0.0663119115841179	war/ancient,0.03315595579205895	music/orchestra,0.018010642652476462	politics/art,0.015554645927138764	music/rock,0.008595988538681949	film,0.0057306590257879654
George_Ledyard_Stebbins	literature,0.5023255813953489	family,0.07906976744186046	film,0.07441860465116279	politics/art,0.06976744186046512	music/rock,0.05581395348837209	empire/religion,0.05581395348837209	generic,0.05116279069767442	royalty,0.04186046511627907	music/orchestra,0.037209302325581395	war/ancient,0.03255813953488372
George_Moore	literature,0.5584487534626039	generic,0.15678670360110802	family,0.10470914127423822	royalty,0.039889196675900275	music/orchestra,0.0332409972299169	film,0.032686980609418284	politics/art,0.029362880886426593	music/rock,0.022714681440443214	war/ancient,0.01218836565096953	empire/religion,0.009972299168975069
George_Romney	politics/art,0.2786259541984733	generic,0.22900763358778625	film,0.21755725190839695	war/ancient,0.08778625954198473	family,0.06297709923664122	literature,0.04007633587786259	empire/religion,0.030534351145038167	royalty,0.02480916030534351	music/rock,0.01717557251908397	music/orchestra,0.011450381679389313
Georges_Bizet	music/orchestra,0.49465572955505843	generic,0.2701963708675118	family,0.12005965697240865	royalty,0.028337061894108874	war/ancient,0.018145662440964456	literature,0.01715137956748695	film,0.014914243102162566	empire/religion,0.014914243102162566	politics/art,0.014417101665423813	music/rock,0.007208550832711907
Georgette_Heyer	literature,0.45311327831957987	generic,0.2591897974493623	family,0.11965491372843211	royalty,0.05326331582895724	music/rock,0.03938484621155289	film,0.028132033008252063	war/ancient,0.015378844711177795	politics/art,0.01312828207051763	music/orchestra,0.009377344336084021	empire/religion,0.009377344336084021
Gerald_Ford	film,0.3211610486891386	generic,0.2406367041198502	politics/art,0.1254681647940075	family,0.10955056179775281	war/ancient,0.10580524344569288	royalty,0.04588014981273408	music/rock,0.018726591760299626	music/orchestra,0.012172284644194757	empire/religion,0.010299625468164793	literature,0.010299625468164793
Gerard_de_Ruán	royalty,0.28699551569506726	empire/religion,0.18385650224215247	generic,0.17488789237668162	family,0.09417040358744394	politics/art,0.06278026905829596	music/orchestra,0.053811659192825115	film,0.04035874439461883	literature,0.04035874439461883	war/ancient,0.03587443946188341	music/rock,0.026905829596412557
Gilberto_Silva	film,0.555858310626703	generic,0.21798365122615804	family,0.09809264305177112	war/ancient,0.03451407811080836	royalty,0.030881017257039057	politics/art,0.023614895549500452	music/orchestra,0.012715712988192553	music/rock,0.011807447774750226	literature,0.009990917347865577	empire/religion,0.004541326067211626
Giovanni_Villani	generic,0.2878787878787879	empire/religion,0.24242424242424243	family,0.08712121212121213	politics/art,0.07575757575757576	literature,0.06818181818181818	music/orchestra,0.06439393939393939	war/ancient,0.06060606060606061	royalty,0.04924242424242424	film,0.041666666666666664	music/rock,0.022727272727272728
Godofredo_Plantagenet,_Arzobispo_de_York	royalty,0.3203125	empire/religion,0.1640625	family,0.1015625	generic,0.1015625	politics/art,0.0546875	music/orchestra,0.0546875	war/ancient,0.0546875	literature,0.0546875	film,0.046875	music/rock,0.046875
Godsmack	music/rock,0.6749858196256381	generic,0.1820760068065797	family,0.05728871242200794	film,0.024957458876914352	literature,0.01588201928530913	music/orchestra,0.01191151446398185	royalty,0.009642654566080544	war/ancient,0.009075439591605219	politics/art,0.007941009642654566	empire/religion,0.006239364719228588
Gregorio_Nacianceno	empire/religion,0.4212812160694897	generic,0.23778501628664495	family,0.1503800217155266	literature,0.07003257328990228	politics/art,0.03257328990228013	music/orchestra,0.03203040173724213	war/ancient,0.02823018458197611	royalty,0.013029315960912053	film,0.008143322475570033	music/rock,0.006514657980456026
Guillermo_de_Corbeil	royalty,0.2833333333333333	empire/religion,0.2388888888888889	generic,0.1111111111111111	family,0.08333333333333333	war/ancient,0.06111111111111111	politics/art,0.05555555555555555	music/orchestra,0.05	film,0.044444444444444446	literature,0.044444444444444446	music/rock,0.027777777777777776
Guillermo_de_Tiro	empire/religion,0.3728813559322034	royalty,0.1864406779661017	generic,0.14067796610169492	literature,0.07457627118644068	politics/art,0.06779661016949153	family,0.05084745762711865	music/orchestra,0.03728813559322034	film,0.023728813559322035	war/ancient,0.023728813559322035	music/rock,0.022033898305084745
Guillermo_III_de_Inglaterra	royalty,0.5877243775332948	generic,0.2252460914881297	empire/religion,0.050955414012738856	family,0.04400694846554719	war/ancient,0.042848870874348584	politics/art,0.013317892298784018	literature,0.013317892298784018	music/orchestra,0.011001737116386797	film,0.006948465547191662	music/rock,0.004632310364794441
Guillermo_IV_del_Reino_Unido	royalty,0.625	generic,0.26158940397350994	war/ancient,0.024006622516556293	film,0.019867549668874173	family,0.01903973509933775	politics/art,0.011589403973509934	music/orchestra,0.01076158940397351	music/rock,0.01076158940397351	empire/religion,0.009105960264900662	literature,0.008278145695364239
Gustav_Mahler	music/orchestra,0.5412964791049687	generic,0.2588022375781507	family,0.09986837775584073	war/ancient,0.020895031260282988	literature,0.019743336623889437	politics/art,0.01349128002632445	film,0.01332675222112537	royalty,0.012504113195129977	music/rock,0.011023362948338269	empire/religion,0.009049029285949325
Guy_Fawkes	royalty,0.30754716981132074	family,0.21320754716981133	generic,0.1811320754716981	empire/religion,0.07547169811320754	politics/art,0.06415094339622641	war/ancient,0.03773584905660377	literature,0.033962264150943396	film,0.03207547169811321	music/orchestra,0.02830188679245283	music/rock,0.026415094339622643
Gwen_Stefani	music/rock,0.5679205851619644	film,0.13113897596656218	generic,0.12852664576802508	family,0.07836990595611286	politics/art,0.024033437826541274	literature,0.023510971786833857	music/orchestra,0.02246603970741902	war/ancient,0.009404388714733543	royalty,0.007836990595611285	empire/religion,0.006792058516196447
H.D.	literature,0.4353658536585366	generic,0.21707317073170732	family,0.11768292682926829	music/rock,0.06341463414634146	music/orchestra,0.04390243902439024	royalty,0.03353658536585366	politics/art,0.02621951219512195	film,0.025	war/ancient,0.02378048780487805	empire/religion,0.01402439024390244
Harmon_Killebrew	film,0.46984126984126984	generic,0.14285714285714285	family,0.08888888888888889	politics/art,0.07936507936507936	music/rock,0.050793650793650794	war/ancient,0.04126984126984127	empire/religion,0.03492063492063492	literature,0.03492063492063492	music/orchestra,0.02857142857142857	royalty,0.02857142857142857
Harriet_Arbuthnot	royalty,0.34491315136476425	generic,0.2655086848635236	family,0.21588089330024815	literature,0.07361455748552523	empire/religion,0.026468155500413565	war/ancient,0.022332506203473945	music/orchestra,0.01488833746898263	music/rock,0.014061207609594707	film,0.01240694789081886	politics/art,0.009925558312655087
Harry_Cobby	war/ancient,0.3691275167785235	film,0.12751677852348994	generic,0.10067114093959731	politics/art,0.08053691275167785	music/orchestra,0.08053691275167785	royalty,0.06711409395973154	empire/religion,0.04697986577181208	literature,0.04697986577181208	family,0.040268456375838924	music/rock,0.040268456375838924
Harry_McNish	war/ancient,0.4298293891029169	generic,0.24160704457897633	family,0.19427627958172813	film,0.030820033021463952	royalty,0.025866813428728673	literature,0.02531645569620253	politics/art,0.018161805173362685	music/orchestra,0.017611447440836543	music/rock,0.00825536598789213	empire/religion,0.00825536598789213
Hasekura_Tsunenaga	politics/art,0.4169453734671126	generic,0.18840579710144928	war/ancient,0.13043478260869565	empire/religion,0.12151616499442586	family,0.046822742474916385	royalty,0.042363433667781496	literature,0.016722408026755852	music/rock,0.01560758082497213	music/orchestra,0.013377926421404682	film,0.007803790412486065
Heinz_Bär	war/ancient,0.5919881305637982	generic,0.14836795252225518	film,0.057863501483679525	royalty,0.04302670623145401	politics/art,0.04154302670623145	family,0.03412462908011869	empire/religion,0.02967359050445104	music/orchestra,0.026706231454005934	literature,0.019287833827893175	music/rock,0.00741839762611276
Heliogábalo	empire/religion,0.4334215167548501	generic,0.17195767195767195	family,0.1437389770723104	literature,0.07319223985890652	royalty,0.05599647266313933	politics/art,0.033950617283950615	music/orchestra,0.03218694885361552	music/rock,0.027777777777777776	film,0.014109347442680775	war/ancient,0.013668430335097001
Helmut_Lent	war/ancient,0.4306930693069307	generic,0.09900990099009901	music/orchestra,0.09900990099009901	film,0.07920792079207921	politics/art,0.06435643564356436	family,0.0594059405940594	royalty,0.0594059405940594	music/rock,0.039603960396039604	literature,0.039603960396039604	empire/religion,0.0297029702970297
Henry_Moore	politics/art,0.37898089171974525	generic,0.21496815286624205	family,0.12579617834394904	literature,0.11411889596602973	music/rock,0.03821656050955414	royalty,0.03503184713375796	music/orchestra,0.03237791932059448	film,0.02653927813163482	war/ancient,0.02653927813163482	empire/religion,0.0074309978768577496
Henry_Wood	music/orchestra,0.5237113402061856	generic,0.10309278350515463	literature,0.07422680412371134	royalty,0.07010309278350516	family,0.06597938144329897	politics/art,0.05567010309278351	music/rock,0.049484536082474224	war/ancient,0.020618556701030927	film,0.018556701030927835	empire/religion,0.018556701030927835
Hispanos_en_la_Segunda_Guerra_Mundial	war/ancient,0.6333899745114698	politics/art,0.11767204757858964	generic,0.09685641461342395	film,0.03525913338997451	empire/religion,0.031011045029736617	music/rock,0.02506372132540357	family,0.02463891248937978	royalty,0.016142735768903994	literature,0.01231945624468989	music/orchestra,0.0076465590484282074
Honoré_de_Balzac	literature,0.3058071390516782	generic,0.2674480554075653	family,0.23068726691529035	music/orchestra,0.042621204049014386	politics/art,0.04208843899840171	royalty,0.034096963239211506	empire/religion,0.02717101758124667	war/ancient,0.02557272242940863	film,0.019712306872669155	music/rock,0.004794885455514118
Honório_Carneiro_Leão	royalty,0.2411764705882353	family,0.19411764705882353	generic,0.18529411764705883	war/ancient,0.1411764705882353	politics/art,0.07647058823529412	empire/religion,0.07352941176470588	literature,0.026470588235294117	film,0.023529411764705882	music/orchestra,0.020588235294117647	music/rock,0.01764705882352941
Ian_O'Brien	film,0.6148597422289613	generic,0.19939347990902198	family,0.05534495830174375	music/rock,0.0310841546626232	royalty,0.028051554207733132	war/ancient,0.027293404094010616	empire/religion,0.015163002274450341	music/orchestra,0.013646702047005308	politics/art,0.009097801364670205	literature,0.006065200909780136
Ieoh_Ming_Pei	politics/art,0.3929712460063898	film,0.14376996805111822	family,0.09904153354632587	generic,0.07987220447284345	literature,0.07667731629392971	war/ancient,0.06070287539936102	music/orchestra,0.054313099041533544	music/rock,0.051118210862619806	empire/religion,0.022364217252396165	royalty,0.019169329073482427
Ima_Hogg	politics/art,0.3497142857142857	family,0.25485714285714284	generic,0.16228571428571428	literature,0.053714285714285714	royalty,0.04	music/orchestra,0.03428571428571429	war/ancient,0.03314285714285714	empire/religion,0.032	film,0.029714285714285714	music/rock,0.010285714285714285
Ine_de_Wessex	empire/religion,0.6064209274673008	generic,0.2473246135552913	family,0.054102259215219974	literature,0.025564803804994055	royalty,0.019619500594530322	war/ancient,0.01248513674197384	politics/art,0.011296076099881093	music/orchestra,0.009512485136741973	film,0.007134363852556481	music/rock,0.006539833531510107
Infancia_y_juventud_de_Joseph_Smith_(hijo)	family,0.6270218839200761	generic,0.24484617824294322	empire/religion,0.0364732001268633	literature,0.022835394862036156	politics/art,0.017126546146527116	war/ancient,0.015540754836663496	film,0.0130034887408817	music/orchestra,0.008880431335236283	royalty,0.008880431335236283	music/rock,0.005391690453536315
Ion_Heliade-Rădulescu	literature,0.37357954545454547	generic,0.19886363636363635	family,0.12215909090909091	empire/religion,0.11931818181818182	politics/art,0.05113636363636364	royalty,0.04403409090909091	war/ancient,0.041193181818181816	music/orchestra,0.024147727272727272	film,0.01278409090909091	music/rock,0.01278409090909091
Isabel_Bowes-Lyon	royalty,0.39054181020983403	generic,0.2336360789226433	family,0.18477920450986532	war/ancient,0.06138427810836204	film,0.05355465079862198	politics/art,0.022549326652051362	literature,0.01973066082054494	music/orchestra,0.012214218603194488	music/rock,0.011901033510804886	empire/religion,0.009708737864077669
