#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Alejandra_de_Dinamarca	royalty,0.48301444748145256	generic,0.21944552909019915	family,0.1550175712612261	war/ancient,0.030066380320187425	film,0.025771183131589222	literature,0.024990238188207732	music/orchestra,0.023037875829754	politics/art,0.017180788754392814	empire/religion,0.015228426395939087	music/rock,0.006247559547051933
Alexander_Rutherford	war/ancient,0.12857142857142856	politics/art,0.11428571428571428	film,0.11428571428571428	royalty,0.11428571428571428	music/orchestra,0.1	music/rock,0.1	family,0.08571428571428572	empire/religion,0.08571428571428572	literature,0.08571428571428572	generic,0.07142857142857142
Alfonso_de_Brasil	family,0.4015151515151515	royalty,0.22474747474747475	generic,0.16666666666666666	empire/religion,0.06060606060606061	politics/art,0.030303030303030304	war/ancient,0.030303030303030304	music/orchestra,0.025252525252525252	literature,0.025252525252525252	film,0.020202020202020204	music/rock,0.015151515151515152
Alfred_Russel_Wallace	literature,0.4905254932604024	generic,0.26430943543660873	family,0.12443836686852901	war/ancient,0.04043758546591131	politics/art,0.022074623949990234	empire/religion,0.018753662824770465	film,0.014455948427427232	royalty,0.012502441883180308	music/rock,0.006641922250439539	music/orchestra,0.005860519632740769
Alice_in_Chains	music/rock,0.6934713375796179	generic,0.12738853503184713	family,0.05652866242038217	film,0.04936305732484077	music/orchestra,0.021496815286624203	literature,0.015127388535031847	politics/art,0.013535031847133758	war/ancient,0.00875796178343949	empire/religion,0.007961783439490446	royalty,0.006369426751592357
Alicia_de_Battenberg	royalty,0.5287870318613751	generic,0.184460592509782	family,0.12129681386249301	war/ancient,0.09111235326998324	politics/art,0.022917831190609278	empire/religion,0.012297372833985467	literature,0.012297372833985467	film,0.011179429849077696	music/orchestra,0.010620458356623811	music/rock,0.005030743432084964
Alphege	empire/religion,0.500590318772137	generic,0.23022432113341204	war/ancient,0.07319952774498228	family,0.06847697756788666	politics/art,0.03305785123966942	royalty,0.0295159386068477	literature,0.025974025974025976	music/orchestra,0.02243211334120425	film,0.008264462809917356	music/rock,0.008264462809917356
Amosis_I	empire/religion,0.4730371612182174	generic,0.2196144174350377	family,0.17714445375803298	war/ancient,0.03716121821737916	royalty,0.03269069572506287	politics/art,0.027102542609667504	literature,0.013411567476948869	music/rock,0.010058675607711651	music/orchestra,0.00586756077116513	film,0.003911707180776753
Ana_de_Dinamarca	royalty,0.6156583629893239	family,0.09252669039145907	generic,0.08540925266903915	war/ancient,0.042704626334519574	music/orchestra,0.03914590747330961	empire/religion,0.03558718861209965	politics/art,0.02491103202846975	film,0.021352313167259787	music/rock,0.021352313167259787	literature,0.021352313167259787
Anastasia_Nikolaevna_de_Rusia	family,0.5360213459828046	generic,0.1986362288763712	royalty,0.11977468129261785	war/ancient,0.032018974206937445	music/orchestra,0.03083308627334717	empire/religion,0.03083308627334717	film,0.020753038837829824	literature,0.016009487103468723	politics/art,0.008894159501927068	music/rock,0.006225911651348948
Andrew_Browne_Cunningham	war/ancient,0.5303797468354431	generic,0.23375527426160336	royalty,0.10379746835443038	family,0.049367088607594936	music/orchestra,0.0189873417721519	empire/religion,0.015611814345991562	literature,0.014345991561181435	film,0.013080168776371307	music/rock,0.01139240506329114	politics/art,0.009282700421940928
André_Kertész	politics/art,0.41946640316205536	generic,0.24950592885375494	family,0.11314229249011858	literature,0.07707509881422925	film,0.05237154150197629	music/rock,0.022233201581027668	war/ancient,0.021739130434782608	royalty,0.019268774703557312	music/orchestra,0.016798418972332016	empire/religion,0.008399209486166008
Ann_Bannon	literature,0.4367254975591438	generic,0.251971460758543	family,0.20202778820878708	film,0.03792714983101765	music/rock,0.031543372136687946	music/orchestra,0.010889973713856553	politics/art,0.00938790837401427	war/ancient,0.00938790837401427	royalty,0.006383777694329703	empire/religion,0.003755163349605708
Anna_de_Estanglia	empire/religion,0.6666666666666666	family,0.11274509803921569	generic,0.10686274509803921	royalty,0.029411764705882353	politics/art,0.0196078431372549	literature,0.0196078431372549	film,0.018627450980392157	war/ancient,0.00980392156862745	music/rock,0.008823529411764706	music/orchestra,0.00784313725490196
Anna_Laetitia_Barbauld	literature,0.502476999292286	generic,0.2172682236376504	family,0.14048124557678698	royalty,0.03113941967445152	war/ancient,0.02689313517338995	music/rock,0.019815994338287332	music/orchestra,0.01875442321302194	empire/religion,0.016985138004246284	film,0.01556970983722576	politics/art,0.010615711252653927
Anna_May_Wong	film,0.3012658227848101	music/rock,0.16455696202531644	politics/art,0.12658227848101267	family,0.11645569620253164	literature,0.11139240506329114	generic,0.07088607594936709	royalty,0.04810126582278481	empire/religion,0.02278481012658228	music/orchestra,0.020253164556962026	war/ancient,0.017721518987341773
Antón_Chéjov	music/orchestra,0.3042895442359249	family,0.19571045576407506	literature,0.1648793565683646	generic,0.14343163538873996	film,0.05227882037533512	politics/art,0.03753351206434316	royalty,0.03351206434316354	war/ancient,0.028150134048257374	empire/religion,0.028150134048257374	music/rock,0.012064343163538873
Arresto_y_asesinato_de_Ngô_Đình_Diệm	war/ancient,0.5090609555189456	generic,0.28747940691927515	family,0.04612850082372323	royalty,0.042833607907743	politics/art,0.03459637561779242	music/orchestra,0.023064250411861616	empire/religion,0.022240527182866558	literature,0.01400329489291598	music/rock,0.011532125205930808	film,0.009060955518945634
Art_Ross	film,0.4852941176470588	generic,0.1323529411764706	politics/art,0.06862745098039216	war/ancient,0.058823529411764705	empire/religion,0.05392156862745098	literature,0.049019607843137254	royalty,0.049019607843137254	music/orchestra,0.04411764705882353	family,0.03431372549019608	music/rock,0.024509803921568627
Arthur_Ernest_Percival	war/ancient,0.45778145695364236	generic,0.25124172185430466	royalty,0.061258278145695365	family,0.0591887417218543	politics/art,0.05008278145695364	literature,0.030629139072847682	film,0.029801324503311258	empire/religion,0.029387417218543047	music/rock,0.01945364238410596	music/orchestra,0.011175496688741722
Aspasia_de_Mileto	war/ancient,0.3194244604316547	generic,0.22589928057553957	family,0.22446043165467625	literature,0.13189448441247004	empire/religion,0.049400479616306954	music/orchestra,0.015347721822541967	royalty,0.011990407673860911	politics/art,0.008633093525179856	film,0.007194244604316547	music/rock,0.0057553956834532375
Atalo_I	war/ancient,0.3973288814691152	empire/religion,0.221480244852532	generic,0.20144685587089595	family,0.08402893711741792	royalty,0.04897050639955482	politics/art,0.020589872008903727	film,0.008903728436282694	music/orchestra,0.0077907623817473565	literature,0.005008347245409015	music/rock,0.004451864218141347
