ARTICLE_NAME	Art	Business	Education	Explorers	Humanities	Law	Literature	Media	Music	Personal	Politics	Religion	Royalty	Science	Sports	Warfare	Other
Porfirio Díaz	0.0100581147601	0.0911054832117	0.0818668889293	0.00352492361454	0.0138000554333	0.0206505134304	0.0260690018649	0.0859127851976	0.00153308024865	0.0396827080376	0.259385102507	0.0200065592212	0.00942511557441	0.000269583817078	0.0092461663102	0.164964168465	0.162499749377
Epaminondas	2.30311692374e-05	0.000862144146934	0.00194375607678	0.000229729155729	0.0533360850752	0.000211628127538	0.0398972799574	0.000369992806128	0.000102698045482	0.00195770467054	0.0802347772331	0.0478353737879	0.0302138567699	0.000443181415428	0.0158529495926	0.376315269093	0.350170542878
Sor Juana Inés de la Cruz	0.0233457609999	2.29153809867e-05	0.00750160629785	1.8437802433e-05	0.170887714219	0.000806854022272	0.275213088231	0.0135470337676	0.00961400899889	0.00482150461921	0.000105460422192	0.177958430708	0.0246465012572	0.00376266835738	0.000210418190936	0.0115793009864	0.275958295739
José María Morelos	0.000156266158794	0.00802706055866	0.04301450124	4.76497289915e-05	0.00084909414079	0.0526203434793	0.0569649123677	0.0309205933007	0.000284225422885	0.0127142029342	0.0647443599872	0.0908079522882	0.0281817436079	0.000123034046618	0.0017136681932	0.42607904001	0.182751352535
Tutankamón	0.0667619656074	0.00368361746447	0.000833274507258	0.024249022493	0.0221586742134	0.0131071447756	0.000185737347452	0.00209391830929	0.00105511611592	0.00203676080119	0.00288974608628	0.261336948927	0.210352144419	0.0553465955368	0.00506661716133	0.00353141975449	0.325311296479
Rudolf von Ihering	0.000721115132987	0.00244987350568	0.0103620666636	5.553437978e-05	0.50488284174	0.0235412414188	0.0347179946057	0.00743633593489	0.0132412748361	0.0309185156986	0.0242199991677	0.0249809119864	0.0108432160516	0.000144264731784	0.0163732067293	0.000583016056592	0.294528591361
Ramón Santamarina	0.0379122727905	0.124583116093	0.140443875526	0.00530582696656	0.000187029530708	0.000844138581823	0.0382302655411	0.0506289261551	0.000655883039528	0.177294715189	0.0500972114471	0.00254888687237	0.000414967827178	0.000671998214526	0.00373788315593	0.0758708341798	0.290572168891
Vasco Núñez de Balboa	0.00190413341426	0.00111285300963	0.013443906608	0.270510712289	5.81278280569e-05	0.0444437683976	8.16306678684e-05	0.00403654294247	0.000159147042891	0.00048003266422	0.00689055735179	0.0177920324099	0.0445383702359	0.000469545224459	0.0173040336984	0.279003062512	0.297771543704
Baltasar Gracián	0.0403284033186	0.000154945304891	0.0109070299463	0.000620906371434	0.221195001247	0.00294624336408	0.291449665624	0.0029107317323	0.000121019164555	0.000289448692058	0.00048459637573	0.10213070927	0.0166762057566	0.00883682685196	0.00734839006749	0.0105451152255	0.283054761687
Reinado de Isabel II de España	0.0115448548879	0.150451361117	0.0279117502762	6.11743524779e-05	0.0355776187877	0.000442681174722	0.0068224879861	0.000266465820308	0.000252107674512	0.000498796842957	0.319834873033	0.0118633435216	0.0701559041776	0.011725650141	0.0313751072871	0.0807671746474	0.240448648272
Nikolái Rimski-Kórsakov	0.0157640983929	0.000288671382781	0.0257465418161	0.0163250229784	0.0512416558677	0.000584061432891	0.0700964663157	0.00291562978267	0.343093989323	0.0487605783149	0.0497628267076	0.00647901379778	0.00699478173436	0.00657388718793	0.00298555046857	0.00178054192618	0.35060668257
María Teresa I de Austria	0.009444270499	0.0221138790908	0.00173842558623	0.000228079831275	0.0125770302426	0.0014715965076	0.00754700137292	0.0108765248636	0.00426406678539	0.0716896283494	0.073646509868	0.0412679289664	0.413319697465	5.78334841269e-05	0.00521191628098	0.0125533213332	0.311992289473
Antoni Gaudí	0.551896883754	0.0209024611801	0.0670066191187	0.00355807202087	0.0191754107075	0.00208890914003	0.000959398079232	0.0122952324911	0.00158790237467	0.00252506003629	0.00112127358254	0.0540949640981	0.00202550759838	0.0540707508132	0.0188816624376	0.000407348548734	0.187402544019
Julio César	0.000306317576435	0.000211732835363	0.000213181487361	0.000316219203535	0.010325403021	0.0285809995765	0.0597683506289	0.0181389987132	0.000915560243169	0.00168487786157	0.0533149131005	0.0567019833993	0.0357641498143	0.00844811848249	0.0160469219321	0.377591469889	0.331670802236
