#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Cillian_Murphy	film/tv,0.5652777777777778	music,0.18333333333333332	literature,0.05277777777777778	orchestra,0.03888888888888889	royalty,0.0375	sports,0.03611111111111111	politics,0.030555555555555555	royalty/religion,0.019444444444444445	art,0.018055555555555554	military,0.018055555555555554
Clarence_Decatur_Howe	politics,0.40703517587939697	sports,0.11055276381909548	military,0.08542713567839195	orchestra,0.08040201005025126	art,0.07035175879396985	royalty,0.06532663316582915	music,0.05527638190954774	film/tv,0.04522613065326633	royalty/religion,0.04020100502512563	literature,0.04020100502512563
Clem_Hill	sports,0.3939393939393939	film/tv,0.09090909090909091	orchestra,0.09090909090909091	literature,0.0707070707070707	politics,0.0707070707070707	music,0.0707070707070707	royalty,0.06060606060606061	royalty/religion,0.050505050505050504	art,0.050505050505050504	military,0.050505050505050504
Clements_Markham	orchestra,0.3808139534883721	literature,0.12209302325581395	politics,0.09883720930232558	film/tv,0.08430232558139535	military,0.08430232558139535	music,0.07267441860465117	royalty,0.055232558139534885	royalty/religion,0.0436046511627907	art,0.03488372093023256	sports,0.023255813953488372
CM_Punk	sports,0.6798365122615804	music,0.12193460490463215	military,0.07901907356948229	literature,0.055404178019981834	film/tv,0.03496821071752952	politics,0.01067211625794732	art,0.007720254314259764	royalty,0.00522252497729337	royalty/religion,0.003178928247048138	orchestra,0.0020435967302452314
Coenwulf_de_Mercie	royalty/religion,0.6674220963172804	military,0.18186968838526912	literature,0.07592067988668555	royalty,0.02209631728045326	politics,0.018696883852691217	art,0.009065155807365438	film/tv,0.00793201133144476	music,0.0073654390934844195	sports,0.006232294617563739	orchestra,0.0033994334277620396
Colley_Cibber	film/tv,0.31910946196660483	literature,0.24118738404452691	royalty,0.08348794063079777	military,0.07792207792207792	art,0.06493506493506493	music,0.055658627087198514	orchestra,0.05380333951762523	royalty/religion,0.05009276437847866	sports,0.03710575139146568	politics,0.016697588126159554
Constantin_II_d'Écosse	royalty/religion,0.4559748427672956	military,0.24842767295597484	royalty,0.05660377358490566	sports,0.05345911949685535	literature,0.04716981132075472	orchestra,0.040880503144654086	film/tv,0.031446540880503145	music,0.025157232704402517	politics,0.0220125786163522	art,0.018867924528301886
Cosmo_Lang	royalty/religion,0.19480519480519481	art,0.1038961038961039	politics,0.1038961038961039	music,0.1038961038961039	film/tv,0.09090909090909091	literature,0.09090909090909091	orchestra,0.09090909090909091	royalty,0.09090909090909091	sports,0.06493506493506493	military,0.06493506493506493
Cædmon	royalty/religion,0.35	literature,0.325	orchestra,0.08	military,0.075	art,0.045	music,0.04	film/tv,0.025	sports,0.025	royalty,0.0175	politics,0.0175
Cædwalla	royalty/religion,0.4225352112676056	military,0.1619718309859155	literature,0.09154929577464789	royalty,0.08450704225352113	orchestra,0.04929577464788732	film/tv,0.04225352112676056	sports,0.04225352112676056	art,0.035211267605633804	politics,0.035211267605633804	music,0.035211267605633804
Damageplan	music,0.45121951219512196	politics,0.11585365853658537	orchestra,0.07926829268292683	sports,0.07317073170731707	royalty/religion,0.06097560975609756	literature,0.054878048780487805	film/tv,0.04878048780487805	royalty,0.04878048780487805	art,0.036585365853658534	military,0.03048780487804878
Damon_Hill	film/tv,0.40525893215576075	sports,0.24568446407065436	military,0.18827780008028905	literature,0.07507025291047772	music,0.03331995182657567	politics,0.02067442794058611	royalty,0.012846246487354477	orchestra,0.009634684865515858	art,0.005018065034122842	royalty/religion,0.004215174628663188
Daniel_Boone	politics,0.44386181369524985	literature,0.23288093769278223	military,0.19123997532387416	orchestra,0.031153608883405307	film/tv,0.02930289944478717	royalty/religion,0.02498457742134485	art,0.01418877236273905	music,0.012338062924120914	sports,0.0107958050586058	royalty,0.009253547193090685
Daniel_Sedin	sports,0.708029197080292	politics,0.04744525547445255	royalty,0.040145985401459854	orchestra,0.0364963503649635	music,0.0364963503649635	literature,0.032846715328467155	military,0.029197080291970802	royalty/religion,0.025547445255474453	film/tv,0.025547445255474453	art,0.01824817518248175
David_Ier_d'Écosse	royalty/religion,0.5241365380731166	military,0.2553019592001616	literature,0.0923045849323369	royalty,0.08826499697030903	film/tv,0.008685114118359927	sports,0.008483134720258533	politics,0.007069278933548778	art,0.006261361341143203	orchestra,0.004847505554433448	music,0.004645526156332054
David_Lewis_(homme_politique)	politics,0.3522727272727273	sports,0.11363636363636363	royalty/religion,0.07954545454545454	film/tv,0.06818181818181818	art,0.06818181818181818	literature,0.06818181818181818	military,0.06818181818181818	music,0.06818181818181818	orchestra,0.056818181818181816	royalty,0.056818181818181816
David_Lovering	music,0.24175824175824176	royalty/religion,0.10989010989010989	literature,0.10989010989010989	politics,0.10989010989010989	art,0.0989010989010989	film/tv,0.07692307692307693	military,0.07692307692307693	orchestra,0.06593406593406594	sports,0.054945054945054944	royalty,0.054945054945054944
Deusdedit_de_Cantorbéry	royalty/religion,0.5436893203883495	literature,0.06310679611650485	politics,0.06310679611650485	military,0.06310679611650485	sports,0.05339805825242718	royalty,0.04854368932038835	music,0.04854368932038835	orchestra,0.043689320388349516	film/tv,0.038834951456310676	art,0.03398058252427184
Démosthène	military,0.42698191933240615	literature,0.4172461752433936	royalty,0.05910987482614743	politics,0.019471488178025034	film/tv,0.01808066759388039	art,0.016689847009735744	sports,0.015299026425591099	royalty/religion,0.011126564673157162	orchestra,0.01043115438108484	music,0.005563282336578581
Diane_Keaton	film/tv,0.5639700180925303	literature,0.18816231584388732	military,0.08167485138278625	music,0.07004393900232618	sports,0.03825277849573533	art,0.03308348410441975	politics,0.010338588782631171	royalty,0.006461617989144482	orchestra,0.005944688550012923	royalty/religion,0.002067717756526234
Dick_Turpin	literature,0.28919002155836154	film/tv,0.27563905143209116	military,0.24699722821065598	royalty,0.044040652910378814	music,0.03880505081613797	royalty/religion,0.031105635971666153	art,0.023406221127194333	sports,0.020326455189405606	politics,0.017862642439174622	orchestra,0.012627040344933785
Dioclétien	military,0.708498023715415	literature,0.0825098814229249	royalty/religion,0.06818181818181818	politics,0.058300395256917	royalty,0.023221343873517788	sports,0.019268774703557312	art,0.016798418972332016	orchestra,0.008399209486166008	film/tv,0.007411067193675889	music,0.007411067193675889
Dmitri_Chostakovitch	orchestra,0.40555095277547637	military,0.19055509527754763	literature,0.18268434134217068	art,0.0811930405965203	politics,0.05095277547638774	sports,0.030654515327257662	film/tv,0.0231980115990058	music,0.021955260977630488	royalty,0.007870753935376968	royalty/religion,0.005385252692626346
Domenico_Selvo	military,0.6613636363636364	royalty/religion,0.15056818181818182	literature,0.07215909090909091	politics,0.03977272727272727	royalty,0.02556818181818182	art,0.023295454545454546	music,0.007386363636363636	sports,0.006818181818181818	orchestra,0.006818181818181818	film/tv,0.00625
Dominik_Hašek	sports,0.8827160493827161	military,0.029180695847362513	art,0.016835016835016835	politics,0.016835016835016835	literature,0.014029180695847363	orchestra,0.013468013468013467	royalty,0.011784511784511785	film/tv,0.007856341189674524	music,0.003928170594837262	royalty/religion,0.003367003367003367
Domitien	military,0.6274165202108963	literature,0.10984182776801406	royalty/religion,0.07381370826010544	royalty,0.05272407732864675	politics,0.03954305799648506	art,0.03163444639718805	sports,0.023725834797891036	music,0.021968365553602813	orchestra,0.011423550087873463	film/tv,0.007908611599297012
Don_Tallon	sports,0.6536964980544747	military,0.08171206225680934	music,0.05058365758754864	politics,0.042801556420233464	film/tv,0.038910505836575876	royalty/religion,0.0311284046692607	orchestra,0.0311284046692607	art,0.023346303501945526	literature,0.023346303501945526	royalty,0.023346303501945526
Douglas_Jardine	sports,0.45495495495495497	military,0.0945945945945946	film/tv,0.08558558558558559	royalty/religion,0.07657657657657657	orchestra,0.06756756756756757	music,0.06756756756756757	literature,0.04954954954954955	royalty,0.04954954954954955	art,0.02702702702702703	politics,0.02702702702702703
Du_Fu	literature,0.352112676056338	military,0.15211267605633802	art,0.14929577464788732	orchestra,0.08169014084507042	royalty,0.056338028169014086	politics,0.05070422535211268	sports,0.04788732394366197	music,0.04507042253521127	royalty/religion,0.03943661971830986	film/tv,0.02535211267605634
Duncan_Edwards	sports,0.5355329949238579	literature,0.1751269035532995	military,0.1116751269035533	film/tv,0.03616751269035533	art,0.028553299492385786	royalty,0.028553299492385786	music,0.028553299492385786	politics,0.02601522842639594	orchestra,0.017766497461928935	royalty/religion,0.012055837563451776
Eadbald_de_Kent	royalty/religion,0.7013698630136986	military,0.12219178082191781	literature,0.09808219178082192	royalty,0.03561643835616438	art,0.012054794520547946	sports,0.010410958904109589	music,0.007671232876712329	politics,0.005479452054794521	orchestra,0.004383561643835616	film/tv,0.0027397260273972603
Eardwulf_de_Northumbrie	royalty/religion,0.6649778340721976	military,0.19252691576947434	literature,0.05319822672577581	politics,0.022165927802406588	art,0.017099430018999367	royalty,0.014566181127295756	sports,0.011399620012666244	film/tv,0.01013299556681444	music,0.009499683343888538	orchestra,0.004433185560481318
Ed_Stelmach	politics,0.44171779141104295	royalty,0.1165644171779141	military,0.09815950920245399	sports,0.0950920245398773	film/tv,0.0705521472392638	literature,0.04294478527607362	orchestra,0.04294478527607362	royalty/religion,0.03067484662576687	art,0.03067484662576687	music,0.03067484662576687
Edmund_Sharpe	literature,0.19557195571955718	art,0.15129151291512916	film/tv,0.14760147601476015	orchestra,0.13653136531365315	politics,0.11439114391143912	military,0.06642066420664207	music,0.05904059040590406	sports,0.05166051660516605	royalty/religion,0.04797047970479705	royalty,0.02952029520295203
Eduard_Streltsov	sports,0.4840764331210191	literature,0.12951167728237792	military,0.12526539278131635	art,0.07855626326963906	politics,0.055201698513800426	music,0.036093418259023353	royalty,0.029723991507430998	film/tv,0.02335456475583864	royalty/religion,0.01910828025477707	orchestra,0.01910828025477707
Edward_Drinker_Cope	literature,0.29814814814814816	art,0.16296296296296298	film/tv,0.10740740740740741	politics,0.09814814814814815	music,0.09444444444444444	orchestra,0.07222222222222222	military,0.06481481481481481	sports,0.05740740740740741	royalty,0.03333333333333333	royalty/religion,0.011111111111111112
Edward_Elgar	orchestra,0.5328479805858901	literature,0.2218755416883342	military,0.08493673080256543	music,0.06430923903622812	film/tv,0.03414803258797019	royalty,0.017854047495233144	sports,0.013000520020800831	royalty/religion,0.011440457618304731	politics,0.010400416016640665	art,0.009187034148032588
Edward_Low	military,0.27722772277227725	literature,0.13861386138613863	orchestra,0.10396039603960396	art,0.09405940594059406	music,0.08415841584158416	film/tv,0.06435643564356436	sports,0.06435643564356436	royalty,0.06435643564356436	royalty/religion,0.0594059405940594	politics,0.04950495049504951
Egbert_de_Wessex	royalty/religion,0.7202247191011236	military,0.17640449438202246	literature,0.04101123595505618	sports,0.01853932584269663	music,0.009550561797752809	art,0.008988764044943821	royalty,0.008426966292134831	politics,0.006179775280898876	film/tv,0.0056179775280898875	orchestra,0.0050561797752808986
El_Greco	art,0.5076650943396226	literature,0.23938679245283018	military,0.10200471698113207	royalty/religion,0.06544811320754718	royalty,0.0294811320754717	orchestra,0.013561320754716982	music,0.012382075471698114	politics,0.01179245283018868	film/tv,0.009433962264150943	sports,0.00884433962264151
Elaine_Paige	film/tv,0.46417445482866043	music,0.17133956386292834	orchestra,0.09657320872274143	royalty/religion,0.04672897196261682	art,0.040498442367601244	military,0.040498442367601244	sports,0.037383177570093455	literature,0.03426791277258567	royalty,0.03426791277258567	politics,0.03426791277258567
Elias_Ashmole	literature,0.21768707482993196	art,0.1292517006802721	politics,0.12244897959183673	royalty,0.10884353741496598	orchestra,0.10204081632653061	military,0.08843537414965986	royalty/religion,0.08163265306122448	film/tv,0.06802721088435375	sports,0.047619047619047616	music,0.034013605442176874
Elizabeth_Bowes-Lyon	royalty,0.5939226519337016	military,0.09392265193370165	politics,0.06767955801104972	literature,0.06077348066298342	royalty/religion,0.04143646408839779	art,0.03729281767955801	music,0.03314917127071823	sports,0.029005524861878452	film/tv,0.023480662983425413	orchestra,0.019337016574585635
Elliott_Smith	music,0.5408357075023742	literature,0.1899335232668566	military,0.10208926875593542	film/tv,0.055080721747388414	art,0.02849002849002849	orchestra,0.026590693257359924	sports,0.024691358024691357	politics,0.014719848053181387	royalty,0.00949667616334283	royalty/religion,0.008072174738841406
Ellis_Paul	music,0.3787878787878788	film/tv,0.12878787878787878	literature,0.09848484848484848	art,0.07575757575757576	orchestra,0.06818181818181818	royalty/religion,0.06060606060606061	royalty,0.06060606060606061	politics,0.05303030303030303	sports,0.03787878787878788	military,0.03787878787878788
Eric_Bana	film/tv,0.40970350404312667	music,0.09433962264150944	orchestra,0.0862533692722372	literature,0.07816711590296496	royalty/religion,0.06199460916442048	politics,0.06199460916442048	military,0.06199460916442048	sports,0.05929919137466307	art,0.04851752021563342	royalty,0.03773584905660377
Eric_Brewer	sports,0.4748201438848921	music,0.08633093525179857	politics,0.07913669064748201	military,0.07913669064748201	royalty,0.05755395683453238	film/tv,0.050359712230215826	literature,0.050359712230215826	orchestra,0.050359712230215826	royalty/religion,0.03597122302158273	art,0.03597122302158273
Ernest-Auguste_Ier_de_Hanovre	royalty,0.6349480968858131	military,0.15311418685121106	politics,0.09515570934256055	literature,0.04238754325259515	royalty/religion,0.023356401384083045	sports,0.012110726643598616	orchestra,0.01124567474048443	art,0.010380622837370242	film/tv,0.00865051903114187	music,0.00865051903114187
Ernest_Joyce	orchestra,0.48251121076233183	military,0.29013452914798205	literature,0.13946188340807175	sports,0.036771300448430494	music,0.012556053811659192	film/tv,0.01031390134529148	art,0.009417040358744395	royalty,0.008968609865470852	politics,0.0053811659192825115	royalty/religion,0.004484304932735426
Ernest_Shackleton	orchestra,0.46801517067003795	military,0.24905183312262957	literature,0.14437420986093552	royalty,0.03640960809102402	politics,0.03236409608091024	art,0.018710493046776234	sports,0.017193426042983566	film/tv,0.013400758533501896	music,0.011378002528445006	royalty/religion,0.009102402022756004
Ernie_Fletcher	politics,0.4474885844748858	literature,0.1004566210045662	military,0.0958904109589041	art,0.0776255707762557	royalty,0.0639269406392694	royalty/religion,0.0593607305936073	sports,0.0502283105022831	film/tv,0.0410958904109589	orchestra,0.0365296803652968	music,0.0273972602739726
Ernst_Lindemann	politics,0.4207492795389049	orchestra,0.13544668587896252	military,0.11527377521613832	royalty,0.0893371757925072	sports,0.05763688760806916	literature,0.05763688760806916	art,0.05187319884726225	film/tv,0.02881844380403458	music,0.023054755043227664	royalty/religion,0.020172910662824207
Ethan_Hawke	film/tv,0.6266349583828775	music,0.1367419738406659	literature,0.06658739595719382	art,0.04875148632580262	sports,0.03210463733650416	politics,0.027348394768133173	orchestra,0.022592152199762187	royalty,0.016646848989298454	military,0.011890606420927468	royalty/religion,0.01070154577883472
Evelyn_Waugh	literature,0.3324968632371393	film/tv,0.191969887076537	music,0.11292346298619825	royalty,0.08406524466750313	politics,0.0740276035131744	art,0.06273525721455459	orchestra,0.04767879548306148	military,0.0451693851944793	royalty/religion,0.03262233375156838	sports,0.01631116687578419
Édouard_III_d'Angleterre	military,0.4529445727482679	royalty,0.3589780600461894	royalty/religion,0.07332563510392609	literature,0.06437644341801385	politics,0.025115473441108545	sports,0.008516166281755196	film/tv,0.004907621247113164	music,0.004763279445727482	art,0.004618937644341801	orchestra,0.002453810623556582
Édouard_VI_d'Angleterre	royalty,0.35866123925825416	military,0.28245137946630483	literature,0.2564450474898236	royalty/religion,0.06264133876074175	politics,0.008819538670284939	orchestra,0.008141112618724558	art,0.007914970601537766	film/tv,0.0065581184984170055	music,0.004522840343735866	sports,0.003844414292175486
Édouard_VIII_du_Royaume-Uni	royalty,0.5012853470437018	military,0.15195658383319052	literature,0.12596401028277635	politics,0.11082547843473294	art,0.031705227077977724	film/tv,0.027135104255926877	royalty/religion,0.022564981433876037	orchestra,0.011710939731505284	sports,0.009425878320479864	music,0.007426449585832619
Épaminondas	military,0.6733576642335767	literature,0.15967153284671534	politics,0.04744525547445255	royalty,0.040145985401459854	sports,0.01916058394160584	film/tv,0.017335766423357664	art,0.012773722627737226	royalty/religion,0.010948905109489052	orchestra,0.010948905109489052	music,0.008211678832116789
Étienne_d'Angleterre	royalty/religion,0.4878871511806194	military,0.3311867525298988	royalty,0.0978227537565164	literature,0.051517939282428704	politics,0.008892977614228765	sports,0.006439742410303588	music,0.006439742410303588	art,0.004599816007359705	film/tv,0.0030665440049064702	orchestra,0.0021465808034345293
Faryl_Smith	music,0.20253164556962025	orchestra,0.1518987341772152	film/tv,0.11392405063291139	literature,0.08860759493670886	royalty,0.08860759493670886	politics,0.08860759493670886	military,0.0759493670886076	royalty/religion,0.06329113924050633	sports,0.06329113924050633	art,0.06329113924050633
Felice_Beato	art,0.4594894561598224	military,0.20421753607103219	literature,0.1392896781354051	royalty,0.04273029966703663	politics,0.03551609322974473	film/tv,0.03218645948945616	royalty/religion,0.02830188679245283	music,0.0244173140954495	orchestra,0.020532741398446172	sports,0.013318534961154272
Francis_Harvey	politics,0.17272727272727273	royalty,0.16363636363636364	military,0.14545454545454545	orchestra,0.1	sports,0.09090909090909091	film/tv,0.07272727272727272	music,0.07272727272727272	royalty/religion,0.06363636363636363	art,0.06363636363636363	literature,0.05454545454545454
Francis_Tresham	royalty,0.18309859154929578	royalty/religion,0.1267605633802817	military,0.1267605633802817	art,0.09859154929577464	literature,0.08450704225352113	orchestra,0.08450704225352113	music,0.08450704225352113	film/tv,0.07042253521126761	sports,0.07042253521126761	politics,0.07042253521126761
Frank_Black	music,0.7117750439367311	literature,0.10369068541300527	military,0.050966608084358524	film/tv,0.04130052724077329	orchestra,0.023725834797891036	royalty/religion,0.01757469244288225	royalty,0.01757469244288225	art,0.012302284710017574	sports,0.011423550087873463	politics,0.009666080843585237
Frank_Klepacki	music,0.510752688172043	film/tv,0.1693548387096774	politics,0.09408602150537634	sports,0.04032258064516129	art,0.04032258064516129	military,0.03763440860215054	orchestra,0.03494623655913978	literature,0.02956989247311828	royalty,0.024193548387096774	royalty/religion,0.01881720430107527
Frank_McNamara	politics,0.40804597701149425	military,0.13218390804597702	sports,0.07471264367816093	royalty,0.07471264367816093	orchestra,0.06896551724137931	art,0.05747126436781609	literature,0.05747126436781609	royalty/religion,0.05172413793103448	music,0.040229885057471264	film/tv,0.034482758620689655
Frank_Zappa	music,0.5161596958174905	literature,0.17062737642585551	military,0.08269961977186312	orchestra,0.07034220532319392	film/tv,0.04990494296577947	art,0.045627376425855515	sports,0.028041825095057035	politics,0.02328897338403042	royalty/religion,0.006653992395437262	royalty,0.006653992395437262
Franklin_Knight_Lane	politics,0.15151515151515152	royalty,0.13636363636363635	film/tv,0.12121212121212122	sports,0.10606060606060606	art,0.09090909090909091	orchestra,0.09090909090909091	royalty/religion,0.07575757575757576	literature,0.07575757575757576	military,0.07575757575757576	music,0.07575757575757576
Frederick_Delius	orchestra,0.6193771626297578	literature,0.08881199538638986	music,0.08189158016147635	film/tv,0.06689734717416378	art,0.03690888119953864	sports,0.03229527104959631	politics,0.0265282583621684	royalty,0.025374855824682813	royalty/religion,0.01384083044982699	military,0.008073817762399077
Frédéric_III_d'Allemagne	royalty,0.5187257856220404	military,0.22298751614291865	literature,0.13689195006457167	politics,0.04046491605682307	art,0.031855359448988374	sports,0.01334481274214378	orchestra,0.01248385708136031	film/tv,0.010331467929401636	music,0.006887645286267757	royalty/religion,0.006026689625484288
Fridtjof_Nansen	orchestra,0.4231287281123725	military,0.2882432172407158	literature,0.16932845872618818	politics,0.035405041370021165	royalty,0.02559168751202617	art,0.01847219549740235	sports,0.014623821435443525	royalty/religion,0.010005772561092939	film/tv,0.009428516451799115	music,0.005772561092938233
Garret_Hobart	politics,0.35789473684210527	royalty,0.09473684210526316	military,0.09473684210526316	sports,0.08421052631578947	music,0.07368421052631578	film/tv,0.06315789473684211	literature,0.06315789473684211	orchestra,0.06315789473684211	royalty/religion,0.05263157894736842	art,0.05263157894736842
Gautier_de_Coutances	royalty/religion,0.5708762886597938	military,0.22422680412371135	royalty,0.061855670103092786	politics,0.03608247422680412	literature,0.029639175257731958	orchestra,0.020618556701030927	sports,0.01804123711340206	film/tv,0.015463917525773196	art,0.01288659793814433	music,0.010309278350515464
Georg_Forster	literature,0.2962724935732648	orchestra,0.2898457583547558	military,0.14138817480719795	art,0.12532133676092544	royalty,0.07904884318766067	politics,0.028277634961439587	sports,0.010925449871465296	music,0.010925449871465296	film/tv,0.010282776349614395	royalty/religion,0.007712082262210797
Georg_Solti	orchestra,0.5354037267080746	literature,0.08819875776397515	art,0.07329192546583851	military,0.06956521739130435	royalty,0.06583850931677018	music,0.05714285714285714	film/tv,0.043478260869565216	politics,0.02732919254658385	sports,0.02111801242236025	royalty/religion,0.018633540372670808
George_Calvert	royalty,0.2727272727272727	military,0.12121212121212122	politics,0.11363636363636363	royalty/religion,0.09848484848484848	film/tv,0.09848484848484848	orchestra,0.09848484848484848	literature,0.06060606060606061	art,0.05303030303030303	sports,0.045454545454545456	music,0.03787878787878788
George_F._Kennan	politics,0.3329015544041451	military,0.23963730569948186	literature,0.16709844559585493	art,0.10880829015544041	orchestra,0.03756476683937824	sports,0.031088082901554404	film/tv,0.025906735751295335	royalty,0.02072538860103627	music,0.02072538860103627	royalty/religion,0.015544041450777202
George_Fox	literature,0.5096741344195519	military,0.27953156822810593	royalty,0.07586558044806517	royalty/religion,0.054989816700611	politics,0.02240325865580448	music,0.018329938900203666	sports,0.013238289205702648	orchestra,0.01120162932790224	art,0.008146639511201629	film/tv,0.006619144602851324
George_Gossip	film/tv,0.21518987341772153	orchestra,0.15611814345991562	politics,0.10970464135021098	sports,0.08860759493670886	literature,0.08860759493670886	royalty,0.08860759493670886	military,0.08860759493670886	art,0.06751054852320675	royalty/religion,0.05485232067510549	music,0.04219409282700422
George_Headley	sports,0.6684981684981685	royalty,0.07142857142857142	orchestra,0.04945054945054945	art,0.045787545787545784	politics,0.0347985347985348	literature,0.031135531135531136	military,0.029304029304029304	film/tv,0.027472527472527472	royalty/religion,0.023809523809523808	music,0.018315018315018316
George_Ier_de_Grande-Bretagne	royalty,0.5451541850220264	military,0.26945668135095446	politics,0.06240822320117474	literature,0.06167400881057269	royalty/religion,0.025330396475770924	sports,0.010646108663729809	orchestra,0.009177679882525698	art,0.006607929515418502	film/tv,0.006240822320117474	music,0.003303964757709251
George_II_de_Grande-Bretagne	royalty,0.5210843373493976	military,0.24246987951807228	literature,0.09299698795180723	politics,0.08094879518072289	royalty/religion,0.015436746987951807	sports,0.012048192771084338	art,0.011295180722891566	film/tv,0.00941265060240964	orchestra,0.008283132530120483	music,0.006024096385542169
George_III_du_Royaume-Uni	royalty,0.5276329509906152	military,0.24226624956551965	politics,0.11505039972193257	literature,0.05908932916232186	royalty/religion,0.0170316301703163	film/tv,0.016684045881126174	orchestra,0.0076468543621828295	art,0.005213764337851929	sports,0.004866180048661801	music,0.0045185957594716716
George_IV_du_Royaume-Uni	royalty,0.5382803297997645	military,0.18610129564193167	literature,0.16921868865331763	politics,0.0447585394581861	royalty/religion,0.014134275618374558	film/tv,0.013741656851197487	art,0.011778563015312132	sports,0.008637612877895563	music,0.00745975657636435	orchestra,0.005889281507656066
George_Ledyard_Stebbins	orchestra,0.14942528735632185	literature,0.14367816091954022	film/tv,0.11494252873563218	royalty,0.10919540229885058	music,0.10919540229885058	sports,0.09770114942528736	art,0.08620689655172414	politics,0.08045977011494253	military,0.06896551724137931	royalty/religion,0.040229885057471264
George_Macaulay	sports,0.27848101265822783	royalty,0.11392405063291139	royalty/religion,0.10126582278481013	film/tv,0.08860759493670886	art,0.0759493670886076	literature,0.0759493670886076	music,0.0759493670886076	orchestra,0.06329113924050633	politics,0.06329113924050633	military,0.06329113924050633
George_McClellan	politics,0.4440807419530824	military,0.24331696672122205	literature,0.14784506273867976	music,0.05291871249318058	film/tv,0.04391707583196945	orchestra,0.033278777959629025	royalty,0.012547735951991271	sports,0.010092744135297326	art,0.006546644844517185	royalty/religion,0.005455537370430988
George_Moore	art,0.17985611510791366	literature,0.15827338129496402	music,0.15827338129496402	royalty,0.12949640287769784	film/tv,0.09352517985611511	sports,0.07913669064748201	royalty/religion,0.050359712230215826	orchestra,0.050359712230215826	politics,0.050359712230215826	military,0.050359712230215826
George_V_du_Royaume-Uni	royalty,0.6059225512528473	military,0.11617312072892938	literature,0.09225512528473805	sports,0.03302961275626424	orchestra,0.03302961275626424	politics,0.02847380410022779	music,0.025056947608200455	art,0.023917995444191344	royalty/religion,0.022779043280182234	film/tv,0.0193621867881549
George_W._Romney	politics,0.47619047619047616	literature,0.10752688172043011	film/tv,0.09831029185867896	military,0.09062980030721966	royalty,0.08755760368663594	sports,0.047619047619047616	art,0.03225806451612903	royalty/religion,0.02304147465437788	orchestra,0.02304147465437788	music,0.013824884792626729
George_Washington_Dixon	music,0.13114754098360656	art,0.11475409836065574	royalty,0.11475409836065574	film/tv,0.09836065573770492	sports,0.09836065573770492	literature,0.09836065573770492	politics,0.09836065573770492	royalty/religion,0.08196721311475409	orchestra,0.08196721311475409	military,0.08196721311475409
Georges_Bizet	orchestra,0.4386100386100386	literature,0.20617760617760617	art,0.08725868725868725	military,0.077992277992278	royalty,0.07258687258687259	film/tv,0.05019305019305019	sports,0.02471042471042471	royalty/religion,0.018532818532818532	politics,0.013127413127413128	music,0.010810810810810811
Georges_Ier_de_Grèce	military,0.44251626898047725	royalty,0.4141498414817287	literature,0.05639913232104121	politics,0.036542633071917234	film/tv,0.01101284832304355	sports,0.010512264308359753	royalty/religion,0.00901051226430836	art,0.008176205573168697	orchestra,0.006841314867345236	music,0.004838978808610045
Georges_Vézina	sports,0.7412513255567338	royalty,0.07104984093319194	literature,0.04772004241781548	military,0.03817603393425239	orchestra,0.021208907741251327	music,0.02014846235418876	art,0.019088016967126194	politics,0.018027571580063628	royalty/religion,0.015906680805938492	film/tv,0.007423117709437964
Georgette_Heyer	literature,0.4325165305328666	art,0.2045896538311941	military,0.12135355892648775	music,0.06690003889537145	royalty,0.056009334889148193	film/tv,0.05367561260210035	politics,0.029949436017113962	orchestra,0.014391287436795021	sports,0.013613380007779074	royalty/religion,0.007001166861143524
Gerald_Ford	politics,0.5530325664774425	military,0.1499850612488796	literature,0.08993128174484613	film/tv,0.07738273080370481	sports,0.061547654616074095	music,0.026590976994323275	art,0.0134448760083657	royalty,0.0134448760083657	royalty/religion,0.008365700627427548	orchestra,0.00627427547057066
Gilberto_Silva	sports,0.6190704360325826	military,0.16099664590321036	literature,0.10876856732151413	royalty,0.022520364159080018	politics,0.020124580737901295	music,0.018687110685194058	art,0.016770483948251078	orchestra,0.013895543842836608	royalty/religion,0.009583133684714902	film/tv,0.009583133684714902
Giovanni_Villani	art,0.39759036144578314	military,0.20883534136546184	literature,0.1855421686746988	royalty/religion,0.05622489959839357	royalty,0.04497991967871486	film/tv,0.02971887550200803	orchestra,0.02650602409638554	sports,0.023293172690763052	music,0.017670682730923693	politics,0.00963855421686747
Godsmack	music,0.7721518987341772	literature,0.05625879043600562	military,0.03656821378340366	film/tv,0.029535864978902954	royalty,0.02531645569620253	politics,0.02531645569620253	royalty/religion,0.01969057665260197	sports,0.016877637130801686	orchestra,0.009845288326300985	art,0.008438818565400843
Grégoire_de_Nazianze	royalty/religion,0.40194396798170384	literature,0.3073184676958262	military,0.24070897655803317	art,0.009719839908519153	royalty,0.009148084619782733	politics,0.007718696397941681	film/tv,0.0065751858204688395	orchestra,0.006289308176100629	sports,0.005717552887364208	music,0.004859919954259577
Guillaume_de_Corbeil	royalty/religion,0.6080225193525686	military,0.22800844475721324	literature,0.08655876143560873	royalty,0.024630541871921183	sports,0.013370865587614356	politics,0.013370865587614356	orchestra,0.009852216748768473	music,0.007037297677691766	film/tv,0.0049261083743842365	art,0.00422237860661506
