#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Alice_Ayres	literature,0.4114339268978444	military,0.2408622305529522	art,0.07872539831302718	royalty,0.07497656982193064	politics,0.05998125585754452	music,0.041237113402061855	orchestra,0.02999062792877226	film/tv,0.029053420805998126	royalty/religion,0.01874414245548266	sports,0.01499531396438613
Alice_de_Battenberg	royalty,0.5256042605489554	military,0.2548136009832036	literature,0.10651372388365424	art,0.031954117165096274	politics,0.026218762802130275	orchestra,0.020483408439164276	royalty/religion,0.01188037689471528	sports,0.0077836952068824255	film/tv,0.007374027038099139	music,0.007374027038099139
Alice_in_Chains	music,0.6962391513982642	military,0.10414657666345227	literature,0.058823529411764705	film/tv,0.055930568948891035	orchestra,0.02700096432015429	sports,0.01832208293153327	art,0.013500482160077145	politics,0.010607521697203472	royalty/religion,0.009643201542912247	royalty,0.0057859209257473485
Alphège_de_Cantorbéry	royalty/religion,0.5439560439560439	military,0.2032967032967033	literature,0.11172161172161173	orchestra,0.03296703296703297	politics,0.031135531135531136	sports,0.020146520146520148	film/tv,0.016483516483516484	art,0.014652014652014652	royalty,0.01282051282051282	music,0.01282051282051282
Ambrose_Rookwood	royalty,0.22857142857142856	royalty/religion,0.12857142857142856	film/tv,0.1	literature,0.08571428571428572	politics,0.08571428571428572	music,0.08571428571428572	sports,0.07142857142857142	art,0.07142857142857142	orchestra,0.07142857142857142	military,0.07142857142857142
Anastasia_Nikolaïevna_de_Russie	royalty,0.4153522607781283	literature,0.17350157728706625	military,0.16824395373291273	art,0.06729758149316509	orchestra,0.050473186119873815	politics,0.03470031545741325	sports,0.026288117770767613	royalty/religion,0.025236593059936908	film/tv,0.025236593059936908	music,0.013669821240799159
Andrew_Cunningham	military,0.3179190751445087	orchestra,0.1329479768786127	film/tv,0.10404624277456648	art,0.09826589595375723	politics,0.09248554913294797	royalty,0.06936416184971098	literature,0.06358381502890173	royalty/religion,0.04046242774566474	sports,0.04046242774566474	music,0.04046242774566474
André_Kertész	art,0.4229607250755287	literature,0.21148036253776434	film/tv,0.0755287009063444	military,0.07250755287009064	orchestra,0.054380664652567974	sports,0.03625377643504532	royalty,0.03625377643504532	politics,0.03323262839879154	music,0.03323262839879154	royalty/religion,0.02416918429003021
Angus_Lewis_Macdonald	military,0.12857142857142856	royalty/religion,0.11428571428571428	film/tv,0.11428571428571428	orchestra,0.11428571428571428	politics,0.11428571428571428	royalty,0.1	sports,0.08571428571428572	music,0.08571428571428572	art,0.07142857142857142	literature,0.07142857142857142
Ann_Bannon	film/tv,0.1643835616438356	art,0.1506849315068493	politics,0.1095890410958904	royalty/religion,0.0958904109589041	orchestra,0.0958904109589041	music,0.0958904109589041	royalty,0.0821917808219178	sports,0.0684931506849315	literature,0.0684931506849315	military,0.0684931506849315
Anna_d'Est-Anglie	royalty/religion,0.6791720569210866	military,0.16170763260025872	literature,0.040103492884864166	royalty,0.03880983182406209	orchestra,0.015523932729624839	politics,0.014230271668822769	film/tv,0.0129366106080207	sports,0.0129366106080207	art,0.0129366106080207	music,0.01164294954721863
Anna_Laetitia_Barbauld	literature,0.75659924580048	military,0.10215975317106617	film/tv,0.027082619129242372	politics,0.023311621528968117	royalty,0.022625985601645526	orchestra,0.020226259856016456	art,0.01816935207404868	music,0.017140898183064794	sports,0.008913267055193692	royalty/religion,0.0037709976002742542
Anna_May_Wong	film/tv,0.48444444444444446	music,0.14074074074074075	art,0.11555555555555555	politics,0.054814814814814816	literature,0.04296296296296296	royalty/religion,0.04148148148148148	military,0.04	orchestra,0.03111111111111111	royalty,0.03111111111111111	sports,0.017777777777777778
Anne_de_Danemark	royalty,0.4888888888888889	military,0.1	royalty/religion,0.07222222222222222	orchestra,0.06666666666666667	film/tv,0.05555555555555555	music,0.05555555555555555	literature,0.05	art,0.044444444444444446	sports,0.03333333333333333	politics,0.03333333333333333
Anton_Tchekhov	art,0.387531328320802	literature,0.3298872180451128	military,0.16979949874686717	orchestra,0.03869047619047619	film/tv,0.028352130325814535	royalty,0.013784461152882205	politics,0.011434837092731829	music,0.008145363408521303	sports,0.006265664160401002	royalty/religion,0.006109022556390977
Archie_Jackson	sports,0.6323787258912916	literature,0.1256575102279369	military,0.11455289304500292	politics,0.024547048509643482	music,0.023378141437755698	orchestra,0.02162478082992402	art,0.017533606078316773	royalty,0.01636469900642899	film/tv,0.012273524254821741	royalty/religion,0.011689070718877849
Art_Houtteman	sports,0.2054794520547945	politics,0.1643835616438356	film/tv,0.1095890410958904	orchestra,0.0958904109589041	royalty/religion,0.0821917808219178	art,0.0684931506849315	literature,0.0684931506849315	royalty,0.0684931506849315	military,0.0684931506849315	music,0.0684931506849315
Art_Ross	sports,0.7551020408163265	military,0.05194805194805195	politics,0.05009276437847866	orchestra,0.03339517625231911	royalty,0.029684601113172542	literature,0.025974025974025976	film/tv,0.01855287569573284	art,0.014842300556586271	royalty/religion,0.011131725417439703	music,0.00927643784786642
Arthur_Ernest_Percival	politics,0.4612868047982552	military,0.2857142857142857	literature,0.07633587786259542	sports,0.03380588876772083	orchestra,0.028898582333696837	art,0.027262813522355506	royalty,0.024536532170119956	film/tv,0.023446019629225736	royalty/religion,0.021264994547437296	music,0.017448200654307525
Arthur_Lewis_Sifton	politics,0.14285714285714285	orchestra,0.1111111111111111	royalty,0.1111111111111111	film/tv,0.09523809523809523	sports,0.09523809523809523	art,0.09523809523809523	literature,0.09523809523809523	music,0.09523809523809523	royalty/religion,0.07936507936507936	military,0.07936507936507936
Arthur_Morris	sports,0.42342342342342343	politics,0.08108108108108109	literature,0.07207207207207207	music,0.07207207207207207	film/tv,0.06306306306306306	orchestra,0.06306306306306306	royalty,0.06306306306306306	royalty/religion,0.05405405405405406	art,0.05405405405405406	military,0.05405405405405406
Aspasie	literature,0.4596888260254597	military,0.32107496463932106	royalty,0.05091937765205092	royalty/religion,0.033946251768033946	film/tv,0.028288543140028287	politics,0.026874115983026876	art,0.02545968882602546	sports,0.024045261669024046	music,0.018387553041018388	orchestra,0.011315417256011316
Assassinat_de_William_McKinley	politics,0.40059880239520956	military,0.3143712574850299	literature,0.15868263473053892	art,0.033532934131736525	sports,0.01976047904191617	music,0.017365269461077845	royalty/religion,0.015568862275449102	royalty,0.014970059880239521	film/tv,0.013772455089820359	orchestra,0.011377245508982036
Attale_Ier	military,0.2582278481012658	royalty,0.25063291139240507	royalty/religion,0.1468354430379747	literature,0.11645569620253164	sports,0.05822784810126582	art,0.04810126582278481	orchestra,0.04050632911392405	politics,0.0379746835443038	music,0.02278481012658228	film/tv,0.020253164556962026
Audioslave	music,0.655688622754491	sports,0.07784431137724551	film/tv,0.04790419161676647	military,0.04491017964071856	politics,0.041916167664670656	orchestra,0.03293413173652695	literature,0.02694610778443114	royalty/religion,0.023952095808383235	art,0.023952095808383235	royalty,0.023952095808383235
Augustin_de_Cantorbéry	royalty/religion,0.5711206896551724	military,0.10775862068965517	literature,0.10129310344827586	orchestra,0.04525862068965517	art,0.03879310344827586	music,0.03879310344827586	royalty,0.034482758620689655	politics,0.023706896551724137	film/tv,0.01939655172413793	sports,0.01939655172413793
Austin_Nichols_(acteur)	film/tv,0.4375	sports,0.11029411764705882	music,0.11029411764705882	politics,0.09191176470588236	literature,0.0625	art,0.04779411764705882	orchestra,0.04044117647058824	royalty,0.04044117647058824	royalty/religion,0.029411764705882353	military,0.029411764705882353
Ayumi_Hamasaki	music,0.5918367346938775	military,0.10657596371882086	literature,0.09599395313681028	film/tv,0.07256235827664399	sports,0.034013605442176874	art,0.02947845804988662	orchestra,0.02872260015117158	politics,0.019652305366591082	royalty/religion,0.011337868480725623	royalty,0.009826152683295541
Áedan_de_Dalriada	royalty/religion,0.6427221172022685	military,0.10964083175803403	royalty,0.054820415879017016	literature,0.04725897920604915	politics,0.04158790170132325	sports,0.02835538752362949	orchestra,0.024574669187145556	music,0.024574669187145556	art,0.017013232514177693	film/tv,0.00945179584120983
Ban_Ki-moon	politics,0.4218487394957983	military,0.19831932773109243	literature,0.11764705882352941	art,0.06218487394957983	sports,0.04201680672268908	music,0.040336134453781515	royalty,0.03529411764705882	film/tv,0.03361344537815126	royalty/religion,0.031932773109243695	orchestra,0.01680672268907563
Bart_King	sports,0.2077922077922078	music,0.15584415584415584	politics,0.1038961038961039	royalty/religion,0.09090909090909091	film/tv,0.09090909090909091	literature,0.07792207792207792	military,0.07792207792207792	art,0.06493506493506493	orchestra,0.06493506493506493	royalty,0.06493506493506493
Barthélemy_Boganda	politics,0.42983682983682986	military,0.28694638694638697	literature,0.15571095571095572	royalty/religion,0.039627039627039624	royalty,0.02727272727272727	art,0.024475524475524476	orchestra,0.010256410256410256	music,0.010256410256410256	sports,0.00909090909090909	film/tv,0.006526806526806527
