#doc name topic proportion ...
0	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/A._E._J._Collins	0	0.3576086956521739	3	0.20108695652173914	8	0.13369565217391305	2	0.09130434782608696	9	0.08369565217391305	1	0.042391304347826085	7	0.029347826086956522	6	0.02717391304347826	5	0.02608695652173913	4	0.007608695652173913	
1	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Aaron_Sorkin	7	0.48700641241984477	3	0.21700978737765778	5	0.11171110361120486	9	0.06378670266621667	2	0.05636179547755653	8	0.022612217347283158	1	0.017887276409044885	6	0.01282483968950388	0	0.008774890313871077	4	0.0020249746878164025	
2	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Abbas_Kiarostami	7	0.5678906917164817	3	0.27867919157415316	5	0.05863933959578708	2	0.023341873042983206	6	0.020779960148021633	9	0.017079419299743808	4	0.01138627953316254	8	0.009962994591517222	0	0.007685738684884714	1	0.004554511813265016	
3	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Abdul_Karim_(the_Munshi)	1	0.45597014925373136	3	0.35895522388059703	6	0.06716417910447761	7	0.05335820895522388	2	0.030223880597014925	8	0.01082089552238806	9	0.007835820895522387	0	0.0070895522388059705	5	0.004477611940298508	4	0.004104477611940298	
4	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Abu_Nidal	6	0.492686494392979	3	0.29692832764505117	8	0.09117503656752804	7	0.0348610433934666	2	0.03266699171136031	4	0.015358361774744027	1	0.012676743052169674	9	0.008532423208191127	5	0.0078010726474890294	0	0.007313505607020965	
5	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/AC_DC	9	0.11538461538461539	8	0.11538461538461539	7	0.09615384615384616	6	0.09615384615384616	5	0.09615384615384616	4	0.09615384615384616	3	0.09615384615384616	2	0.09615384615384616	1	0.09615384615384616	0	0.09615384615384616	
6	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adam_Gilchrist	0	0.7555410691003911	3	0.10278139939156888	9	0.09169926119078661	2	0.018687527162103434	7	0.007822685788787484	5	0.00651890482398957	8	0.0047805302042590175	1	0.004345936549326379	6	0.003911342894393742	4	0.003911342894393742	
7	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adelaide_Anne_Procter	7	0.4930156121610518	3	0.294987674609696	1	0.08463434675431389	5	0.03368940016433854	2	0.031224322103533278	4	0.020542317173377157	8	0.01725554642563681	9	0.013968775677896467	6	0.005751848808545604	0	0.0049301561216105174	
8	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adolfo_Farsari	7	0.5150624540778839	3	0.26671565025716387	6	0.05878030859662013	5	0.05804555473916238	8	0.03159441587068332	2	0.019103600293901544	1	0.019103600293901544	4	0.01322556943423953	9	0.011756061719324026	0	0.006612784717119765	
9	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adrian_Boult	5	0.5397614314115308	3	0.2276341948310139	1	0.06792577866136515	7	0.04440026507620941	8	0.04108681245858184	9	0.02584493041749503	2	0.025182239893969515	0	0.017229953611663355	6	0.0066269052352551355	4	0.004307488402915839	
10	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Adrian_Cole_(RAAF_officer)	8	0.7531347962382445	3	0.10109717868338558	2	0.03526645768025078	1	0.025078369905956112	6	0.023510971786833857	0	0.02115987460815047	9	0.014106583072100314	7	0.0109717868338558	5	0.009404388714733543	4	0.006269592476489028	
11	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Aeneas_Mackintosh	6	0.5447582575394926	3	0.2929631402584969	8	0.04164672091910005	7	0.030636668262326472	0	0.022498803255146003	2	0.02202010531354715	1	0.02106270943034945	9	0.011010052656773576	5	0.006701771182383916	4	0.006701771182383916	
12	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Afonso,_Prince_Imperial_of_Brazil	4	0.35365853658536583	3	0.2759146341463415	1	0.19054878048780488	7	0.05945121951219512	8	0.0350609756097561	2	0.027439024390243903	9	0.018292682926829267	6	0.018292682926829267	0	0.012195121951219513	5	0.009146341463414634	
13	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Ahmose_I	4	0.6185883384480491	3	0.2099956159579132	7	0.06049978079789566	6	0.0263042525208242	1	0.021481806225339763	5	0.02104340201665936	2	0.01841297676457694	8	0.012275317843051293	0	0.00657606313020605	9	0.004822446295484437	
14	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop-stem/Alain_Prost	9	0.6874424316856003	3	0.20325452870739943	6	0.025176542830825915	8	0.021492170709241632	0	0.015044519496469143	1	0.013509364445809026	7	0.01289530242554498	2	0.007982806263432606	5	0.007061713233036537	4	0.006140620202640466	
