Overall rank	Page name	View count
23	 Lionel Messi	4,348,245
25	 Pablo Escobar	4,172,769
38	 Justin Bieber	3,673,054
48	 Leonardo da Vinci	3,575,077
50	 Adele	3,511,682
58	 Albert Einstein	3,367,504
69	 Simón Bolívar	3,249,050
70	 Adolf Hitler	3,221,748
71	 Aristóteles	3,219,645
74	 Selena Gomez	3,149,361
76	 Cristóbal Colón	3,148,056
84	 Leyes de Newton	3,013,543
89	 Cristiano Ronaldo	2,918,927
93	 Isaac Newton	2,875,708
99	 Galileo Galilei	2,820,855
