Name	literature	family	generic	music/orchestra	war/ancient	empire/religion	royalty	music/rock	film	politics/art
Ethelberto de Kent	0.01	0.06	0.21	0.01	0.01	0.67	0.02	0.01	0.0	0.01
Jorge IV del Reino Unido	0.01	0.08	0.27	0.01	0.02	0.01	0.57	0.01	0.01	0.01
Ernest Shackleton	0.05	0.11	0.27	0.01	0.47	0.01	0.04	0.02	0.01	0.01
Wilco	0.03	0.04	0.17	0.01	0.01	0.01	0.0	0.7	0.02	0.02
Bob Windle	0.0	0.05	0.15	0.01	0.04	0.01	0.01	0.01	0.71	0.02
Choe Bu	0.09	0.13	0.15	0.05	0.11	0.17	0.08	0.04	0.05	0.13
Issy Smith	0.03	0.14	0.18	0.06	0.19	0.06	0.13	0.05	0.09	0.07
Joe Hewitt	0.03	0.03	0.21	0.02	0.57	0.01	0.03	0.02	0.05	0.02
Rogers Hornsby	0.02	0.02	0.22	0.03	0.04	0.03	0.02	0.05	0.53	0.04
Hasekura Tsunenaga	0.02	0.05	0.19	0.01	0.13	0.12	0.04	0.02	0.01	0.42
Rudolf Wolters	0.03	0.12	0.28	0.02	0.43	0.01	0.02	0.0	0.02	0.07
Damageplan	0.03	0.12	0.15	0.02	0.02	0.02	0.04	0.51	0.04	0.05
Jovan Vladimir	0.03	0.09	0.11	0.02	0.04	0.59	0.04	0.02	0.01	0.05
Rudolf Vrba	0.05	0.11	0.19	0.09	0.3	0.07	0.02	0.03	0.08	0.06
Carsten Borchgrevink	0.04	0.09	0.27	0.01	0.5	0.01	0.03	0.01	0.02	0.02
Stephen Crane	0.27	0.22	0.08	0.06	0.11	0.03	0.03	0.06	0.08	0.07
Daniel Boone	0.23	0.24	0.16	0.02	0.1	0.05	0.11	0.04	0.04	0.02
Stereolab	0.03	0.04	0.1	0.04	0.0	0.01	0.01	0.73	0.02	0.03
Alicia de Battenberg	0.01	0.12	0.18	0.01	0.09	0.01	0.53	0.01	0.01	0.02
Roger Waters	0.04	0.07	0.16	0.04	0.04	0.01	0.03	0.54	0.06	0.02
Eduardo VIII del Reino Unido	0.03	0.11	0.24	0.01	0.06	0.02	0.5	0.01	0.01	0.01
John Michael Wright	0.09	0.05	0.14	0.11	0.07	0.08	0.19	0.06	0.03	0.19
Adam Gilchrist	0.11	0.08	0.09	0.11	0.09	0.08	0.12	0.11	0.14	0.08
Henry Moore	0.11	0.13	0.21	0.03	0.03	0.01	0.04	0.04	0.03	0.38
Moe Berg	0.14	0.09	0.17	0.08	0.09	0.04	0.04	0.06	0.2	0.1
Gerard de Ruán	0.04	0.09	0.17	0.05	0.04	0.18	0.29	0.03	0.04	0.06
Nicolo Giraud	0.13	0.25	0.25	0.03	0.03	0.01	0.03	0.01	0.01	0.24
Dmitri Shostakóvich	0.07	0.13	0.21	0.45	0.05	0.02	0.01	0.02	0.02	0.02
Domenico Selvo	0.02	0.04	0.22	0.07	0.08	0.29	0.07	0.02	0.02	0.16
William Burges	0.13	0.06	0.07	0.08	0.06	0.06	0.2	0.08	0.09	0.16
Satyajit Ray	0.1	0.15	0.24	0.06	0.01	0.03	0.01	0.04	0.32	0.05
Aldred	0.03	0.04	0.18	0.02	0.04	0.49	0.17	0.01	0.01	0.02
Máximo el Confesor	0.08	0.14	0.22	0.01	0.03	0.46	0.03	0.01	0.01	0.02
Adrian Boult	0.04	0.03	0.17	0.5	0.03	0.02	0.05	0.06	0.07	0.02
James Robert Baker	0.26	0.19	0.23	0.02	0.03	0.01	0.01	0.09	0.16	0.01
Wihtred de Kent	0.02	0.04	0.21	0.01	0.02	0.66	0.02	0.01	0.01	0.01
Albert Kesselring	0.02	0.02	0.08	0.04	0.67	0.01	0.06	0.03	0.02	0.03
Olga Nikolaevna de Rusia (1895-1918)	0.03	0.46	0.13	0.04	0.05	0.04	0.19	0.02	0.03	0.02
Jorge V del Reino Unido	0.02	0.08	0.22	0.02	0.06	0.01	0.56	0.01	0.02	0.01
Ethelbaldo de Mercia	0.01	0.05	0.2	0.01	0.01	0.67	0.02	0.01	0.01	0.01
Gerald Ford	0.01	0.11	0.24	0.01	0.11	0.01	0.05	0.02	0.32	0.13
Egberto	0.02	0.09	0.06	0.01	0.03	0.64	0.08	0.03	0.02	0.03
Ine de Wessex	0.03	0.05	0.25	0.01	0.01	0.61	0.02	0.01	0.01	0.01
Samantha Smith	0.03	0.33	0.25	0.02	0.21	0.02	0.02	0.02	0.04	0.06
Robert Falcon Scott	0.05	0.13	0.29	0.02	0.41	0.02	0.05	0.01	0.02	0.01
Tim Duncan	0.01	0.05	0.14	0.01	0.02	0.02	0.01	0.01	0.7	0.03
Calvin Coolidge	0.02	0.09	0.35	0.02	0.13	0.03	0.06	0.02	0.04	0.25
Abu Nidal	0.06	0.11	0.12	0.02	0.09	0.09	0.05	0.03	0.03	0.4
James Bowie	0.02	0.11	0.24	0.02	0.11	0.14	0.04	0.03	0.02	0.26
Gilberto Silva	0.01	0.1	0.22	0.01	0.03	0.0	0.03	0.01	0.56	0.02
Strapping Young Lad	0.04	0.02	0.08	0.05	0.04	0.04	0.03	0.59	0.07	0.05
William T. Anderson	0.05	0.19	0.14	0.03	0.32	0.06	0.05	0.06	0.03	0.07
Ram Narayan	0.05	0.05	0.06	0.09	0.05	0.05	0.14	0.14	0.15	0.23
Elias Ashmole	0.18	0.11	0.22	0.08	0.04	0.07	0.12	0.06	0.05	0.07
Josquin des Prés	0.04	0.08	0.11	0.18	0.0	0.05	0.02	0.02	0.01	0.49
Coenredo de Mercia	0.02	0.05	0.17	0.01	0.02	0.66	0.03	0.01	0.01	0.01
William McGregor	0.12	0.06	0.3	0.02	0.03	0.03	0.06	0.03	0.31	0.03
Vivien Leigh	0.13	0.12	0.21	0.04	0.01	0.02	0.04	0.03	0.37	0.03
Ed Stelmach	0.1	0.1	0.07	0.09	0.1	0.07	0.21	0.06	0.09	0.12
Big Star	0.05	0.02	0.06	0.02	0.01	0.01	0.01	0.74	0.04	0.05
Harry Cobby	0.05	0.04	0.1	0.08	0.37	0.05	0.07	0.04	0.13	0.08
Leslie Groves	0.04	0.08	0.17	0.05	0.32	0.02	0.04	0.03	0.06	0.18
Andrew Browne Cunningham	0.01	0.05	0.23	0.02	0.53	0.02	0.1	0.01	0.01	0.01
Melito de Canterbury	0.03	0.05	0.19	0.01	0.02	0.63	0.03	0.01	0.01	0.02
Pío XII	0.03	0.16	0.22	0.04	0.12	0.31	0.07	0.01	0.01	0.05
Ernst Lindemann	0.03	0.07	0.16	0.06	0.51	0.02	0.07	0.01	0.04	0.03
Talbot Baines Reed	0.63	0.05	0.05	0.03	0.02	0.02	0.05	0.07	0.05	0.03
Stede Bonnet	0.06	0.11	0.19	0.01	0.43	0.04	0.08	0.03	0.02	0.03
Ceawlin de Wessex	0.06	0.09	0.09	0.04	0.05	0.47	0.04	0.05	0.04	0.05
Guy Fawkes	0.03	0.21	0.18	0.03	0.04	0.08	0.31	0.03	0.03	0.06
Ion Heliade-Rădulescu	0.37	0.12	0.2	0.02	0.04	0.12	0.04	0.01	0.01	0.05
George Moore	0.56	0.1	0.16	0.03	0.01	0.01	0.04	0.02	0.03	0.03
Uncle Tupelo	0.02	0.05	0.18	0.02	0.01	0.0	0.01	0.65	0.03	0.02
Powderfinger	0.04	0.05	0.04	0.04	0.04	0.05	0.05	0.58	0.06	0.05
Wail al-Shehri	0.02	0.2	0.17	0.02	0.43	0.01	0.02	0.02	0.05	0.06
Bix Beiderbecke	0.07	0.12	0.19	0.19	0.05	0.02	0.05	0.19	0.04	0.09
Alfonso de Brasil	0.03	0.4	0.17	0.03	0.03	0.06	0.22	0.02	0.02	0.03
Bette Davis	0.04	0.16	0.21	0.02	0.01	0.01	0.02	0.04	0.46	0.03
U2	0.04	0.05	0.13	0.02	0.01	0.0	0.01	0.65	0.06	0.02
Olga Aleksándrovna Románova	0.07	0.14	0.07	0.08	0.06	0.07	0.35	0.05	0.07	0.05
Isabel Bowes-Lyon	0.02	0.18	0.23	0.01	0.06	0.01	0.39	0.01	0.05	0.02
Cædwalla de Wessex	0.02	0.05	0.2	0.01	0.0	0.68	0.02	0.01	0.01	0.01
Stigand	0.01	0.07	0.21	0.02	0.02	0.49	0.15	0.02	0.01	0.02
Diocleciano	0.01	0.05	0.34	0.0	0.06	0.5	0.01	0.0	0.01	0.01
Anna Laetitia Barbauld	0.5	0.14	0.22	0.02	0.03	0.02	0.03	0.02	0.02	0.01
The Orb	0.04	0.03	0.07	0.05	0.02	0.02	0.03	0.64	0.05	0.04
Godofredo Plantagenet, Arzobispo de York	0.05	0.1	0.1	0.05	0.05	0.16	0.32	0.05	0.05	0.05
Meshuggah	0.01	0.06	0.23	0.03	0.02	0.01	0.01	0.59	0.02	0.01
Wiglaf de Mercia	0.01	0.04	0.23	0.01	0.01	0.66	0.02	0.01	0.02	0.01
Ozzie Smith	0.02	0.07	0.21	0.03	0.04	0.03	0.02	0.04	0.47	0.07
Chrisye	0.06	0.06	0.06	0.19	0.1	0.05	0.09	0.28	0.06	0.06
Epaminondas	0.01	0.06	0.33	0.01	0.5	0.08	0.0	0.0	0.0	0.01
Jacobo II de Inglaterra	0.01	0.05	0.19	0.01	0.03	0.05	0.63	0.01	0.01	0.02
George Romney	0.04	0.06	0.23	0.01	0.09	0.03	0.02	0.02	0.22	0.28
Anastasia Nikolaevna de Rusia	0.02	0.54	0.2	0.03	0.03	0.03	0.12	0.01	0.02	0.01
Teresa Cristina de Borbón y Dos Sicilias	0.01	0.44	0.25	0.01	0.02	0.04	0.19	0.0	0.01	0.02
The Smashing Pumpkins	0.02	0.05	0.16	0.02	0.0	0.01	0.01	0.69	0.02	0.01
Atalo I	0.01	0.08	0.2	0.01	0.4	0.22	0.05	0.0	0.01	0.02
Joel Brand	0.03	0.1	0.25	0.05	0.38	0.04	0.02	0.02	0.03	0.07
Georg Solti	0.12	0.04	0.04	0.44	0.03	0.03	0.08	0.09	0.06	0.07
Aaron Sorkin	0.11	0.08	0.09	0.03	0.03	0.02	0.01	0.08	0.51	0.03
William McKinley	0.02	0.11	0.3	0.02	0.16	0.02	0.03	0.02	0.04	0.29
Khalid al-Mihdhar	0.02	0.1	0.13	0.02	0.42	0.06	0.07	0.03	0.06	0.09
Alfred Russel Wallace	0.49	0.12	0.26	0.01	0.04	0.02	0.01	0.01	0.01	0.02
John Day	0.27	0.13	0.28	0.04	0.02	0.05	0.1	0.03	0.02	0.05
Maggie Gyllenhaal	0.06	0.15	0.12	0.02	0.02	0.02	0.03	0.13	0.4	0.05
William Bruce	0.03	0.13	0.2	0.03	0.06	0.04	0.37	0.01	0.01	0.13
Tōru Takemitsu	0.06	0.1	0.21	0.41	0.03	0.02	0.01	0.08	0.05	0.04
Katharine Hepburn	0.07	0.19	0.14	0.05	0.01	0.01	0.06	0.05	0.41	0.02
John Churchill, I duque de Marlborough	0.01	0.05	0.19	0.03	0.18	0.09	0.41	0.01	0.01	0.02
Nikita Zotov	0.09	0.14	0.13	0.19	0.12	0.1	0.07	0.05	0.06	0.05
Iván Alejandro de Bulgaria	0.01	0.01	0.22	0.01	0.07	0.6	0.06	0.01	0.01	0.01
Arthur Ernest Percival	0.03	0.06	0.25	0.01	0.46	0.03	0.06	0.02	0.03	0.05
Eric Bana	0.07	0.1	0.15	0.01	0.04	0.01	0.04	0.08	0.48	0.02
Charles Edward Magoon	0.06	0.17	0.18	0.03	0.12	0.06	0.05	0.05	0.07	0.22
Edward Drinker Cope	0.12	0.25	0.15	0.04	0.08	0.05	0.05	0.03	0.05	0.18
Simon Bolivar Buckner	0.07	0.07	0.07	0.05	0.22	0.12	0.08	0.07	0.06	0.19
Gregorio Nacianceno	0.07	0.15	0.24	0.03	0.03	0.42	0.01	0.01	0.01	0.03
Áedán mac Gabráin	0.06	0.05	0.12	0.05	0.05	0.46	0.09	0.04	0.04	0.05
Peter Jennings	0.11	0.09	0.08	0.07	0.09	0.07	0.08	0.17	0.12	0.12
William Speirs Bruce	0.07	0.1	0.28	0.01	0.4	0.01	0.08	0.01	0.02	0.02
Alejandra de Dinamarca	0.02	0.16	0.22	0.02	0.03	0.02	0.48	0.01	0.03	0.02
Thomas Crean	0.04	0.11	0.21	0.02	0.51	0.02	0.02	0.02	0.04	0.02
Luís Alves de Lima e Silva	0.01	0.17	0.1	0.03	0.26	0.07	0.21	0.01	0.03	0.09
Bruno Maddox	0.63	0.04	0.08	0.02	0.02	0.01	0.01	0.12	0.04	0.02
Carolina de Brandeburgo-Ansbach	0.03	0.1	0.16	0.02	0.02	0.02	0.62	0.02	0.02	0.01
Dick Turpin	0.17	0.21	0.08	0.06	0.08	0.06	0.1	0.05	0.1	0.08
Federico III de Alemania	0.01	0.09	0.23	0.02	0.06	0.04	0.52	0.0	0.01	0.01
Sviatoslav I de Kiev	0.02	0.09	0.17	0.03	0.06	0.52	0.06	0.01	0.01	0.03
Pat Nixon	0.03	0.2	0.18	0.03	0.09	0.04	0.12	0.03	0.18	0.1
Amosis I	0.01	0.18	0.22	0.01	0.04	0.47	0.03	0.01	0.0	0.03
Charles Villiers Stanford	0.18	0.04	0.04	0.49	0.02	0.03	0.08	0.05	0.03	0.03
Bradley Joseph	0.09	0.07	0.06	0.12	0.07	0.04	0.06	0.32	0.07	0.11
Thomas R. Marshall	0.1	0.08	0.06	0.06	0.12	0.07	0.11	0.08	0.13	0.19
Dan Leno	0.28	0.18	0.18	0.04	0.01	0.01	0.05	0.1	0.14	0.01
El Greco	0.04	0.16	0.23	0.06	0.0	0.05	0.02	0.0	0.01	0.42
Felice Beato	0.07	0.08	0.21	0.03	0.04	0.07	0.05	0.02	0.02	0.42
Justo de Canterbury	0.04	0.04	0.19	0.03	0.02	0.6	0.03	0.01	0.01	0.02
Adolfo Farsari	0.07	0.09	0.25	0.05	0.01	0.02	0.02	0.04	0.02	0.45
Reese Witherspoon	0.05	0.15	0.16	0.01	0.01	0.0	0.01	0.08	0.5	0.03
L. Ron Hubbard	0.4	0.15	0.12	0.01	0.07	0.05	0.02	0.05	0.1	0.04
Nine Inch Nails	0.02	0.04	0.2	0.01	0.01	0.0	0.0	0.69	0.03	0.01
Elaine Paige	0.14	0.05	0.07	0.06	0.02	0.03	0.03	0.23	0.36	0.01
Jorge II de Gran Bretaña	0.01	0.06	0.18	0.01	0.03	0.04	0.64	0.01	0.01	0.01
Suleiman Kanuni	0.02	0.09	0.22	0.01	0.12	0.41	0.07	0.0	0.0	0.05
Antón Chéjov	0.16	0.2	0.14	0.3	0.03	0.03	0.03	0.01	0.05	0.04
H.D.	0.44	0.12	0.22	0.04	0.02	0.01	0.03	0.06	0.03	0.03
Art Ross	0.05	0.03	0.13	0.04	0.06	0.05	0.05	0.02	0.49	0.07
Nancy Reagan	0.02	0.2	0.27	0.01	0.04	0.0	0.03	0.03	0.31	0.08
Sarah Trimmer	0.59	0.12	0.21	0.01	0.01	0.01	0.02	0.01	0.01	0.01
John Millington Synge	0.43	0.12	0.18	0.13	0.02	0.03	0.03	0.02	0.04	0.01
Audioslave	0.02	0.07	0.23	0.02	0.01	0.01	0.0	0.61	0.03	0.01
Thomas Percy (conspirador)	0.05	0.1	0.2	0.02	0.06	0.09	0.33	0.03	0.03	0.08
Mozart en Italia	0.01	0.11	0.32	0.44	0.03	0.03	0.06	0.01	0.01	0.01
Joshua A. Norton	0.03	0.17	0.25	0.01	0.07	0.11	0.07	0.02	0.05	0.22
Bobby Robson	0.05	0.07	0.05	0.06	0.04	0.06	0.18	0.03	0.37	0.07
Caedmon	0.15	0.16	0.15	0.07	0.01	0.37	0.02	0.02	0.02	0.03
Beatriz del Reino Unido	0.03	0.07	0.09	0.02	0.04	0.03	0.64	0.03	0.01	0.04
Edward Elgar	0.08	0.12	0.21	0.48	0.01	0.01	0.04	0.03	0.02	0.01
Guillermo III de Inglaterra	0.01	0.04	0.23	0.01	0.04	0.05	0.59	0.0	0.01	0.01
Rudolf Caracciola	0.04	0.09	0.16	0.05	0.08	0.03	0.08	0.03	0.4	0.05
John Barbirolli	0.06	0.07	0.11	0.52	0.03	0.02	0.05	0.05	0.06	0.04
George Ledyard Stebbins	0.5	0.08	0.05	0.04	0.03	0.06	0.04	0.06	0.07	0.07
Joseph Johnson	0.55	0.09	0.26	0.01	0.02	0.01	0.02	0.01	0.01	0.02
Cosmo Gordon Lang	0.09	0.1	0.3	0.02	0.04	0.09	0.21	0.01	0.02	0.13
