Name	literature	family	generic	music/orchestra	war/ancient	empire/religion	royalty	music/rock	film	politics/art
Gustav Mahler	0.02	0.1	0.26	0.54	0.02	0.01	0.01	0.01	0.01	0.01
Martin Bucer	0.03	0.05	0.13	0.06	0.03	0.19	0.38	0.03	0.03	0.06
Honoré de Balzac	0.31	0.23	0.27	0.04	0.03	0.03	0.03	0.0	0.02	0.04
Wulfhere de Mercia	0.01	0.05	0.16	0.0	0.01	0.73	0.02	0.01	0.0	0.0
Carlota Augusta de Gales	0.02	0.22	0.29	0.01	0.01	0.01	0.42	0.01	0.01	0.01
William Goebel	0.01	0.13	0.3	0.01	0.35	0.02	0.06	0.01	0.03	0.08
Black Francis	0.03	0.06	0.12	0.02	0.01	0.0	0.01	0.7	0.03	0.02
Infancia y juventud de Joseph Smith (hijo)	0.02	0.63	0.24	0.01	0.02	0.04	0.01	0.01	0.01	0.02
CM Punk	0.0	0.02	0.08	0.0	0.01	0.01	0.01	0.09	0.08	0.7
Wallis Simpson	0.05	0.18	0.22	0.01	0.05	0.01	0.4	0.01	0.05	0.02
Paul Kane	0.08	0.08	0.11	0.06	0.06	0.07	0.08	0.08	0.25	0.12
Alexander Rutherford	0.09	0.09	0.07	0.1	0.13	0.09	0.11	0.1	0.11	0.11
William Gibson	0.15	0.09	0.09	0.08	0.06	0.04	0.08	0.14	0.2	0.08
Domiciano	0.03	0.12	0.27	0.02	0.05	0.45	0.03	0.0	0.01	0.01
Carlos II de Inglaterra	0.01	0.06	0.22	0.0	0.04	0.07	0.57	0.0	0.01	0.02
Rufus Wilmot Griswold	0.22	0.43	0.24	0.02	0.02	0.01	0.02	0.02	0.02	0.01
George F. Kennan	0.1	0.05	0.38	0.05	0.22	0.03	0.03	0.03	0.04	0.07
Judy Garland	0.03	0.11	0.16	0.01	0.01	0.01	0.02	0.16	0.47	0.02
Pierre Rossier	0.03	0.1	0.21	0.02	0.05	0.01	0.02	0.01	0.03	0.5
Robert Peake el Viejo	0.02	0.18	0.21	0.03	0.01	0.04	0.18	0.02	0.02	0.28
Lorenzo de Canterbury	0.03	0.08	0.16	0.02	0.01	0.6	0.04	0.01	0.02	0.02
George Brinton McClellan	0.06	0.08	0.16	0.03	0.31	0.04	0.03	0.03	0.06	0.18
Joseph Barbera	0.07	0.08	0.15	0.02	0.03	0.02	0.01	0.04	0.53	0.07
Ieoh Ming Pei	0.08	0.1	0.08	0.05	0.06	0.02	0.02	0.05	0.14	0.39
Vladislao II de Polonia	0.0	0.03	0.22	0.01	0.14	0.46	0.12	0.01	0.0	0.01
Peter Heywood	0.02	0.1	0.2	0.04	0.4	0.04	0.08	0.03	0.02	0.06
Pericles	0.02	0.11	0.31	0.01	0.44	0.08	0.01	0.0	0.01	0.01
William Longchamp	0.03	0.08	0.23	0.03	0.05	0.15	0.33	0.03	0.02	0.04
Ayumi Hamasaki	0.01	0.04	0.21	0.01	0.01	0.0	0.01	0.6	0.07	0.04
Hispanos en la Segunda Guerra Mundial	0.01	0.02	0.1	0.01	0.63	0.03	0.02	0.03	0.04	0.12
Elliott Smith	0.06	0.19	0.14	0.02	0.01	0.01	0.01	0.5	0.05	0.03
Harry McNish	0.03	0.19	0.24	0.02	0.43	0.01	0.03	0.01	0.03	0.02
Ronald Niel Stuart	0.1	0.06	0.1	0.09	0.33	0.03	0.1	0.05	0.06	0.07
Rudolph Cartier	0.11	0.08	0.18	0.08	0.03	0.01	0.02	0.05	0.41	0.02
James Nesbitt	0.09	0.05	0.09	0.04	0.05	0.02	0.06	0.09	0.47	0.04
Bert Trautmann	0.06	0.04	0.09	0.06	0.12	0.04	0.09	0.07	0.35	0.1
Ethan Hawke	0.11	0.14	0.05	0.07	0.02	0.03	0.05	0.06	0.38	0.08
Bob Meusel	0.02	0.05	0.11	0.01	0.03	0.01	0.01	0.03	0.71	0.03
Aeneas Mackintosh	0.02	0.13	0.28	0.01	0.5	0.01	0.02	0.01	0.02	0.01
Phil Hartman	0.06	0.12	0.12	0.03	0.01	0.01	0.05	0.11	0.44	0.05
Alberto de Sajonia-Coburgo-Gotha	0.02	0.09	0.22	0.03	0.02	0.03	0.54	0.02	0.01	0.03
Ricardo II de Inglaterra	0.02	0.12	0.14	0.03	0.03	0.08	0.5	0.02	0.02	0.04
Sex Pistols	0.02	0.1	0.25	0.01	0.01	0.01	0.02	0.54	0.03	0.02
Alain Prost	0.01	0.04	0.21	0.01	0.03	0.01	0.02	0.02	0.59	0.05
Clemente de Dunblane	0.02	0.04	0.31	0.01	0.03	0.48	0.07	0.01	0.01	0.03
Simeón I de Bulgaria	0.02	0.05	0.19	0.01	0.11	0.55	0.03	0.01	0.01	0.02
Constantino II de Escocia	0.04	0.03	0.17	0.03	0.03	0.55	0.08	0.02	0.02	0.03
Nikita Jrushchov	0.02	0.07	0.34	0.01	0.49	0.02	0.01	0.01	0.01	0.02
Preity Zinta	0.06	0.09	0.12	0.01	0.02	0.02	0.02	0.03	0.6	0.05
Fridtjof Nansen	0.06	0.08	0.18	0.02	0.5	0.01	0.04	0.02	0.04	0.07
Noël Coward	0.18	0.05	0.08	0.26	0.01	0.01	0.05	0.14	0.2	0.02
Walter de Coventre	0.04	0.11	0.22	0.08	0.04	0.21	0.15	0.04	0.05	0.07
Sandy Koufax	0.01	0.04	0.21	0.0	0.01	0.01	0.01	0.03	0.68	0.01
Ramón Emeterio Betances	0.04	0.16	0.24	0.01	0.07	0.03	0.07	0.0	0.01	0.36
