Name	music	literature + other	orchestra	family life	church/royalty	sports	royalty	film/tv	politics	military
Slayer	0.68	0.03	0.02	0.1	0.0	0.02	0.01	0.02	0.02	0.11
Gautier de Coutances	0.01	0.03	0.02	0.08	0.47	0.03	0.14	0.02	0.03	0.17
Bill Russell	0.01	0.01	0.0	0.14	0.01	0.69	0.01	0.02	0.02	0.09
Bob Meusel	0.02	0.02	0.02	0.09	0.02	0.61	0.01	0.08	0.03	0.1
Richard Hawes	0.11	0.07	0.1	0.08	0.07	0.07	0.11	0.08	0.22	0.08
Bernard Fanning	0.19	0.09	0.11	0.09	0.08	0.11	0.08	0.08	0.08	0.09
George Fox	0.01	0.32	0.0	0.21	0.03	0.01	0.09	0.03	0.11	0.19
Maximien Hercule	0.0	0.02	0.01	0.16	0.5	0.01	0.03	0.01	0.01	0.25
Phil Hartman	0.16	0.02	0.05	0.08	0.03	0.08	0.02	0.48	0.03	0.05
Mohammed Abdul Karim	0.01	0.04	0.01	0.29	0.01	0.01	0.4	0.02	0.04	0.18
Tom Pryce	0.02	0.02	0.05	0.07	0.02	0.59	0.04	0.07	0.03	0.09
Benjamin Morrell	0.03	0.07	0.03	0.46	0.07	0.04	0.05	0.05	0.12	0.08
Ian Chappell	0.1	0.03	0.03	0.04	0.04	0.48	0.05	0.08	0.05	0.08
Brian Horrocks	0.05	0.02	0.05	0.04	0.03	0.03	0.13	0.08	0.06	0.5
Ann Bannon	0.12	0.11	0.07	0.08	0.08	0.08	0.08	0.19	0.08	0.1
Joe Sakic	0.03	0.01	0.01	0.07	0.01	0.82	0.01	0.01	0.01	0.04
Siméon Ier de Bulgarie	0.01	0.04	0.02	0.06	0.5	0.01	0.05	0.01	0.09	0.23
Gerald Ford	0.03	0.02	0.01	0.07	0.01	0.05	0.02	0.11	0.52	0.17
Richard Hakluyt	0.02	0.11	0.02	0.09	0.07	0.01	0.07	0.52	0.06	0.03
Thrasybule (Athènes)	0.03	0.19	0.02	0.13	0.18	0.08	0.04	0.02	0.06	0.25
Russell T Davies	0.16	0.07	0.05	0.1	0.05	0.07	0.04	0.37	0.03	0.06
Ælle de Sussex	0.03	0.03	0.02	0.23	0.51	0.02	0.01	0.01	0.02	0.11
André Kertész	0.04	0.15	0.21	0.22	0.04	0.04	0.03	0.11	0.05	0.12
Cædmon	0.02	0.16	0.13	0.14	0.36	0.01	0.02	0.04	0.02	0.08
William Calcraft	0.07	0.11	0.14	0.14	0.08	0.07	0.13	0.08	0.1	0.07
Barthélemy Boganda	0.01	0.27	0.01	0.14	0.02	0.01	0.05	0.0	0.15	0.34
Kevin Pietersen	0.07	0.05	0.09	0.08	0.05	0.38	0.05	0.08	0.07	0.08
Arthur Lewis Sifton	0.08	0.08	0.08	0.08	0.1	0.16	0.11	0.08	0.14	0.1
George Washington Dixon	0.18	0.11	0.08	0.1	0.08	0.08	0.1	0.08	0.1	0.08
Godsmack	0.77	0.03	0.01	0.06	0.01	0.02	0.02	0.03	0.02	0.03
