Name	music	literature + other	orchestra	family life	church/royalty	sports	royalty	film/tv	politics	military
Archie Jackson	0.02	0.01	0.01	0.21	0.01	0.61	0.02	0.03	0.01	0.07
Albert Speer (père)	0.01	0.07	0.02	0.12	0.01	0.02	0.01	0.01	0.21	0.52
Robert Peake le Vieux	0.05	0.12	0.15	0.12	0.15	0.06	0.15	0.05	0.07	0.07
Uncle Tupelo	0.33	0.07	0.08	0.08	0.09	0.07	0.07	0.08	0.07	0.08
Henrik Sedin	0.02	0.02	0.03	0.04	0.02	0.75	0.02	0.02	0.03	0.05
Catherine de Médicis	0.0	0.07	0.02	0.14	0.05	0.01	0.49	0.01	0.01	0.18
Bix Beiderbecke	0.23	0.02	0.42	0.08	0.02	0.02	0.02	0.09	0.02	0.06
Peter Jeffrey (militaire australien)	0.04	0.04	0.05	0.12	0.03	0.09	0.06	0.05	0.03	0.51
Art Houtteman	0.08	0.07	0.1	0.08	0.08	0.18	0.07	0.11	0.12	0.11
Alexis Bachelot	0.01	0.11	0.02	0.1	0.08	0.01	0.12	0.01	0.37	0.17
Arthur Morris	0.05	0.05	0.05	0.05	0.05	0.47	0.05	0.07	0.08	0.07
U2	0.64	0.01	0.02	0.14	0.0	0.03	0.01	0.05	0.01	0.09
Philétas	0.01	0.47	0.08	0.19	0.09	0.02	0.02	0.03	0.04	0.04
Stigand	0.01	0.02	0.01	0.11	0.61	0.01	0.08	0.01	0.03	0.11
George Moore	0.1	0.13	0.15	0.06	0.05	0.04	0.12	0.27	0.05	0.04
James Newland	0.05	0.05	0.05	0.14	0.05	0.09	0.07	0.06	0.09	0.37
Anna Laetitia Barbauld	0.02	0.39	0.02	0.12	0.01	0.01	0.04	0.26	0.08	0.07
Jean Calvin	0.01	0.49	0.01	0.09	0.04	0.0	0.06	0.0	0.14	0.15
S.H.E	0.5	0.04	0.05	0.07	0.03	0.05	0.02	0.15	0.07	0.03
The Kinks	0.62	0.02	0.02	0.16	0.01	0.01	0.01	0.05	0.01	0.09
Wiglaf de Mercie	0.01	0.01	0.01	0.14	0.71	0.02	0.02	0.0	0.01	0.08
Meshuggah	0.53	0.02	0.02	0.14	0.02	0.05	0.01	0.05	0.02	0.14
Ozzie Smith	0.09	0.07	0.04	0.07	0.05	0.45	0.06	0.07	0.06	0.06
Deusdedit de Cantorbéry	0.03	0.06	0.04	0.09	0.46	0.04	0.08	0.03	0.07	0.09
Rhys ap Gruffydd	0.02	0.03	0.33	0.06	0.24	0.04	0.13	0.02	0.06	0.06
Chrisye	0.13	0.08	0.19	0.11	0.06	0.08	0.11	0.06	0.1	0.08
William Butler Yeats	0.04	0.1	0.14	0.24	0.02	0.01	0.04	0.33	0.04	0.04
George Headley	0.02	0.02	0.02	0.07	0.01	0.69	0.05	0.04	0.02	0.05
Penda	0.01	0.02	0.0	0.11	0.69	0.01	0.01	0.0	0.05	0.1
Sabri al Banna	0.1	0.08	0.07	0.11	0.09	0.05	0.08	0.09	0.11	0.21
Chester Alan Arthur	0.01	0.02	0.0	0.06	0.0	0.01	0.02	0.02	0.74	0.12
Martha Layne Collins	0.11	0.09	0.08	0.08	0.08	0.09	0.09	0.14	0.15	0.09
Powderfinger	0.72	0.01	0.02	0.09	0.01	0.02	0.01	0.04	0.01	0.07
Joel Brand	0.04	0.07	0.04	0.12	0.07	0.03	0.04	0.06	0.1	0.43
Frank Black	0.72	0.03	0.04	0.08	0.0	0.01	0.02	0.04	0.01	0.04
Aaron Sorkin	0.13	0.04	0.04	0.05	0.02	0.13	0.01	0.49	0.06	0.03
William McKinley	0.01	0.02	0.0	0.07	0.01	0.01	0.01	0.01	0.69	0.16
Opeth	0.69	0.03	0.03	0.12	0.03	0.01	0.01	0.01	0.01	0.06
Sviatoslav Ier	0.04	0.04	0.1	0.11	0.34	0.07	0.09	0.04	0.09	0.07
Khalid al-Mihdhar	0.12	0.07	0.09	0.09	0.11	0.09	0.08	0.09	0.09	0.15
Michael Gomez	0.08	0.09	0.12	0.06	0.07	0.21	0.06	0.15	0.05	0.1
Alfred Russel Wallace	0.01	0.41	0.01	0.26	0.02	0.01	0.02	0.06	0.12	0.1
Sasha (disc jockey)	0.59	0.03	0.05	0.06	0.04	0.07	0.04	0.04	0.04	0.04
Jerry Voorhis	0.09	0.06	0.08	0.08	0.05	0.06	0.06	0.09	0.29	0.15
Æneas Mackintosh	0.02	0.01	0.01	0.72	0.01	0.04	0.02	0.02	0.01	0.15
Maggie Gyllenhaal	0.09	0.03	0.05	0.05	0.02	0.03	0.02	0.56	0.09	0.06
Thomas Beecham	0.04	0.06	0.5	0.12	0.03	0.03	0.05	0.07	0.04	0.07
Tōru Takemitsu	0.08	0.07	0.33	0.13	0.04	0.03	0.05	0.08	0.06	0.13
Howie Morenz	0.01	0.0	0.01	0.07	0.01	0.8	0.01	0.01	0.01	0.06
Katharine Hepburn	0.06	0.02	0.05	0.13	0.01	0.03	0.03	0.61	0.02	0.04
Eadbald de Kent	0.01	0.02	0.01	0.14	0.68	0.01	0.05	0.01	0.01	0.06
Alphège de Cantorbéry	0.02	0.04	0.04	0.07	0.6	0.02	0.03	0.02	0.02	0.13
Nikita Zotov	0.1	0.1	0.18	0.1	0.08	0.06	0.17	0.07	0.09	0.07
Lazar Lissitzky	0.07	0.09	0.24	0.22	0.02	0.02	0.02	0.07	0.11	0.14
John Millington Synge	0.01	0.14	0.15	0.19	0.04	0.02	0.05	0.25	0.09	0.06
Laurent de Cantorbéry	0.02	0.03	0.02	0.09	0.61	0.02	0.03	0.02	0.1	0.06
Héliogabale	0.03	0.12	0.05	0.11	0.34	0.02	0.13	0.05	0.04	0.1
Audioslave	0.64	0.01	0.03	0.04	0.01	0.12	0.01	0.04	0.03	0.05
Eric Bana	0.13	0.03	0.09	0.05	0.03	0.07	0.07	0.43	0.02	0.08
Georges Vézina	0.02	0.03	0.02	0.08	0.01	0.73	0.05	0.01	0.01	0.03
John Douglas (architecte)	0.1	0.07	0.07	0.09	0.1	0.09	0.1	0.12	0.1	0.16
Dmitri Chostakovitch	0.01	0.06	0.52	0.13	0.01	0.02	0.01	0.02	0.08	0.14
George IV du Royaume-Uni	0.01	0.02	0.01	0.1	0.01	0.0	0.55	0.02	0.17	0.11
Ellis Paul	0.36	0.06	0.09	0.05	0.06	0.07	0.04	0.17	0.05	0.05
Peter Jennings	0.12	0.05	0.04	0.13	0.04	0.12	0.03	0.29	0.06	0.14
Bryan Gunn	0.04	0.04	0.03	0.09	0.03	0.53	0.05	0.03	0.09	0.07
William Speirs Bruce	0.01	0.02	0.02	0.73	0.01	0.02	0.04	0.02	0.02	0.1
Thomas Crean	0.01	0.01	0.01	0.7	0.02	0.04	0.03	0.01	0.04	0.13
Luís Alves de Lima e Silva	0.01	0.04	0.02	0.07	0.08	0.04	0.13	0.02	0.33	0.25
Bruno Maddox	0.15	0.17	0.11	0.14	0.04	0.07	0.03	0.1	0.05	0.14
Dick Turpin	0.02	0.06	0.0	0.23	0.06	0.01	0.03	0.32	0.03	0.24
Áedan de Dalriada	0.03	0.02	0.01	0.05	0.66	0.03	0.07	0.01	0.05	0.07
Hygeberht	0.01	0.03	0.02	0.09	0.68	0.01	0.02	0.01	0.02	0.11
Pat Nixon	0.01	0.04	0.02	0.29	0.01	0.02	0.04	0.26	0.16	0.16
Richard Williams (officier australien)	0.02	0.01	0.01	0.18	0.01	0.07	0.02	0.04	0.07	0.57
Charles Villiers Stanford	0.07	0.03	0.58	0.05	0.03	0.02	0.05	0.13	0.02	0.02
Mozart en Italie	0.06	0.09	0.25	0.16	0.05	0.05	0.12	0.04	0.06	0.12
Bradley Joseph	0.34	0.05	0.14	0.07	0.04	0.06	0.04	0.16	0.05	0.04
Thomas R. Marshall	0.09	0.03	0.03	0.16	0.02	0.07	0.03	0.02	0.42	0.12
Harbhajan Singh	0.09	0.08	0.08	0.08	0.13	0.16	0.08	0.11	0.11	0.09
Mellitus	0.01	0.05	0.03	0.12	0.58	0.02	0.03	0.01	0.05	0.1
Waisale Serevi	0.03	0.02	0.01	0.13	0.01	0.69	0.03	0.01	0.01	0.07
El Greco	0.01	0.48	0.1	0.16	0.07	0.01	0.05	0.03	0.02	0.07
Bronwyn Bancroft	0.1	0.09	0.1	0.19	0.02	0.07	0.07	0.08	0.13	0.15
Felice Beato	0.03	0.07	0.03	0.54	0.05	0.01	0.04	0.04	0.08	0.11
Adolfo Farsari	0.05	0.09	0.05	0.57	0.01	0.01	0.01	0.02	0.11	0.07
Paul Stastny	0.04	0.04	0.04	0.04	0.04	0.66	0.05	0.03	0.03	0.04
George Ier de Grande-Bretagne	0.0	0.02	0.02	0.06	0.04	0.01	0.51	0.01	0.19	0.14
James Bowie	0.12	0.08	0.03	0.22	0.1	0.03	0.03	0.09	0.18	0.12
Basiliscus	0.01	0.04	0.01	0.13	0.53	0.02	0.04	0.0	0.02	0.21
Thorisind	0.02	0.02	0.66	0.02	0.13	0.02	0.03	0.02	0.03	0.04
L. Ron Hubbard	0.06	0.36	0.02	0.16	0.01	0.02	0.01	0.1	0.1	0.16
Baudouin de Forde	0.03	0.07	0.08	0.11	0.4	0.04	0.11	0.04	0.04	0.08
Nine Inch Nails	0.67	0.03	0.01	0.12	0.01	0.03	0.0	0.04	0.01	0.08
Lat	0.13	0.09	0.04	0.09	0.02	0.03	0.02	0.53	0.02	0.04
Rainilaiarivony	0.1	0.11	0.06	0.07	0.14	0.06	0.13	0.05	0.2	0.09
Elaine Paige	0.2	0.03	0.03	0.03	0.03	0.03	0.04	0.49	0.03	0.06
Domitien	0.01	0.05	0.02	0.18	0.43	0.02	0.05	0.01	0.03	0.2
Bette Davis	0.09	0.02	0.05	0.1	0.01	0.03	0.04	0.59	0.01	0.05
Ivan Aleksandre Asen	0.03	0.03	0.18	0.04	0.37	0.04	0.11	0.04	0.04	0.1
Démosthène	0.0	0.39	0.02	0.19	0.07	0.02	0.05	0.01	0.04	0.21
Hermann Detzner	0.09	0.09	0.11	0.12	0.06	0.08	0.07	0.06	0.08	0.24
Eric Brewer	0.07	0.04	0.06	0.06	0.04	0.47	0.05	0.07	0.08	0.06
H.D.	0.1	0.13	0.13	0.11	0.03	0.02	0.09	0.29	0.04	0.06
Art Ross	0.02	0.02	0.02	0.1	0.01	0.72	0.02	0.02	0.02	0.05
Charles Stewart	0.1	0.1	0.08	0.1	0.08	0.1	0.11	0.1	0.11	0.13
Sarah Trimmer	0.02	0.53	0.01	0.17	0.01	0.01	0.03	0.14	0.01	0.07
Ladislas II Jagellon	0.03	0.04	0.11	0.05	0.08	0.04	0.33	0.05	0.17	0.09
Arthur Ernest Percival	0.01	0.02	0.01	0.1	0.03	0.02	0.04	0.04	0.31	0.43
George W. Romney	0.02	0.03	0.02	0.16	0.03	0.06	0.07	0.1	0.44	0.07
Joshua Norton	0.02	0.13	0.01	0.24	0.07	0.02	0.07	0.04	0.25	0.16
Charles Holden	0.07	0.09	0.21	0.06	0.07	0.04	0.05	0.11	0.11	0.17
Bobby Robson	0.02	0.01	0.0	0.14	0.01	0.65	0.02	0.02	0.02	0.12
Guillaume de Tyr	0.02	0.09	0.03	0.17	0.38	0.02	0.14	0.03	0.02	0.11
Edward Elgar	0.05	0.04	0.54	0.19	0.01	0.01	0.02	0.08	0.01	0.06
Rudolf Caracciola	0.01	0.0	0.34	0.12	0.0	0.28	0.02	0.01	0.01	0.22
John Barbirolli	0.06	0.07	0.37	0.08	0.05	0.05	0.09	0.11	0.06	0.06
Sandra Morgan	0.03	0.02	0.01	0.14	0.01	0.6	0.03	0.04	0.03	0.1
Robert de Jumièges	0.01	0.02	0.01	0.17	0.55	0.01	0.09	0.02	0.03	0.1
George Ledyard Stebbins	0.07	0.14	0.07	0.13	0.03	0.04	0.1	0.29	0.06	0.06
Joseph Johnson	0.01	0.41	0.03	0.14	0.01	0.01	0.01	0.18	0.12	0.07
