name_eng	name_spa
Heinrich der Glïchezäre	Heinrich der Glïchezäre
Rodrigo Leão	Rodrigo Leão
Paul Odlin	Paul Odlin
Anna Elisabet Weirauch	Anna Elisabet Weirauch
Juan Pablo Santiago	Juan Pablo Santiago
Raymond Cattell	Raymond Cattell
Nolan Gerard Funk	Nolan Gerard Funk
Silvia Pinal	Silvia Pinal
Sena Jurinac	Sena Jurinac
Psusennes II	Psusenes II
John Light (actor)	John Light
Herta Ehlert	Herta Ehlert
Johan Museeuw	Johan Museeuw
Bruce Golding	Bruce Golding
Tsunku	Tsunku
Adrien Auzout	Adrien Auzout
Miodio	Miodio
Manuel Doblado	Manuel Doblado
Cameron Bright	Cameron Bright
Geta Burlacu	Geta Burlacu
Mariana of Austria	Mariana de Austria
Carlo Ancelotti	Carlo Ancelotti
Azam Khan (singer)	Azam Khan (cantante)
George W. Snedecor	George Snedecor
Brett Anderson	Brett Anderson (Suede)
Mark Copani	Mark Copani
Captain Kirk Douglas	Captain Kirk Douglas
Antonio Guzmán Fernández	Antonio Guzmán
Marduk-apla-iddina II	Marduk-apal-iddina II
Felicity Lott	Felicity Lott
Sergio Ballesteros	Sergio Ballesteros
Danny Havoc	Danny Havoc
Andrea Ranocchia	Andrea Ranocchia
Ange-Jacques Gabriel	Ange-Jacques Gabriel
Josep Climent i Avinent	Josep Climent i Avinent
Björn at Haugi	Björn (Birka)
Encarnación Ezcurra	Encarnación Ezcurra
Eugene C. Bingham	Eugene Bingham
Mattias Gustafsson	Mattias Gustafsson
Matt Pickens	Matt Pickens
Eduardo Cruz-Coke	Eduardo Cruz-Coke
Edward Leonard Caum	Edward Leonard Caum
Ibrahim Ghannam	Ibrahim Ghannam
Blanca Varela	Blanca Varela
Lyudmila Pavlichenko	Lyudmila Pavlichenko
Mehmed Fuad Pasha	Keçecizade Mehmet Fuat Pasha
Pinky Amador	Pinky Amador
Larry Fitzgerald	Larry Fitzgerald
Joseph Iléo	Joseph Iléo
Sondre Lerche	Sondre Lerche
Édgar Eusebio Millán Gómez	Édgar Millán Gómez
John Sigismund, Elector of Brandenburg	Juan Segismundo I de Brandeburgo
Christian Älvestam	Christian Älvestam
Joshua	Josué (personaje bíblico)
Karel Lamač	Karel Lamač
Elisabeth Görgl	Elisabeth Görgl
Vladimir Samsonov	Vladimir Samsonov
Cory Gibbs	Cory Gibbs
Mary Kingsley	Mary Kingsley
Sígfrid Gràcia	Sígfrid Gracia
James Marsden	James Marsden
Ladislau de Souza Mello Netto	Ladislau de Souza Mello Netto
Michael Andretti	Michael Andretti
Raum the Old	Raum el Viejo
Mary MacLaren	Mary MacLaren
Marcomer	Marcomir
Alexa Demara	Alexa Demara
Al Nassr FC	Al-Nassr
Helmut Bellingrodt	Helmut Bellingrodt
Hugh David Politzer	David Politzer
Chris Baird	Chris Baird
John Locke (naturalist)	John Locke (naturalista)
Patrick Harpur	Patrick Harpur
Lee Johnson (basketball)	Lee Johnson
Daniel Melingo	Daniel Melingo
Ermal Kuqo	Ermal Kuqo
Christopher Ohen	Christopher Ohen
Jorge Olaechea	Jorge Olaechea
Jimmy Workman	Jimmy Workman
Janez Gradišnik	Janez Gradišnik
Eric Campbell (actor)	Eric Campbell
Millard Harmon	Millard Harmon
Garibaldi Alves Filho	Garibaldi Alves Filho
24-7 Spyz	24-7 Spyz
Alexander Balankin	Alexander Balankin
Frantz Heldenstein	Frantz Heldenstein
Harry H. Corbett	Harry H. Corbett
Ricardo Zunino	Ricardo Zunino
Steve Perry (musician)	Steve Perry
Olof (II) Björnsson	Olof II de Suecia
Sarada Devi	Sarada Devi
Gustavo Chacín	Gustavo Chacín
Mate Ghvinianidze	Mate Ghvinianidze
Ingjald Olofsson	Ingjald Olofsson
Charles Noyes Forbes	Charles Noyes Forbes
Otto Lesser	Otto Lesser
Nancy Spero	Nancy Spero
AEK Athens F.C.	AEK Atenas Fútbol Club
Georgina Bardach	Georgina Bardach
Paolo Bettini	Paolo Bettini
Jennifer Veal	Jennifer Veal
Sun Jihai	Sun Jihai
Juan Carlos Heredia	Juan Carlos Heredia
Doda (singer)	Dorota Rabczewska
Mohamed Benaissa	Mohamed Benaissa
Djalma Campos	Djalma Campos
Tasneem Roc	Tasneem Roc
Luis González Palma	Luis González Palma
Alan Ledesma	Alan Ledesma
Israel Shahak	Israel Shahak
Alexander II of Epirus	Alejandro II de Epiro
Cædmon	Caedmon
Catherine of Alexandria	Catalina de Alejandría
Amalric I of Jerusalem	Amalarico I de Jerusalén
Erich Frauwallner	Erich Frauwallner
Aaliyah	Aaliyah
Jordi Escura	Jordi Escura Aixas
Auguste Comte	Auguste Comte
Thomas Sackville, 1st Earl of Dorset	Thomas Sackville, I conde de Dorset
Ander Murillo	Ander Murillo
Gaius Cassius Longinus	Cayo Casio Longino (asesino de César)
C. C. Beck	Clarence Charles Beck
André Darrigade	André Darrigade
Olympias	Olimpia de Epiro
Wanda Jakubowska	Wanda Jakuboska
Giuseppe Taddei	Giuseppe Taddei
Gwar	GWAR
Sting (musician)	Sting
Alfred Adler	Alfred Adler
Alphonse Daudet	Alphonse Daudet
Gildas	Gildas
Maik Franz	Maik Franz
Alvin Toffler	Alvin Toffler
Laura Maiztegui	Laura Maiztegui
Laura Ester	Laura Ester
Funeral for a Friend	Funeral for a Friend
Maria Cristina of Savoy	María Cristina de Saboya
Osami Nagano	Osami Nagano
Charles Lasègue	Charles Lasègue
Cano Estremera	Cano Estremera
Ferenc Kazinczy	Ferenc Kazinczy
Cornelis Schut	Cornelis Schut
Gertrude Himmelfarb	Gertrude Himmelfarb
Thomas Syme	Thomas Syme
Giovanni Martino Spanzotti	Gian Martino Spanzotti
Pierino Baffi	Pierino Baffi
Glafcos Clerides	Glafcos Klerides
Tay Zonday	Tay Zonday
Gottfried Münzenberg	Gottfried Münzenberg
Minerva Hernández Ramos	Minerva Hernández Ramos
Ronaldinho	Ronaldinho
Claire Cooper	Claire Cooper
Ealdgyth (floruit 1015–1016)	Edith de Northumbria
Bernal Díaz del Castillo	Bernal Díaz del Castillo
Phil Spitalny	Phil Spitalny
Roberto Saviano	Roberto Saviano
Agustín Barboza	Agustín Barboza
Ramón Freire	Ramón Freire
Peng Liyuan	Peng Liyuan
Licinianus	Liciniano (usurpador)
Pedro Laín Entralgo	Pedro Laín Entralgo
Luis Fernando Centi	Luis Fernando Centi
Neri Cardozo	Neri Cardozo
Saint Zoilus	Zoilo de Córdoba
Giulio Cesare Milani	Giulio Cesare Milani
Rashid Rakhimov	Rashid Rajímov
Louis Renault (industrialist)	Louis Renault (industrial)
Lorena Rojas	Lorena Rojas
Stefano Bakonyi	Stefano Bakonyi
Heinz Barth	Heinz Barth
François Truffaut	François Truffaut
Innocencio of Mary Immaculate	Inocencio de la Inmaculada
Princess Marie Isabelle of Orléans	María Isabel de Orleans
Porcia Catonis	Porcia Catonis
Jordi Bonet	Jordi Bonet i Godó
Senzangakhona kaJama	Senzangakona
Bo Derek	Bo Derek
Benjamin Day (cyclist)	Benjamin Day
Taras Shevchenko	Tarás Shevchenko
Jerome Rose	Jerome Rose
Juanele	Juanele
Viktor Vlasov	Viktor Vlasov
Princess Carolina of Parma	Carolina de Borbón-Parma
Bubble Puppy	Bubble Puppy
Paul Tutmarc	Paul Tutmarc
Rami Yacoub	Rami
Mauro Bellugi	Mauro Bellugi
Antoni Bou	Toni Bou
Patiparn Pataweekarn	Patiparn Pataweekarn
Natasha Henstridge	Natasha Henstridge
Eluana Englaro	Eluana Englaro
Wilma De Angelis	Wilma De Angelis
Davide Mandelli	Davide Mandelli
Juan de Anchieta	Juan de Anchieta
Sławomir Szmal	Sławomir Szmal
Gus Arnheim	Gus Arnheim
Maurice Yaméogo	Maurice Yaméogo
Jilma Madera	Jilma Madera
Gojko Kačar	Gojko Kačar
Hisashi (musician)	Hisashi (músico)
Andrew Jackson	Andrew Jackson
Basil Poledouris	Basil Poledouris
Pierre Werner	Pierre Werner
Sara Errani	Sara Errani
Joseph Garnett Wood	Joseph Garnett Wood
Sabah (singer)	Sabah Fighali
Jan de Bakker	Jan de Bakker
Manny Trillo	Jesús Marcano Trillo
Gong Yoo	Gong Yoo
J. T. Walsh	J. T. Walsh
Ronnie Liang	Ronnie Liang
Alexander Thom	Alexander Thom
Francisco de Sánchez de la Barreda	Francisco de Sánchez de la Barreda
Geraldo Vandré	Geraldo Vandré
Antoaneta Stefanova	Antoaneta Stefanova
Leopoldo Flores	Leopoldo Flores
Henrik Takkenberg	Henrik Takkenberg
Ferhat Abbas	Ferhat Abbas
Nikolai Severtzov	Nicolai Severtzov
Andrey Kursanov	Andréi Kursánov
Saint Nonnus	Nono (santo)
Bradley Smith (motorcyclist)	Bradley Smith
Anne-Louis Girodet de Roussy-Trioson	Anne-Louis Girodet de Roussy-Trioson
Fernando Arcega	Fernando Arcega Aperte
Abelox	Abelox
Georg August Schweinfurth	Georg August Schweinfurth
Grand Duke Dmitri Pavlovich of Russia	Demetrio Románov
Emperor Kenzō	Emperador Kenzō
Ola Svensson	Ola Svensson
Gabino Rodríguez Rodríguez	Gabino Rodríguez
Coke La Rock	Coke La Rock
Takashi Shimizu	Takashi Shimizu
Julen Madariaga	Julen Madariaga
Bernard II, Count of Toulouse	Bernardo II de Tolosa
Herta Oberheuser	Herta Oberheuser
Carlos Diegues	Carlos Diegues
Paul Martens	Paul Martens
Vytautas Landsbergis	Vytautas Landsbergis
George Shaw	George Shaw
Devon Hughes	Devon Hughes
George Lopez	George Lopez
Agostino Carlini	Agostino Carlini
Michael Gough	Michael Gough
Bushrod Washington	Bushrod Washington
Johnny Rogers	Johnny Rogers
Edward Somerset, 2nd Marquess of Worcester	Edward Somerset
Juventino Rosas	Juventino Rosas
Anthony de la Roché	Anthony de la Roché
Giuseppe Prezzolini	Giuseppe Prezzolini
Simón Rodríguez	Simón Rodríguez
Melchior Anderegg	Melchior Anderegg
Félix Houphouët-Boigny	Félix Houphouët-Boigny
Fábio Pinto	Fábio Pinto
Miles Kane	Miles Kane
Carlos Gerardo Rodríguez	Carlos Gerardo Rodríguez
Daniele Audetto	Daniele Audetto
Sir John Bruce, 2nd Baronet	John Bruce
Amparo Grisales	Amparo Grisales
Brian Cox (actor)	Brian Cox
Gregor Erhart	Gregor Erhart
George Washington	George Washington
Deusdedit of Canterbury	Adeodato de Canterbury
Masatoshi Hamada	Masatoshi Hamada
Chiquinha Gonzaga	Chiquinha Gonzaga
Gilberto Concepción de Gracia	Gilberto Concepción de Gracia
Tigidius Perennis	Tigidio Perenio
Jesse Arnelle	Jesse Arnelle
Charley Patton	Charlie Patton
Sam Dolgoff	Sam Dolgoff
Thomas Fanara	Thomas Fanara
Fred Lawrence Whipple	Fred Lawrence Whipple
Marie-Josée Croze	Marie-Josée Croze
José Camarón y Bononat	José Camarón Boronat
Jose Slaughter	Jose Slaughter
Gustavo Rojas (footballer)	Gustavo Rojas
Amadeu Vives i Roig	Amadeo Vives
Tupac Shakur	Tupac Shakur
Wilhelm Dilthey	Wilhelm Dilthey
Vasily Blyukher	Vasili Blücher
Ignacy Domeyko	Ignacio Domeyko
Ryan Reid	Ryan Reid
Julius Saturninus	Julio Saturnino
Meinir Gwilym	Meinir Gwilym
Magnus Pehrsson	Magnus Pehrsson
Frances Perkins	Frances Perkins
Gómez Suárez de Figueroa, 3rd Duke of Feria	Gómez IV Suárez de Figueroa y Córdoba
Ulrich Seidl	Ulrich Seidl
Wanda Sykes	Wanda Sykes
Juan Pantoja de la Cruz	Juan Pantoja de la Cruz
Claude Esteban	Claude Esteban
Gigi Leung	GiGi Leung
Viola Barry	Viola Barry
Patricia Vico	Patricia Vico
Jaan Teemant	Jaan Teemant
The Spectator	The Spectator
Jeffrey Dunn	Jeffrey Dunn
Joe Dumars	Joe Dumars
Symphorian and Timotheus	Sinforiano
Mikhail Vladimirsky	Mijaíl Vladimirski
Francesco Battaglioli	Francesco Battaglioli
Edson Ratinho	Edson Ratinho
Daniel McCallum	Daniel Mc Callum
Diego del Gastor	Diego del Gastor
Fe del Valle	Fe del Valle
Clímaco Calderón	Clímaco Calderón
Constance Tipper	Constance Tipper
Arthur Wharton	Arthur Wharton
Torbeno of Arborea	Torbeno de Lacon-Zori
Erwin von Witzleben	Erwin von Witzleben
Jean Marie Marcelin Gilibert	Juan María Marcelino Gilibert
Yvonne De Carlo	Yvonne De Carlo
Roger Frey	Roger Frey
Peter Woodring	Peter Woodring
Michelangelo Cerquozzi	Michelangelo Cerquozzi
Oscar Bonavena	Oscar Bonavena
Patrick Zwaanswijk	Patrick Zwaanswijk
Gackt	Gackt
Lou Reed	Lou Reed
Juan José Oroz	Juanjo Oroz
Dingane kaSenzangakhona	Dingane kaSenzangakhona
Cheikh El Avia Ould Mohamed Khouna	Cheij El Avia Uld Mohamed Khouna
Karl Korsch	Karl Korsch
Giorgos Karagounis	Giorgos Karagounis
Gregor Schlierenzauer	Gregor Schlierenzauer
Robert Hughes (critic)	Robert Hughes
Mauricio Victorino	Mauricio Victorino
Vojislav Koštunica	Vojislav Koštunica
Walther Kossel	Walther Kossel
Maxine Elliott	Maxine Elliott
David Vanole	David Vanole
Jovan Vladimir	Jovan Vladimir
Belladonna (actress)	Belladonna
Raymond E. Feist	Raymond E. Feist
Joseph Roth	Joseph Roth
Carlos Enrique Díaz de León	Carlos Enrique Díaz de León
Adam Powell (game designer)	Adam Powell
Clementia of Hungary	Clemencia de Hungría
Manuel Isidoro Belzu	Manuel Isidoro Belzu
Wendel Geraldo	Wendel Geraldo Maurício da Silva
Volker Strassen	Volker Strassen
Livio Berruti	Livio Berruti
Mitt Romney	Mitt Romney
Satomi Kōrogi	Satomi Kōrogi
Josef Strauss	Josef Strauß
Henry II, Duke of Lorraine	Enrique II de Lorena
Gennady Zyuganov	Guennadi Ziugánov
Damon Runyon	Damon Runyon
Matthew Vaughn	Matthew Vaughn
Robert Hertz	Robert Hertz
Óscar Sonejee	Óscar Sonejee
Paolo di Giovanni Fei	Paolo di Giovanni Fei
Efim Bogoljubov	Yefim Bogoliubov
Mototsugu Shimizu	Mototsugu Shimizu
Zach Galligan	Zach Galligan
Michaela Kirchgasser	Michaela Kirchgasser
Aurélien Capoue	Aurélien Capoue
Alfre Woodard	Alfre Woodard
David Hahn	David Hahn
Charly García	Charly García
Jubal Early	Jubal Anderson Early
Antonio José Amar y Borbón	Antonio José Amar y Borbón
Alexandru Averescu	Alexandru Averescu
Daniele Dessena	Daniele Dessena
Xavier Abreu Sierra	Xavier Abreu Sierra
Kathleen Sebelius	Kathleen Sebelius
Ermengol IV, Count of Urgell	Ermengol IV de Urgel
Leandro Rinaudo	Leandro Rinaudo
Iskandar of Johor	Iskandar de Johor
Gretchen Franklin	Gretchen Franklin
Bo Goldman	Bo Goldman
Aed Carabao	Yuenyong Opakul
Beppo Levi	Beppo Levi
Ardys II	Ardis de Lidia
Miralem Pjanić	Miralem Pjanić
Chūhei Nambu	Chuhei Nambu
Wilhelm Tempel	Wilhelm Tempel
Hermann Goldschmidt	Hermann Mayer Salomon Goldschmidt
Delphine Seyrig	Delphine Seyrig
Hendrik Potgieter	Andries Potgieter
Chris Ellis (actor)	Chris Ellis
Balian of Beirut	Balián de Ibelín (fallecido en 1247)
Wayne Radford	Wayne Radford
Miguel Ángel Brindisi	Miguel Brindisi
Gabriele Kröcher-Tiedemann	Gabriele Krocher Tiedemann
John Humphrey Noyes	John Humphrey Noyes
Marcelo Déda	Marcelo Déda
Cosimo Fancelli	Cosimo Fancelli
Dustin Rhodes	Dustin Runnels
Henri Namphy	Henri Namphy
Aleksandr Ulyanov	Aleksandr Uliánov
Omi Minami	Omi Minami
Chhet Sovan Panya	Chhet Sovan Panha
Carlos Carrera	Carlos Carrera
Egid Quirin Asam	Egid Quirin Asam
Kevin Thaw	Kevin Thaw
Louis Amundson	Louis Amundson
Oriol Lozano	Oriol Lozano
Joseph F. Smith	Joseph F. Smith
George de La Hèle	George de La Hèle
Natasja Saad	Natasja Saad
Christian Kracht	Christian Kracht
Centule V, Viscount of Béarn	Céntulo V de Bearne
Barbara Delinsky	Barbara Delinsky
Miriam Gauci	Miriam Gauci
Bailey Olter	Bailey Olter
Kohei Hirate	Kōhei Hirate
Djemal Pasha	Ahmed Cemal
Suleiman ibn Qutulmish	Suleiman ibn Kutalmish
Preeya Kalidas	Preeya Kalidas
Petr Johana	Petr Johana
Albert, Duke in Prussia	Alberto I de Prusia
Arie Luyendyk	Arie Luyendyk
Anaximenes of Miletus	Anaxímenes
Richard Hamming	Richard Hamming
Antiochus V	Antíoco V Eupátor
Bill Kennedy (basketball)	Bill Kennedy
Ricky Meléndez	Ricky Meléndez
Antigonus I Monophthalmus	Antígono I Monóftalmos
Alexios II Komnenos	Alejo II Comneno
Javier Ros	Javier Ros
F. W. Murnau	Friedrich Wilhelm Murnau
Paul Morrissey	Paul Morrissey
Epaminondas	Epaminondas
Max Weinberg	Max Weinberg
Hannah Arendt	Hannah Arendt
Robert Donat	Robert Donat
Alfred Schütz	Alfred Schütz
Fun'ya no Yasuhide	Fun'ya no Yasuhide
Jordi Estadella	Jordi Estadella
Nasakhma	Nasajma
Chris Mitchell (journalist)	Chris Mitchell
Zishe Breitbart	Zishe Breitbart
Monika Zehrt	Monika Zehrt
Margaret Stewart, Dauphine of France	Margarita Estuardo
Alberto Bertuccelli	Alberto Bertuccelli
Tudhaliya III	Tudhalia III
Don Ohl	Don Ohl
Eduardo Dibós Dammert	Eduardo Dibós Dammert
Sebastián Iradier	Sebastián Iradier
Lodovico De Filippis	Lodovico De Filippis
David Añón González	David Añón
Anne and Patrick Poirier	Anne y Patrick Poirier
Maria Martinez	María Martínez (artista)
Hidenori Nodera	Hidenori Nodera
Donough MacCarty, 1st Earl of Clancarty	Donagh MacCarthy, vizconde de Muskerry
Arto Tchakmaktchian	Arto Tchakmaktchian
Tomitaro Makino	Tomitarō Makino
Alberto Armando	Alberto Jacinto Armando
Reggie Williams (basketball, born 1986)	Reggie Williams (baloncestista, nacido en 1986)
Luis Carlos Arias	Luis Carlos Arias
Vincent Spano	Vincent Spano
Michael Hartnett	Michael Hartnett
Mikael Tillström	Mikael Tillström
Eugène François Vidocq	Eugène-François Vidocq
Yannick Agnel	Yannick Agnel
Aldric of Le Mans	Alderico de Le Mans
Ferdinand Daučík	Ferdinand Daučík
Esteban de Palma	Esteban de Palma
Jozy Altidore	Jozy Altidore
Difunta Correa	Difunta Correa
Dayananda Saraswati	Dayananda Sarasvati
Zannanza	Zannanza
Galceran de Requesens y Santa Coloma	Galcerán de Requesens
Reiley McClendon	Reiley McClendon
Jeremy Bentham	Jeremy Bentham
Pieter Quast	Pieter Quast
Ariarathes VII of Cappadocia	Ariarates VII
Ernst Steinitz	Ernst Steinitz
Heloísa Helena (politician)	Heloísa Helena
Derek Smethurst	Derek Smethurst
John and Caitlin Matthews	John y Caitlín Matthews
Mario Bonnard	Mario Bonnard
Zenobia	Zenobia
Charlotte Shelby	Charlotte Shelby
Godwin, Earl of Wessex	Godwin de Wessex
Blu (artist)	Blu (artista)
John Dalton	John Dalton
Andrew O'Connor (sculptor)	Andrew O'Connor (escultor)
Yan Gamarnik	Yan Gamarnik
John Perry Barlow	John Perry Barlow
Lars Burgsmüller	Lars Burgsmüller
Bjørn (floruit 856–58)	Bjørn (vikingo)
Bernard Rhodes	Bernard Rhodes
Gehazi	Giezi
Harthacnut	Canuto Hardeknut
Eduard Vorganov	Eduard Vorganov
Chantal Claret	Chantal Claret
Pietro Scalia	Pietro Scalia
Steve Clark (soccer)	Steve Clark (futbolista)
Priscilla and Aquila	Priscila
Anna Ottosson	Anna Ottosson
Mário Cesariny de Vasconcelos	Mário Cesariny
Simon Curtis	Simon Curtis
Elvis Presley	Elvis Presley
Player Project	Player (robótica)
Gerhard von Rad	Gerhard von Rad
Maurice Bavaud	Maurice Bavaud
Bernardo Segura	Bernardo Segura
Francis Lister	Francis Lister
Hussein Chalayan	Hussein Chalayan
Max Ernst	Max Ernst
Walter Mischel	Walter Mischel
Brad Bradley	Brad Bradley
Charles Nelson Pogue	Charles Nelson Pogue
Michael A. Hoffman II	Michael A. Hoffman II
Prithwindra Mukherjee	Prithwindra Mukherjee
John Ventimiglia	John Ventimiglia
Ossip Zadkine	Ossip Zadkine
Roderick Green	Roderick Green
G. R. S. Mead	George Robert Stow Mead
Elisabeth Maragall	Elisabeth Maragall
Ángel (rapper)	Ángel El Poeta Cubano
Monique Coleman	Monique Coleman
Diego Santilli	Diego Santilli
Calixto Bravo Villaso	Calixto Bravo
Marcus Pupienus Africanus Maximus	Marco Pupieno Africano Maximo
Enrique de Guzmán, 2nd Count of Olivares	Enrique de Guzmán
Pablo Laso	Pablo Laso
Vicente Filisola	Vicente Filísola
Francisco Adolfo de Varnhagen, Viscount of Porto Seguro	Francisco Adolfo de Varnhagen
Ferran Martínez	Ferrán Martínez Garriga
The Answer (band)	The Answer
Pablo Hernández (footballer born 1986)	Pedro Pablo Hernández
Ray Abruzzo	Ray Abruzzo
Andreas Vinciguerra	Andreas Vinciguerra
Philo Farnsworth	Philo Farnsworth
Don Gordon (actor)	Don Gordon
Pedro Manuel Colón de Portugal	Pedro Manuel Colón de Portugal
Paul Fryxell	Paul Arnold Fryxell
Tim Breaux	Tim Breaux
Craig Lamar Traylor	Craig Lamar Traylor
Billy Lyall	Billy Lyall
Hajime Hana	Hajime Hana
Negro Casas	Negro Casas
Bogdan Borusewicz	Bogdan Borusewicz
Francisco Morazán	Francisco Morazán
Edward the Exile	Eduardo el Exiliado
Leszek II the Black	Leszek II el Negro
Raúl Castro	Raúl Castro
Anthony McAuliffe	Anthony McAuliffe
Levi	Leví (patriarca)
Salomon Reinach	Salomón Reinach
Marcella Bella	Marcella Bella
Saburō Sakai	Saburō Sakai
Larry Young (musician)	Larry Young
Tadao Ando	Tadao Andō
Leopold Engleitner	Leopold Engleitner
Alexander Luria	Aleksandr Lúriya
William Ross Ashby	William Ross Ashby
Hitoshi Ashida	Hitoshi Ashida
Jake E. Lee	Jake E. Lee
Harry Pollitt	Harry Pollitt
Peter Bartholomew	Pedro Bartolomé
Carolyn S. Shoemaker	Carolyn Shoemaker
George Bancroft	George Bancroft
Sam Brown (singer)	Sam Brown
Richard Dreyfuss	Richard Dreyfuss
Dean Wareham	Dean Wareham
Glen Velez	Glen Vélez
Delirious?	Delirious?
Charisma Carpenter	Charisma Carpenter
Laurindo Almeida	Laurindo Almeida
Ivan V of Russia	Iván V de Rusia
Simeon I of Bulgaria	Simeón I de Bulgaria
Bernard Purdie	Bernard Purdie
Christopher Plummer	Christopher Plummer
John of Salisbury	Juan de Salisbury
Magnus Hirschfeld	Magnus Hirschfeld
Ta Mok	Ta Mok
J. Eric S. Thompson	Eric S. Thompson
José-Maria de Heredia	José María de Heredia
Caesar Rodney	Caesar Rodney
Faith Evans	Faith Evans
Ian Curtis	Ian Curtis
Lili St. Cyr	Lili St. Cyr
Joan Chen	Joan Chen
Warren Hastings	Warren Hastings
Dean DeLeo	Dean DeLeo
Jamie Cullum	Jamie Cullum
Prince Frederick Charles of Hesse	Federico Carlos de Hesse-Kassel
Camille Chamoun	Camille Chamoun
Zeki Müren	Zeki Müren
Hubert Ashton Holden	Hubert Ashton Holden
John Ashbery	John Ashbery
Ramón Mercader	Ramón Mercader
Angélica María	Angélica María
Francisco Aguabella	Francisco Aguabella
Madeleine Bordallo	Madeleine Bordallo
Björk	Björk
Ashanti (entertainer)	Ashanti (cantante)
Charlotte Brontë	Charlotte Brontë
Bill Shankly	Bill Shankly
Alfred of Sareshel	Alfredo de Sareshel
Jean Charles Léonard de Sismondi	Jean-Charles-Léonard Simonde de Sismondi
Micheline Calmy-Rey	Micheline Calmy-Rey
Warren Cuccurullo	Warren Cuccurullo
Ōkubo Toshimichi	Ōkubo Toshimichi
Chico Hamilton	Chico Hamilton
Ronald Colman	Ronald Colman
Jerry West	Jerry West
Alexander McQueen	Alexander McQueen
María de Lourdes Santiago	María de Lourdes Santiago
Thorbjørn Jagland	Thorbjørn Jagland
Callimachus (polemarch)	Calímaco (militar)
Jimmy Woode	Jimmy Woode
Jack Williamson	Jack Williamson
Heavy D	Heavy D
Wolfgang Sawallisch	Wolfgang Sawallisch
Khosrau I	Cosroes I
Adam Jones (musician)	Adam Jones
Paul Tagliabue	Paul Tagliabue
John Grinder	John Grinder
Henry Watson Fowler	Henry Watson Fowler
Peter Banks	Peter Banks
Giovanni Battista Vitali	Giovanni Battista Vitali
Don Johnson	Don Johnson
Urukagina	Urukagina
Rob Overseer	Rob Overseer
Jay Wright Forrester	Jay Forrester
Glory (singer)	Glory (cantante)
Thomas Sheridan (actor)	Thomas Sheridan
Alfred von Tirpitz	Alfred von Tirpitz
Verghese Kurien	Verghese Kurien
Faustin I of Haiti	Faustino I
John Law (economist)	John Law
Jeff Buckley	Jeff Buckley
Siad Barre	Mohamed Siad Barre
Valdemar I of Denmark	Valdemar I de Dinamarca
Henry II, Holy Roman Emperor	Enrique II del Sacro Imperio Romano Germánico
Xuanzang	Xuanzang
Eileen Collins	Eileen Collins
Otto von Kotzebue	Otto von Kotzebue
Philippe Quinault	Philippe Quinault
Stanley Black	Stanley Black
Joseph Caillaux	Joseph Caillaux
Jason Nevins	Jason Nevins
Jeanette Winterson	Jeanette Winterson
Jonathan Brandis	Jonathan Brandis
Gerd von Rundstedt	Gerd von Rundstedt
Gottlieb Daimler	Gottlieb Daimler
Glenn Yarbrough	Glenn Yarbrough
Tokugawa Tsunayoshi	Tokugawa Tsunayoshi
Palmolive (musician)	Palmolive (músico)
Concino Concini	Concino Concini
Tracy Hickman	Tracy Hickman
Rudolf Christoph Eucken	Rudolf Christoph Eucken
Arshile Gorky	Arshile Gorky
Sacagawea	Sacajawea
Ludwig Leichhardt	Ludwig Leichhardt
Guerilla Black	Guerilla Black
René Harris	René Harris
Lawrence Summers	Lawrence Summers
Imelda Marcos	Imelda Marcos
Karl Richter (conductor)	Karl Richter
Ted Stevens	Ted Stevens
Kenny O'Dell	Kenny O'Dell
David Sylvian	David Sylvian
List of Iron Maiden band members	Anexo:Miembros de Iron Maiden
Dave Suzuki	Dave Suzuki
Jennifer Jason Leigh	Jennifer Jason Leigh
Glenn Branca	Glenn Branca
Adrienne Clarkson	Adrienne Clarkson
Jeff Koons	Jeff Koons
Aimable Pélissier	Aimable Pélissier
Giorgio de Chirico	Giorgio de Chirico
Mary Augusta Ward	Mrs. Humphry Ward
Glenn Ljungström	Glenn Ljungström
Stuart Tosh	Stuart Tosh
Isabella Beeton	Isabella Beeton
Georg Michaelis	Georg Michaelis
Gaylord Perry	Gaylord Perry
James Napper Tandy	James Napper Tandy
Buffalo Bill	Buffalo Bill
Howie B	Howard Bernstein
Thomas Tallis	Thomas Tallis
Jeff Bingaman	Jeff Bingaman
Pertinax	Pertinax
Fernandel	Fernandel
Yvonne Loriod	Yvonne Loriod
Favila of Asturias	Favila de Asturias
Pierre Brossolette	Pierre Brossolette
Albert Lortzing	Albert Lortzing
Gnaeus Calpurnius Piso	Cneo Calpurnio Pisón (cónsul 7 a. C.)
Feodor I of Russia	Teodoro I de Rusia
Pete Yorn	Pete Yorn
Dan Butler	Dan Butler
Charlie Gehringer	Charlie Gehringer
Cliff Burton	Cliff Burton
Rob Zombie	Rob Zombie
Minmi	MINMI
Willebrord Snellius	Willebrord Snel van Royen
Bull Moose Jackson	Bull Moose Jackson
CB Milton	CB Milton
Maxïmo Park	Maxïmo Park
Hrólfr Kraki	Hrólfr Kraki
Perdiccas III of Macedon	Pérdicas III de Macedonia
Benjamin Frankel	Benjamin Frankel
Marie Ortal Malka	Ortal
Alexander Calder	Alexander Calder
Mariano Guadalupe Vallejo	Mariano Guadalupe Vallejo
Eugène Burnouf	Eugène Burnouf
