name_eng	name_spa
Timur Bekmambetov	Timur Bekmambetov
Ceolwulf of Wessex	Ceolwulf de Wessex
John Jacob Abel	John Jacob Abel
Charles Beauclerk, 1st Duke of St Albans	Charles Beauclerk, I duque de St Albans
Boris and Gleb	Borís y Gleb
Andreas Embirikos	Andreas Embirikos
Ferdinand Bauer	Ferdinand Bauer
Byron Stroud	Byron Stroud
Albert Koebele	Albert Koebele
Jnan Prakash Ghosh	Jnan Prakash Ghosh
Genie (feral child)	Genie
Jeffrey Ntuka	Jeffrey Ntuka-Pule
Fricson George	Fricson George
Keko (footballer born 1991)	Sergio Gontán Gallardo
Ernst Troeltsch	Ernst Troeltsch
Karin Gayer	Karin Gayer
Sebastián Nayar	Sebastián Nayar
Roy Lancaster	Roy Lancaster
Lucius Calpurnius Piso Frugi (consul 133 BC)	Lucio Calpurnio Pisón Frugi (cónsul 133 a. C.)
Tránsito Cocomarola	Mario del Tránsito Cocomarola
Raphael Nuzzolo	Raphael Nuzzolo
James Hillman	James Hillman
Ariane Friedrich	Ariane Friedrich
Álvaro Gutiérrez (footballer)	Álvaro Gutiérrez (futbolista)
Carly Rae Jepsen	Carly Rae Jepsen
Marcela Kloosterboer	Marcela Kloosterboer
Ljubomir Davidović	Ljubomir Davidović
Geert Wilders	Geert Wilders
Spurius Postumius Albinus (consul 110 BC)	Espurio Postumio Albino (cónsul 110 a. C.)
Evelyn Matthei	Evelyn Matthei
Kirill Nababkin	Kiril Nababkin
Joaquín Almunia	Joaquín Almunia
Richard Boyle, 1st Earl of Cork	Richard Boyle, conde de Cork
Rika Ishikawa	Rika Ishikawa
Niño Ricardo	Niño Ricardo
Gunnar Knudsen	Gunnar Knudsen
Elsa Merlini	Elsa Merlini
Durvasa	Durvasa
Guy Davenport	Guy Davenport
Paolo Virno	Paolo Virno
Carolyn Davidson	Carolyn Davidson
Albert Oldman	Albert Leonard Oldman
Roberto Viaux	Roberto Viaux
Pablo Palacios	Pablo Palacios
Érika	Érika Cristiano dos Santos
Philip, Count of Longueville	Felipe de Navarra
Paola Tirados	Paola Tirados
Lucius Tarquinius Superbus	Tarquinio el Soberbio
Jean-Christophe Boullion	Jean-Christophe Boullion
Mopreme Shakur	Mopreme
Lope de Rueda	Lope de Rueda
Jamsrangiin Sambuu	Jamtsarangiyn Sambuu
William Gilpin (priest)	William Gilpin
Erich Brandenberger	Erich Brandenberg
Fernando Ramallo	Fernando Ramallo
Stuart Lewis-Evans	Stuart Lewis-Evans
Francisco Garcés	Francisco Garcés
Cyndi Wang	Cyndi Wang
Tommy Bond	Tommy Bond
Hanif Kureishi	Hanif Kureishi
Sextus Calpurnius Agricola	Sexto Calpurnio Agrícola
Joaquín Rocha	Joaquín Rocha
Christian Wirth	Christian Wirth
Janet Reno	Janet Reno
Giovanna Amati	Giovanna Amati
Vitantonio Liuzzi	Vitantonio Liuzzi
George Thorndike Angell	George Thorndike Angell
Shia LaBeouf	Shia LaBeouf
Chad Hugo	Chad Hugo
Petros Molyviatis	Petros Molyviatis
Gazi Yaşargil	Gazi Yaşargil
Camilla Williams	Camilla Williams
Gottfried von Cramm	Gottfried von Cramm
Tank Abbott	Tank Abbott
Daisuke Asakura	Daisuke Asakura
Francisco Mendoza de Bobadilla	Francisco de Mendoza y Bobadilla
Peter Purves	Peter Purves
Samori Ture	Samory Touré
Cara Zavaleta	Cara Zavaleta
Gerard Malanga	Gerard Malanga
Facundo Argüello (soccer)	Facundo Argüello
Liam Hemsworth	Liam Hemsworth
Noon Meem Rashid	Noon Meem Rashid
Jan Frans van Bloemen	Jan Frans van Bloemen
Takeshi Obata	Takeshi Obata
Nkosazana Dlamini-Zuma	Nkosazana Dlamini-Zuma
Megumi Sato (actress)	Megumi Sato (actriz)
Hugo von Mohl	Hugo von Mohl
Nicolas Brazier	Nicolas Brazier
Theodor Gebre Selassie	Theodor Gebre Selassie
Ignacio Álvarez Thomas	Ignacio Álvarez Thomas
Jacques Lacan	Jacques Lacan
Johann Joseph Peyritsch	Johann Joseph Peyritsch
Lech Wałęsa	Lech Wałęsa
Iván Gabrich	Iván Gabrich
Ephraim Katzir	Efraim Katzir
Ewan McGregor	Ewan McGregor
António José de Almeida	António José de Almeida
Mitchell Feigenbaum	Mitchell Feigenbaum
Juan Fernando López Aguilar	Juan Fernando López Aguilar
John of Lencastre, 1st Duke of Aveiro	Juan de Lencastre
Tomas Tranströmer	Tomas Tranströmer
Bathycles of Magnesia	Baticles de Magnesia
Anna Torv	Anna Torv
Jacques Groothaert	Jacques Groothaert
Sigismondo d'India	Sigismondo d'India
Adolphus Ypey	Adolfo Ypey
John Benjamin Murphy	John Benjamin Murphy
Derlis Soto	Derlis Soto
Martha Hyer	Martha Hyer
Johnny Placide	Johnny Placide
Stefan Persson (magnate)	Stefan Persson
Virginia Vallejo	Virginia Vallejo
Francesco Panigarola	Francisco Panigarola
Georges Passerieu	Georges Passerieu
Lexi Belle	Lexi Belle
Agesilaus I	Agesilao I
Francisco Romano Guillemin	Francisco Romano Guillemin
Ibn al-Yayyab	Ibn al-Yayyab
Ray Lankester	Ray Lankester
Dimitrios Mavroeidis	Dimitrios Mavroeidis
David S. Broder	David S. Broder
Héctor Altamirano	Héctor Altamirano
Alexander Popov (swimmer)	Aleksandr Popov (nadador)
Frank McGlynn, Sr.	Frank McGlynn Sr.
Bob Gansler	Bob Gansler
Parveen Babi	Parveen Babi
Luis de Souza Ferreira	Luis de Souza Ferreira
Andrey Vorontsevich	Andrej Voroncevič
Prince Umberto, Count of Salemi	Humberto de Saboya-Aosta
Jamel Aït Ben Idir	Jamel Ait-Ben-Idir
Ricardo Lagos Weber	Ricardo Lagos Weber
Joe Cannon (soccer)	Joe Cannon (futbolista)
Aston Martin	Aston Martin
Sanda Ladoși	Sanda Ladoși
William Paredes	William Paredes
Mago I of Carthage	Magón I de Cartago
Colin Pitchfork	Colin Pitchfork
June Collyer	June Collyer
Else von Richthofen	Else von Richthofen
Bobby Gurney	Bobby Gurney
Jarosław Iwaszkiewicz	Jarosław Iwaszkiewicz
Edmundo Suárez	Edmundo Suárez
Ivaylo of Bulgaria	Ivailo de Bulgaria
Nordin Amrabat	Nordin Amrabat
Karen Dejo	Karen Dejo
Juan Rejón	Juan Rejón
José Núñez	José Núñez
Shouma Yamamoto	Shōma Yamamoto
Melchior Broederlam	Melchior Broederlam
Emil Pfeiffer	Emil Pfeiffer
Terence Tao	Terence Tao
Pere Tomàs	Pere Tomàs
Stefanos Siontis	Stefanos Siontis
Joan Toscano	Juan Carlos Toscano
Nicolás del Campo	Nicolás del Campo
Elisapie Isaac	Elisapie Isaac
Benoît Trémoulinas	Benoît Trémoulinas
María Edwards	María Edwards Mac-Clure
Yvonne Minton	Yvonne Minton
Ricky van Wolfswinkel	Ricky van Wolfswinkel
Dick Stabile	Dick Stabile
Hunac Ceel	Hunac Ceel
Irving Fein	Irving Fein
Ulisse Stacchini	Ulisse Stacchini
Ephysius	Efisio
Henri Stambouli	Henri Stambouli
Naoshi Komi	Naoshi Komi
Aelius Theon	Aelius Theon
Luminiţa Dinu	Luminiţa Dinu-Huţupan
Lugalanda	Lugalanda
Roland Pertwee	Roland Pertwee
Al Nassr FC	Al-Nassr
Honda Indy Toronto	Gran Premio de Toronto
Yoshiyuki Sadamoto	Yoshiyuki Sadamoto
George Müller	George Müller
Princess Maria Cristina of Bourbon-Two Sicilies	María Cristina de Borbón-Dos Sicilias (1877-1947)
Gabriel Furlán	Gabriel Furlán
Vicente Gerbasi	Vicente Gerbasi
Pavel Telička	Pavel Telička
Helmer Hanssen	Helmer Hanssen
Raúl Nava López	Raúl Nava
Rupert Wyatt	Rupert Wyatt
Domenico Capuano	Domenico Capuano
Abhinavagupta	Abhinavagupta
Russ Columbo	Russ Columbo
Olga Lengyel	Olga Lengyel
Giovanni di Agostino	Agostino da Siena
Shantel	Shantel
Omar Khadr	Omar Khadr
Nicolás Bertolo	Nicolás Bertolo
Cayetano Redondo Aceña	Cayetano Redondo
Tiny Mills	Tiny Mills
Josef Herrmann	Josef Herrmann
Oleh Blokhin	Oleg Blojín
Birger, King of Sweden	Birger I de Suecia
