#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Alice_Ayres	family life,0.31534883720930235	military,0.26232558139534884	film/tv,0.1572093023255814	royalty,0.09488372093023256	literature + other,0.061395348837209304	orchestra,0.03348837209302326	politics,0.022325581395348838	church/royalty,0.01953488372093023	music,0.018604651162790697	sports,0.014883720930232559
Alice_de_Battenberg	royalty,0.5214198286413708	family life,0.2076703386372909	military,0.17543859649122806	literature + other,0.028967768257853937	church/royalty,0.01835985312117503	politics,0.016727866177070585	orchestra,0.014687882496940025	film/tv,0.007751937984496124	sports,0.005303957568339453	music,0.0036719706242350062
Alice_in_Chains	music,0.6852207293666027	family life,0.13915547024952016	military,0.05662188099808062	film/tv,0.036468330134357005	orchestra,0.02495201535508637	sports,0.018234165067178502	royalty,0.012476007677543186	politics,0.009596928982725527	church/royalty,0.009596928982725527	literature + other,0.007677543186180422
Alphège_de_Cantorbéry	church/royalty,0.6010928961748634	military,0.13296903460837886	family life,0.07468123861566485	orchestra,0.04007285974499089	literature + other,0.03642987249544627	royalty,0.029143897996357013	film/tv,0.023679417122040074	sports,0.02185792349726776	politics,0.02185792349726776	music,0.018214936247723135
Ambrose_Rookwood	royalty,0.2	church/royalty,0.12857142857142856	military,0.11428571428571428	family life,0.08571428571428572	literature + other,0.08571428571428572	film/tv,0.08571428571428572	music,0.08571428571428572	sports,0.07142857142857142	politics,0.07142857142857142	orchestra,0.07142857142857142
Anastasia_Nikolaïevna_de_Russie	royalty,0.4200626959247649	family life,0.18599791013584116	military,0.13270637408568442	orchestra,0.07836990595611286	politics,0.05329153605015674	literature + other,0.03657262277951933	church/royalty,0.029258098223615466	film/tv,0.025078369905956112	sports,0.02089864158829676	music,0.017763845350052248
Andrew_Cunningham	military,0.3620689655172414	family life,0.1896551724137931	politics,0.08620689655172414	church/royalty,0.07471264367816093	orchestra,0.06321839080459771	literature + other,0.05747126436781609	film/tv,0.05747126436781609	royalty,0.040229885057471264	music,0.040229885057471264	sports,0.028735632183908046
André_Kertész	family life,0.21621621621621623	orchestra,0.2132132132132132	literature + other,0.14714714714714713	military,0.12012012012012012	film/tv,0.10810810810810811	politics,0.05105105105105105	sports,0.03903903903903904	music,0.03903903903903904	church/royalty,0.036036036036036036	royalty,0.03003003003003003
Angus_Lewis_Macdonald	military,0.14285714285714285	politics,0.12857142857142856	family life,0.11428571428571428	royalty,0.11428571428571428	church/royalty,0.1	sports,0.08571428571428572	literature + other,0.08571428571428572	orchestra,0.08571428571428572	film/tv,0.07142857142857142	music,0.07142857142857142
Ann_Bannon	film/tv,0.1917808219178082	music,0.1232876712328767	literature + other,0.1095890410958904	military,0.0958904109589041	family life,0.0821917808219178	sports,0.0821917808219178	politics,0.0821917808219178	church/royalty,0.0821917808219178	royalty,0.0821917808219178	orchestra,0.0684931506849315
Anna_d'Est-Anglie	church/royalty,0.6973180076628352	family life,0.08939974457215837	military,0.06641123882503193	royalty,0.04853128991060025	literature + other,0.035759897828863345	sports,0.016602809706257982	film/tv,0.016602809706257982	music,0.011494252873563218	politics,0.010217113665389528	orchestra,0.007662835249042145
Anna_Laetitia_Barbauld	literature + other,0.3880190605854323	film/tv,0.2610619469026549	family life,0.11572498298162015	politics,0.07692307692307693	military,0.06841388699795779	royalty,0.03573859768550034	orchestra,0.01906058543226685	music,0.015656909462219197	sports,0.011912865895166781	church/royalty,0.007488087134104833
Anna_May_Wong	film/tv,0.5601173020527859	politics,0.093841642228739	music,0.08211143695014662	literature + other,0.060117302052785926	military,0.05865102639296188	family life,0.04985337243401759	orchestra,0.04398826979472141	church/royalty,0.02346041055718475	royalty,0.016129032258064516	sports,0.011730205278592375
Anne_de_Danemark	royalty,0.4722222222222222	family life,0.15	military,0.08333333333333333	church/royalty,0.06111111111111111	literature + other,0.044444444444444446	film/tv,0.044444444444444446	orchestra,0.03888888888888889	music,0.03888888888888889	sports,0.03333333333333333	politics,0.03333333333333333
Anton_Tchekhov	orchestra,0.35457795740711956	family life,0.310896937665164	literature + other,0.14643245764029225	military,0.1044613710554951	film/tv,0.03031245142235349	royalty,0.021140991761231152	politics,0.018342919322244675	sports,0.005596144877972952	music,0.004818902533810042	church/royalty,0.003419866314316804
