#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Choe_Bu	literature + other,0.2625	family life,0.16875	church/royalty,0.11875	politics,0.1125	military,0.09375	sports,0.0625	royalty,0.05	film/tv,0.04375	orchestra,0.04375	music,0.04375
Chrisye	orchestra,0.189873417721519	music,0.12658227848101267	family life,0.11392405063291139	royalty,0.11392405063291139	politics,0.10126582278481013	sports,0.0759493670886076	literature + other,0.0759493670886076	military,0.0759493670886076	film/tv,0.06329113924050633	church/royalty,0.06329113924050633
Cillian_Murphy	film/tv,0.611878453038674	music,0.12154696132596685	sports,0.07596685082872928	military,0.05110497237569061	family life,0.03038674033149171	church/royalty,0.029005524861878452	politics,0.023480662983425413	literature + other,0.020718232044198894	orchestra,0.020718232044198894	royalty,0.015193370165745856
Clarence_Decatur_Howe	politics,0.385	military,0.13	sports,0.115	family life,0.075	film/tv,0.065	royalty,0.055	literature + other,0.05	orchestra,0.045	church/royalty,0.04	music,0.04
Clem_Hill	sports,0.42424242424242425	family life,0.0707070707070707	politics,0.0707070707070707	military,0.0707070707070707	royalty,0.0707070707070707	music,0.0707070707070707	film/tv,0.06060606060606061	orchestra,0.06060606060606061	literature + other,0.050505050505050504	church/royalty,0.050505050505050504
Clements_Markham	family life,0.3710144927536232	film/tv,0.21159420289855072	royalty,0.07536231884057971	literature + other,0.07246376811594203	politics,0.07246376811594203	military,0.06666666666666667	orchestra,0.043478260869565216	music,0.034782608695652174	sports,0.028985507246376812	church/royalty,0.02318840579710145
CM_Punk	sports,0.6576148449875537	music,0.12152070604209098	military,0.0746775288526816	family life,0.0629101606698348	film/tv,0.0461642905634759	literature + other,0.011088481556913329	politics,0.007920343969223807	church/royalty,0.007694048427245984	royalty,0.007015161801312514	orchestra,0.0033944331296673455
Coenwulf_de_Mercie	church/royalty,0.6591676040494938	military,0.10573678290213723	family life,0.09167604049493813	politics,0.06074240719910011	literature + other,0.031496062992125984	royalty,0.02530933633295838	orchestra,0.007311586051743532	sports,0.006749156355455568	film/tv,0.006749156355455568	music,0.005061867266591676
Colley_Cibber	film/tv,0.3726937269372694	family life,0.14206642066420663	orchestra,0.11808118081180811	literature + other,0.09040590405904059	royalty,0.08487084870848709	military,0.06088560885608856	church/royalty,0.04797047970479705	sports,0.03505535055350553	music,0.025830258302583026	politics,0.02214022140221402
Constantin_II_d'Écosse	church/royalty,0.5125	royalty,0.13125	family life,0.090625	military,0.084375	film/tv,0.046875	sports,0.0375	literature + other,0.028125	orchestra,0.028125	politics,0.021875	music,0.01875
Cosmo_Lang	church/royalty,0.19480519480519481	royalty,0.12987012987012986	orchestra,0.1038961038961039	politics,0.09090909090909091	military,0.09090909090909091	music,0.09090909090909091	family life,0.07792207792207792	sports,0.07792207792207792	literature + other,0.07792207792207792	film/tv,0.06493506493506493
Cædmon	church/royalty,0.36228287841191065	literature + other,0.16377171215880892	family life,0.13895781637717122	orchestra,0.13399503722084366	military,0.08436724565756824	film/tv,0.03722084367245657	politics,0.022332506203473945	royalty,0.022332506203473945	music,0.019851116625310174	sports,0.01488833746898263
Cædwalla	church/royalty,0.42657342657342656	military,0.1258741258741259	royalty,0.09090909090909091	literature + other,0.06293706293706294	orchestra,0.06293706293706294	family life,0.055944055944055944	politics,0.04895104895104895	music,0.04895104895104895	sports,0.04195804195804196	film/tv,0.03496503496503497
Damageplan	music,0.40963855421686746	orchestra,0.10240963855421686	politics,0.09036144578313253	military,0.07228915662650602	film/tv,0.07228915662650602	family life,0.060240963855421686	sports,0.060240963855421686	literature + other,0.05421686746987952	church/royalty,0.04819277108433735	royalty,0.030120481927710843
Damon_Hill	sports,0.5807416267942583	military,0.15231259968102073	family life,0.14473684210526316	music,0.03588516746411483	film/tv,0.025518341307814992	royalty,0.019736842105263157	politics,0.014553429027113238	orchestra,0.014354066985645933	literature + other,0.007974481658692184	church/royalty,0.004186602870813397
Daniel_Boone	politics,0.5428921568627451	family life,0.16574754901960784	military,0.10447303921568628	literature + other,0.06403186274509803	film/tv,0.046262254901960786	royalty,0.024816176470588234	church/royalty,0.021752450980392156	orchestra,0.014705882352941176	music,0.010723039215686275	sports,0.004595588235294118
Daniel_Sedin	sports,0.7418181818181818	military,0.04363636363636364	family life,0.04	film/tv,0.03636363636363636	politics,0.03272727272727273	orchestra,0.025454545454545455	royalty,0.02181818181818182	music,0.02181818181818182	literature + other,0.01818181818181818	church/royalty,0.01818181818181818
David_Ier_d'Écosse	church/royalty,0.5332932210188528	family life,0.16125150421179302	military,0.12294424388287205	royalty,0.12033694344163658	literature + other,0.024067388688327317	film/tv,0.009626955475330927	politics,0.0094263939029282	sports,0.009225832330525471	orchestra,0.005214600882470918	music,0.004612916165262736
David_Lewis_(homme_politique)	politics,0.29545454545454547	sports,0.10227272727272728	military,0.10227272727272728	church/royalty,0.07954545454545454	royalty,0.07954545454545454	orchestra,0.07954545454545454	music,0.07954545454545454	film/tv,0.06818181818181818	family life,0.056818181818181816	literature + other,0.056818181818181816
David_Lovering	music,0.2903225806451613	politics,0.12903225806451613	literature + other,0.08602150537634409	family life,0.07526881720430108	military,0.07526881720430108	royalty,0.07526881720430108	orchestra,0.07526881720430108	sports,0.06451612903225806	film/tv,0.06451612903225806	church/royalty,0.06451612903225806
Deusdedit_de_Cantorbéry	church/royalty,0.463768115942029	family life,0.08695652173913043	military,0.08695652173913043	royalty,0.0821256038647343	politics,0.07246376811594203	literature + other,0.06280193236714976	orchestra,0.043478260869565216	sports,0.03864734299516908	film/tv,0.033816425120772944	music,0.028985507246376812
Démosthène	literature + other,0.3941908713692946	military,0.21300138312586445	family life,0.18603042876901799	church/royalty,0.06500691562932227	royalty,0.04910096818810512	politics,0.03941908713692946	orchestra,0.017980636237897647	sports,0.016597510373443983	film/tv,0.014522821576763486	music,0.004149377593360996
Diane_Keaton	film/tv,0.5942401645667267	family life,0.18308048341475958	music,0.06942658781177681	military,0.053741321676523526	sports,0.043455901259964	orchestra,0.017742350218565184	literature + other,0.016970943687323218	royalty,0.01131396245821548	church/royalty,0.0053998457186937516	politics,0.004628439187451787
Dick_Turpin	film/tv,0.31538696849189357	military,0.23524013459773632	family life,0.22789843988987457	literature + other,0.06362802080146834	church/royalty,0.06240440501682472	politics,0.027225451208320588	royalty,0.02691954726215968	music,0.02294279596206791	sports,0.013765677577240747	orchestra,0.004588559192413582
Dioclétien	church/royalty,0.4657198824681685	military,0.24485798237022527	family life,0.13418217433888344	royalty,0.04603330068560235	literature + other,0.043095004897159644	politics,0.029872673849167482	sports,0.013712047012732615	orchestra,0.00832517140058766	music,0.007835455435847209	film/tv,0.006366307541625857
Dmitri_Chostakovitch	orchestra,0.5181219110378913	military,0.13838550247116968	family life,0.13056013179571663	politics,0.08072487644151564	literature + other,0.06219110378912685	sports,0.018121911037891267	film/tv,0.01729818780889621	church/royalty,0.013591433278418451	music,0.013591433278418451	royalty,0.007413509060955519
Domenico_Selvo	church/royalty,0.4782608695652174	military,0.20835686053077357	family life,0.18407679277244496	politics,0.04009034443817053	royalty,0.03670242800677583	literature + other,0.023715415019762844	sports,0.009599096555618294	orchestra,0.007905138339920948	film/tv,0.00564652738565782	music,0.00564652738565782
Dominik_Hašek	sports,0.8738135120044668	family life,0.03685092127303183	military,0.034059184812953655	orchestra,0.014517029592406477	politics,0.012841987716359575	film/tv,0.0072585147962032385	royalty,0.006700167504187605	church/royalty,0.005583472920156337	music,0.005025125628140704	literature + other,0.0033500837520938024
Domitien	church/royalty,0.4329268292682927	military,0.1986062717770035	family life,0.17857142857142858	royalty,0.05400696864111498	literature + other,0.04790940766550523	politics,0.02700348432055749	sports,0.024390243902439025	orchestra,0.017421602787456445	film/tv,0.010452961672473868	music,0.008710801393728223
Don_Tallon	sports,0.6091954022988506	military,0.08045977011494253	family life,0.07279693486590039	royalty,0.05363984674329502	music,0.05363984674329502	literature + other,0.03065134099616858	politics,0.03065134099616858	film/tv,0.03065134099616858	church/royalty,0.019157088122605363	orchestra,0.019157088122605363
Douglas_Jardine	sports,0.48444444444444446	film/tv,0.11555555555555555	church/royalty,0.10666666666666667	military,0.06222222222222222	family life,0.05333333333333334	politics,0.044444444444444446	orchestra,0.04	literature + other,0.03111111111111111	royalty,0.03111111111111111	music,0.03111111111111111
Du_Fu	family life,0.2737430167597765	literature + other,0.22346368715083798	orchestra,0.13966480446927373	military,0.1005586592178771	royalty,0.055865921787709494	film/tv,0.05027932960893855	church/royalty,0.04748603351955307	politics,0.04189944134078212	sports,0.03910614525139665	music,0.027932960893854747
Duncan_Edwards	sports,0.5210295040803515	family life,0.18204645323289392	military,0.11989956057752668	orchestra,0.03954802259887006	film/tv,0.03327055869428751	royalty,0.030759573132454487	politics,0.022598870056497175	literature + other,0.018832391713747645	music,0.016321406151914627	church/royalty,0.015693659761456372
Eadbald_de_Kent	church/royalty,0.6830332787779596	family life,0.1412984178941626	military,0.06492089470812876	royalty,0.046917621385706494	literature + other,0.024004364429896344	politics,0.009274413529732678	film/tv,0.00872885979268958	sports,0.007637752318603383	orchestra,0.007637752318603383	music,0.006546644844517185
Eardwulf_de_Northumbrie	church/royalty,0.6834170854271356	family life,0.09673366834170855	military,0.0935929648241206	politics,0.059045226130653265	literature + other,0.02701005025125628	royalty,0.010678391959798994	music,0.009422110552763818	sports,0.008793969849246231	orchestra,0.00628140703517588	film/tv,0.005025125628140704
Ed_Stelmach	politics,0.3834355828220859	sports,0.1687116564417178	military,0.11349693251533742	family life,0.06748466257668712	film/tv,0.06748466257668712	orchestra,0.05214723926380368	royalty,0.049079754601226995	literature + other,0.03987730061349693	music,0.03680981595092025	church/royalty,0.02147239263803681
Edmund_Sharpe	film/tv,0.17518248175182483	orchestra,0.17518248175182483	family life,0.1386861313868613	military,0.13138686131386862	literature + other,0.0948905109489051	politics,0.08759124087591241	music,0.06569343065693431	royalty,0.058394160583941604	sports,0.040145985401459854	church/royalty,0.032846715328467155
Eduard_Streltsov	sports,0.4852941176470588	military,0.14285714285714285	politics,0.10714285714285714	family life,0.07563025210084033	orchestra,0.06512605042016807	literature + other,0.04411764705882353	royalty,0.023109243697478993	film/tv,0.018907563025210083	church/royalty,0.018907563025210083	music,0.018907563025210083
Edward_Drinker_Cope	film/tv,0.29541284403669726	family life,0.20733944954128442	literature + other,0.163302752293578	politics,0.10091743119266056	music,0.04954128440366973	orchestra,0.045871559633027525	royalty,0.044036697247706424	military,0.03853211009174312	sports,0.03669724770642202	church/royalty,0.01834862385321101
Edward_Elgar	orchestra,0.5380378657487092	family life,0.19294320137693632	film/tv,0.076592082616179	military,0.059896729776247846	music,0.045438898450946646	literature + other,0.035628227194492254	royalty,0.02495697074010327	sports,0.011015490533562823	politics,0.008605851979345954	church/royalty,0.0068846815834767644
Edward_Low	family life,0.2524752475247525	military,0.18811881188118812	literature + other,0.13861386138613863	music,0.0891089108910891	church/royalty,0.07425742574257425	orchestra,0.06435643564356436	politics,0.054455445544554455	film/tv,0.054455445544554455	sports,0.04950495049504951	royalty,0.034653465346534656
Egbert_de_Wessex	church/royalty,0.7237723214285714	family life,0.11272321428571429	military,0.05078125	literature + other,0.029575892857142856	royalty,0.02734375	politics,0.021763392857142856	sports,0.01171875	music,0.008928571428571428	orchestra,0.007254464285714286	film/tv,0.006138392857142857
El_Greco	literature + other,0.4827586206896552	family life,0.1624780829924021	orchestra,0.1005260081823495	church/royalty,0.07481005260081823	military,0.06545879602571596	royalty,0.04792518994739918	film/tv,0.025131502045587374	politics,0.01636469900642899	sports,0.012857977790765635	music,0.011689070718877849
Elaine_Paige	film/tv,0.4937888198757764	music,0.20496894409937888	military,0.062111801242236024	royalty,0.040372670807453416	family life,0.034161490683229816	sports,0.034161490683229816	church/royalty,0.034161490683229816	orchestra,0.034161490683229816	literature + other,0.031055900621118012	politics,0.031055900621118012
Elias_Ashmole	literature + other,0.23129251700680273	royalty,0.1292517006802721	family life,0.11564625850340136	military,0.11564625850340136	politics,0.09523809523809523	film/tv,0.08163265306122448	church/royalty,0.07482993197278912	orchestra,0.07482993197278912	sports,0.04081632653061224	music,0.04081632653061224
Elizabeth_Bowes-Lyon	royalty,0.5757575757575758	military,0.12534435261707988	family life,0.07988980716253444	film/tv,0.05096418732782369	orchestra,0.04132231404958678	politics,0.03581267217630854	church/royalty,0.03581267217630854	literature + other,0.02203856749311295	sports,0.01652892561983471	music,0.01652892561983471
Elliott_Smith	music,0.5442080378250591	family life,0.20094562647754138	military,0.07328605200945626	film/tv,0.06193853427895981	orchestra,0.04397163120567376	literature + other,0.021749408983451537	sports,0.02033096926713948	politics,0.01607565011820331	church/royalty,0.010874704491725768	royalty,0.006619385342789598
Ellis_Paul	music,0.3560606060606061	film/tv,0.17424242424242425	orchestra,0.09090909090909091	sports,0.06818181818181818	literature + other,0.06060606060606061	church/royalty,0.06060606060606061	politics,0.05303030303030303	military,0.05303030303030303	family life,0.045454545454545456	royalty,0.03787878787878788
Eric_Bana	film/tv,0.42780748663101603	music,0.12566844919786097	orchestra,0.08823529411764706	military,0.07754010695187166	sports,0.0748663101604278	royalty,0.06951871657754011	family life,0.045454545454545456	literature + other,0.034759358288770054	church/royalty,0.034759358288770054	politics,0.0213903743315508
Eric_Brewer	sports,0.4676258992805755	politics,0.07913669064748201	film/tv,0.07194244604316546	music,0.07194244604316546	orchestra,0.06474820143884892	family life,0.05755395683453238	military,0.05755395683453238	royalty,0.050359712230215826	church/royalty,0.04316546762589928	literature + other,0.03597122302158273
Ernest-Auguste_Ier_de_Hanovre	royalty,0.5998278829604131	military,0.14974182444061962	politics,0.09380378657487091	family life,0.07228915662650602	church/royalty,0.024096385542168676	literature + other,0.020654044750430294	sports,0.014629948364888123	music,0.011187607573149742	film/tv,0.0068846815834767644	orchestra,0.0068846815834767644
Ernest_Joyce	family life,0.7636282394995532	military,0.10411081322609472	sports,0.05138516532618409	film/tv,0.01653261840929401	royalty,0.01653261840929401	literature + other,0.01385165326184093	music,0.012064343163538873	orchestra,0.009830205540661306	church/royalty,0.006702412868632708	politics,0.005361930294906166
Ernest_Shackleton	family life,0.6931216931216931	military,0.14134542705971279	royalty,0.039052658100277145	film/tv,0.02620307382212144	literature + other,0.024439405391786344	music,0.02040816326530612	politics,0.01763668430335097	sports,0.015117157974300832	church/royalty,0.011337868480725623	orchestra,0.011337868480725623
Ernie_Fletcher	politics,0.44594594594594594	military,0.11261261261261261	literature + other,0.08558558558558559	sports,0.07657657657657657	orchestra,0.06756756756756757	family life,0.05855855855855856	royalty,0.04504504504504504	film/tv,0.04054054054054054	church/royalty,0.04054054054054054	music,0.02702702702702703
Ernst_Lindemann	military,0.4843304843304843	family life,0.1452991452991453	politics,0.1225071225071225	royalty,0.07122507122507123	orchestra,0.045584045584045586	sports,0.03418803418803419	music,0.02849002849002849	literature + other,0.02564102564102564	film/tv,0.022792022792022793	church/royalty,0.019943019943019943
Ethan_Hawke	film/tv,0.683649289099526	music,0.1457345971563981	sports,0.037914691943127965	family life,0.034360189573459717	literature + other,0.030805687203791468	royalty,0.018957345971563982	politics,0.016587677725118485	orchestra,0.016587677725118485	military,0.008293838862559242	church/royalty,0.0071090047393364926
Evelyn_Waugh	film/tv,0.38847117794486213	family life,0.16040100250626566	literature + other,0.10150375939849623	music,0.08521303258145363	military,0.08270676691729323	royalty,0.06892230576441102	politics,0.04887218045112782	orchestra,0.02882205513784461	church/royalty,0.020050125313283207	sports,0.015037593984962405
Édouard_III_d'Angleterre	royalty,0.41947511831349493	military,0.28022372006310053	family life,0.13179406281371003	church/royalty,0.11028251828481285	literature + other,0.020507672450881972	politics,0.018069697404273628	sports,0.006023232468091209	film/tv,0.005449591280653951	orchestra,0.005306180983794637	music,0.00286820593718629
Édouard_VI_d'Angleterre	royalty,0.39995518709388306	family life,0.20793188438270221	military,0.15258794532825454	literature + other,0.1279408469639256	church/royalty,0.060273358727313465	politics,0.02240645305848084	orchestra,0.011427291059825229	film/tv,0.006497871386959444	music,0.00560161326462021	sports,0.005377548734035402
Édouard_VIII_du_Royaume-Uni	royalty,0.46217292377701935	military,0.1959613196814562	politics,0.141353811149033	family life,0.08930602957906712	film/tv,0.03128555176336746	literature + other,0.027872582480091012	church/royalty,0.024459613196814563	sports,0.01422070534698521	music,0.007963594994311717	orchestra,0.00540386803185438
Épaminondas	military,0.29219600725952816	church/royalty,0.22232304900181488	family life,0.1823956442831216	literature + other,0.14791288566243194	politics,0.04809437386569873	royalty,0.045372050816696916	sports,0.021778584392014518	film/tv,0.019963702359346643	music,0.010889292196007259	orchestra,0.009074410163339383
Étienne_d'Angleterre	church/royalty,0.47852573865367043	military,0.18641486445324398	family life,0.1559549192811453	royalty,0.13524215656411817	politics,0.018885166006701187	sports,0.006701187937861712	literature + other,0.006091989034419738	orchestra,0.005787389582698751	music,0.004568991775814804	film/tv,0.0018275967103259215
Faryl_Smith	music,0.22784810126582278	film/tv,0.12658227848101267	orchestra,0.12658227848101267	family life,0.10126582278481013	literature + other,0.0759493670886076	politics,0.0759493670886076	military,0.0759493670886076	sports,0.06329113924050633	church/royalty,0.06329113924050633	royalty,0.06329113924050633
Felice_Beato	family life,0.5447556287753982	military,0.11037891268533773	politics,0.07797913234486546	literature + other,0.06589785831960461	church/royalty,0.05216913783635365	royalty,0.04118616144975288	film/tv,0.039538714991762765	orchestra,0.032948929159802305	music,0.027457440966501923	sports,0.007688083470620538
Francis_Harvey	military,0.2909090909090909	family life,0.13636363636363635	sports,0.10909090909090909	royalty,0.1	politics,0.08181818181818182	film/tv,0.07272727272727272	music,0.06363636363636363	literature + other,0.05454545454545454	church/royalty,0.045454545454545456	orchestra,0.045454545454545456
Francis_Tresham	royalty,0.2112676056338028	military,0.11267605633802817	sports,0.09859154929577464	church/royalty,0.09859154929577464	family life,0.08450704225352113	politics,0.08450704225352113	film/tv,0.08450704225352113	music,0.08450704225352113	literature + other,0.07042253521126761	orchestra,0.07042253521126761
Frank_Black	music,0.7206654991243433	family life,0.07793345008756568	film/tv,0.043782837127845885	military,0.040280210157618214	orchestra,0.03590192644483362	literature + other,0.03327495621716287	royalty,0.01926444833625219	sports,0.012259194395796848	politics,0.012259194395796848	church/royalty,0.0043782837127845885
Frank_Klepacki	music,0.6532258064516129	film/tv,0.11021505376344086	sports,0.03763440860215054	military,0.03763440860215054	family life,0.03494623655913978	church/royalty,0.03225806451612903	orchestra,0.02956989247311828	royalty,0.026881720430107527	literature + other,0.01881720430107527	politics,0.01881720430107527
Frank_McNamara	military,0.4857142857142857	politics,0.08571428571428572	sports,0.08	royalty,0.06285714285714286	family life,0.05142857142857143	church/royalty,0.05142857142857143	music,0.05142857142857143	literature + other,0.045714285714285714	orchestra,0.045714285714285714	film/tv,0.04
Frank_Zappa	music,0.504959848842702	family life,0.1648559282002834	orchestra,0.10439300897496458	film/tv,0.06046291922531885	military,0.0543221539914974	literature + other,0.03542749173358526	politics,0.03212092583845064	sports,0.02267359470949457	church/royalty,0.01086443079829948	royalty,0.009919697685403874
Franklin_Knight_Lane	politics,0.14925373134328357	royalty,0.13432835820895522	film/tv,0.11940298507462686	music,0.1044776119402985	family life,0.08955223880597014	church/royalty,0.08955223880597014	orchestra,0.08955223880597014	sports,0.07462686567164178	literature + other,0.07462686567164178	military,0.07462686567164178
Frederick_Delius	orchestra,0.6662844036697247	film/tv,0.10665137614678899	music,0.10091743119266056	family life,0.03669724770642202	sports,0.02522935779816514	politics,0.022935779816513763	military,0.014908256880733946	royalty,0.01261467889908257	literature + other,0.006880733944954129	church/royalty,0.006880733944954129
Frédéric_III_d'Allemagne	royalty,0.5179640718562875	military,0.19503849443969204	family life,0.16723695466210436	literature + other,0.04020530367835757	politics,0.02480752780153978	church/royalty,0.016680923866552608	film/tv,0.014114627887082978	orchestra,0.011548331907613344	sports,0.009837467921300257	music,0.0025662959794696323
Fridtjof_Nansen	family life,0.6483326945189728	military,0.15619011115369874	royalty,0.04848600996550403	politics,0.03162131084706784	literature + other,0.027596780375622843	sports,0.024530471444998085	orchestra,0.023955538520505942	church/royalty,0.022039095438865466	film/tv,0.009773859716366424	music,0.007474128018397854
Garret_Hobart	politics,0.36082474226804123	military,0.09278350515463918	film/tv,0.09278350515463918	music,0.09278350515463918	church/royalty,0.08247422680412371	family life,0.07216494845360824	sports,0.05154639175257732	literature + other,0.05154639175257732	royalty,0.05154639175257732	orchestra,0.05154639175257732
Gautier_de_Coutances	church/royalty,0.47368421052631576	military,0.17073170731707318	royalty,0.13735558408215662	family life,0.08472400513478819	sports,0.03080872913992298	politics,0.026957637997432605	literature + other,0.025673940949935817	orchestra,0.024390243902439025	film/tv,0.01668806161745828	music,0.008985879332477536
Georg_Forster	literature + other,0.3027405991077119	family life,0.29318036966220523	military,0.13639260675589548	orchestra,0.08667941363926067	royalty,0.07775653282345443	politics,0.03441682600382409	film/tv,0.033779477374123644	church/royalty,0.017845761631612493	sports,0.009560229445506692	music,0.0076481835564053535
Georg_Solti	orchestra,0.5770653514180024	military,0.09617755856966707	family life,0.07891491985203453	music,0.06288532675709001	sports,0.06165228113440197	literature + other,0.02836004932182491	church/royalty,0.02836004932182491	royalty,0.02342786683107275	film/tv,0.02219482120838471	politics,0.02096177558569667
George_Calvert	royalty,0.2706766917293233	family life,0.17293233082706766	military,0.12781954887218044	politics,0.09774436090225563	film/tv,0.08270676691729323	church/royalty,0.08270676691729323	orchestra,0.05263157894736842	sports,0.03759398496240601	literature + other,0.03759398496240601	music,0.03759398496240601
George_F._Kennan	politics,0.3243589743589744	military,0.24102564102564103	family life,0.14358974358974358	literature + other,0.07948717948717948	orchestra,0.06153846153846154	film/tv,0.03974358974358974	royalty,0.038461538461538464	music,0.028205128205128206	sports,0.023076923076923078	church/royalty,0.020512820512820513
George_Fox	literature + other,0.3151515151515151	family life,0.21464646464646464	military,0.18838383838383838	politics,0.10606060606060606	royalty,0.09292929292929293	church/royalty,0.030303030303030304	film/tv,0.025252525252525252	sports,0.014646464646464647	music,0.00808080808080808	orchestra,0.004545454545454545
George_Gossip	film/tv,0.2616033755274262	family life,0.14345991561181434	orchestra,0.14345991561181434	military,0.1308016877637131	politics,0.0970464135021097	sports,0.09282700421940929	literature + other,0.04219409282700422	church/royalty,0.03375527426160337	music,0.029535864978902954	royalty,0.02531645569620253
George_Headley	sports,0.6928702010968921	family life,0.06764168190127971	military,0.051188299817184646	royalty,0.04570383912248629	film/tv,0.038391224862888484	literature + other,0.02376599634369287	orchestra,0.02376599634369287	music,0.02376599634369287	politics,0.021937842778793418	church/royalty,0.010968921389396709
George_Ier_de_Grande-Bretagne	royalty,0.5120702267739575	politics,0.18653986832479882	military,0.13569861009509876	family life,0.06364301389904901	church/royalty,0.04425749817117776	literature + other,0.020848573518653987	orchestra,0.020482809070958303	sports,0.006949524506217996	film/tv,0.005486466715435259	music,0.004023408924652524
George_II_de_Grande-Bretagne	royalty,0.5364114114114115	politics,0.20307807807807807	military,0.1234984984984985	family life,0.06831831831831832	church/royalty,0.019144144144144143	film/tv,0.013513513513513514	sports,0.010885885885885885	literature + other,0.00975975975975976	orchestra,0.009384384384384385	music,0.006006006006006006
George_III_du_Royaume-Uni	royalty,0.5017241379310344	politics,0.21068965517241378	military,0.1510344827586207	family life,0.05068965517241379	church/royalty,0.02620689655172414	literature + other,0.020689655172413793	film/tv,0.018275862068965518	sports,0.009655172413793104	music,0.0058620689655172415	orchestra,0.005172413793103448
George_IV_du_Royaume-Uni	royalty,0.5471551052221356	politics,0.17069368667186283	military,0.11067809820732658	family life,0.09586905689789556	literature + other,0.02494154325798909	film/tv,0.022213561964146533	church/royalty,0.013639906469212782	music,0.005455962587685113	orchestra,0.005066250974279034	sports,0.004286827747466875
George_Ledyard_Stebbins	film/tv,0.29310344827586204	literature + other,0.13793103448275862	family life,0.13218390804597702	royalty,0.09770114942528736	orchestra,0.07471264367816093	music,0.07471264367816093	politics,0.05747126436781609	military,0.05747126436781609	sports,0.040229885057471264	church/royalty,0.034482758620689655
George_Macaulay	sports,0.26582278481012656	royalty,0.11392405063291139	music,0.11392405063291139	politics,0.08860759493670886	military,0.08860759493670886	church/royalty,0.0759493670886076	family life,0.06329113924050633	literature + other,0.06329113924050633	film/tv,0.06329113924050633	orchestra,0.06329113924050633
George_McClellan	politics,0.3135982698026494	military,0.3052176263855096	family life,0.18058934847256014	film/tv,0.09732360097323602	music,0.028115706947823737	literature + other,0.027575020275750203	sports,0.017842660178426603	royalty,0.012435793457691267	church/royalty,0.009462016761286834	orchestra,0.007839956745066235
George_Moore	film/tv,0.26618705035971224	orchestra,0.1510791366906475	literature + other,0.12949640287769784	royalty,0.1223021582733813	music,0.10071942446043165	family life,0.05755395683453238	politics,0.050359712230215826	church/royalty,0.050359712230215826	sports,0.03597122302158273	military,0.03597122302158273
George_V_du_Royaume-Uni	royalty,0.5408163265306123	family life,0.13038548752834467	military,0.10090702947845805	politics,0.0691609977324263	film/tv,0.032879818594104306	orchestra,0.030612244897959183	literature + other,0.02834467120181406	sports,0.027210884353741496	church/royalty,0.022675736961451247	music,0.017006802721088437
George_W._Romney	politics,0.4444444444444444	family life,0.1567732115677321	film/tv,0.1035007610350076	military,0.0715372907153729	royalty,0.0715372907153729	sports,0.0624048706240487	church/royalty,0.0273972602739726	literature + other,0.0258751902587519	music,0.0197869101978691	orchestra,0.0167427701674277
George_Washington_Dixon	music,0.18032786885245902	literature + other,0.11475409836065574	family life,0.09836065573770492	politics,0.09836065573770492	royalty,0.09836065573770492	sports,0.08196721311475409	military,0.08196721311475409	film/tv,0.08196721311475409	church/royalty,0.08196721311475409	orchestra,0.08196721311475409
Georges_Bizet	orchestra,0.5510360706062931	family life,0.148119723714505	royalty,0.08288564850345356	military,0.0713737528779739	literature + other,0.06216423637759018	film/tv,0.03223330775134305	music,0.017651573292402148	sports,0.013814274750575594	church/royalty,0.013814274750575594	politics,0.006907137375287797
Georges_Ier_de_Grèce	royalty,0.49610346542861883	military,0.2296468247388493	family life,0.15088708340242082	church/royalty,0.04891394461946609	politics,0.027524456972309732	literature + other,0.021886917592439065	orchestra,0.0082904990880451	sports,0.007958879124523296	film/tv,0.00580334936163157	music,0.002984579671696236
Georges_Vézina	sports,0.7320675105485233	family life,0.08333333333333333	royalty,0.049578059071729956	military,0.03059071729957806	literature + other,0.02531645569620253	orchestra,0.022151898734177215	music,0.017932489451476793	film/tv,0.013713080168776372	church/royalty,0.013713080168776372	politics,0.011603375527426161
Georgette_Heyer	literature + other,0.29486684677730607	family life,0.2535700501736781	film/tv,0.1254341952913933	military,0.10961018911617136	royalty,0.07641837128521806	music,0.0652257815515245	orchestra,0.025858741798533386	sports,0.018911617136240833	politics,0.018139714395986106	church/royalty,0.011964492473948282
Gerald_Ford	politics,0.5217391304347826	military,0.16651878142561372	film/tv,0.1064773735581189	family life,0.06832298136645963	sports,0.051759834368530024	music,0.03164744158532978	royalty,0.021591245193729666	literature + other,0.02040816326530612	church/royalty,0.006211180124223602	orchestra,0.005323868677905945
Gilberto_Silva	sports,0.5871733966745843	family life,0.1634204275534442	military,0.1311163895486936	literature + other,0.027553444180522565	royalty,0.026128266033254157	politics,0.021852731591448932	music,0.019477434679334917	film/tv,0.00855106888361045	church/royalty,0.007600950118764846	orchestra,0.007125890736342043
Giovanni_Villani	literature + other,0.47175815433572	church/royalty,0.13444709626093873	family life,0.13126491646778043	military,0.11217183770883055	orchestra,0.04852824184566428	royalty,0.03659506762132061	sports,0.018297533810660304	film/tv,0.017501988862370723	music,0.015115354017501989	politics,0.014319809069212411
Godsmack	music,0.7677329624478443	family life,0.06397774687065369	military,0.03337969401947149	literature + other,0.030598052851182198	film/tv,0.025034770514603615	politics,0.022253129346314324	sports,0.016689847009735744	royalty,0.015299026425591099	orchestra,0.013908205841446454	church/royalty,0.011126564673157162
