ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
Prince Poppycock	0.0297157622739	0.0147861039334	0.00645994832041	0.0772322710307	0.0486649440138	0.0308641975309	0.253660637382	0.0133505598622	0.124031007752	0.0156474303761	0.0582830892908	0.100057421763	0.00531151306345
Priscilla Presley	0.0113055375531	0.0513429826456	0.0049686757399	0.114999639951	0.202419529056	0.016922301433	0.015626125153	0.0144019586664	0.0645207748254	0.0128897530064	0.0234031828329	0.101677828185	0.0049686757399
Prisilla Rivera	0.0231729055258	0.00950683303624	0.0148544266191	0.0267379679144	0.0291146761735	0.0190136660725	0.0237670825906	0.020202020202	0.123588829471	0.0190136660725	0.536541889483	0.0219845513963	0.0748663101604
Quincy Jones	0.0278050376186	0.0677134445535	0.00447061389161	0.0295496674299	0.133355141206	0.0134118416748	0.255043070548	0.0382728164868	0.0827608766765	0.0278050376186	0.0359829898593	0.158652273471	0.00316214153309
Quinn Buckner	0.0189504373178	0.0168448331714	0.00680272108844	0.0260770975057	0.0413022351798	0.00826044703596	0.00728862973761	0.0131195335277	0.0178166504697	0.0220278587626	0.609491415614	0.028830579851	0.0234855847101
Quirino Cristiani	0.0483870967742	0.0247311827957	0.0324372759857	0.0498207885305	0.0417562724014	0.119713261649	0.0333333333333	0.121684587814	0.0139784946237	0.0324372759857	0.0745519713262	0.142114695341	0.0370967741935
R. Kelly	0.0085096036956	0.00389010454656	0.00282032579626	0.117432530999	0.0635545830294	0.0166301969365	0.414782397277	0.0100656455142	0.147094578167	0.00510576221736	0.0324823729638	0.0203744225626	0.00223681011427
R. Tucker Abbott	0.0919952210275	0.0143369175627	0.18339307049	0.0394265232975	0.116487455197	0.138590203106	0.0280764635603	0.0364396654719	0.020908004779	0.0913978494624	0.0716845878136	0.0346475507766	0.0268817204301
R3hab	0.415094339623	0.00880503144654	0.00796645702306	0.0213836477987	0.0276729559748	0.0381551362683	0.265408805031	0.0184486373166	0.0222222222222	0.0205450733753	0.0566037735849	0.01928721174	0.00880503144654
Raageshwari	0.0181003584229	0.0256272401434	0.00573476702509	0.0383512544803	0.0462365591398	0.0163082437276	0.226702508961	0.0279569892473	0.178673835125	0.0293906810036	0.0560931899642	0.132616487455	0.0161290322581
Rachel Bilson	0.0298982188295	0.0120865139949	0.014631043257	0.0653095843936	0.0820610687023	0.0650975402884	0.020780322307	0.00911789652248	0.142069550466	0.0152671755725	0.0555555555556	0.312765055131	0.00911789652248
Rachel Crow	0.0143369175627	0.00995619275189	0.00756670649144	0.0378335324572	0.0246913580247	0.0326563122262	0.174830744723	0.0545599362804	0.112305854241	0.0203106332139	0.10354440462	0.20868180008	0.010752688172
Radamel Falcao García	0.00691497721201	0.0154801194405	0.003928964325	0.00770077007701	0.0777934936351	0.00542197076851	0.00699355649851	0.0109225208235	0.0030645921735	0.00746503221751	0.759625962596	0.00597202577401	0.0040075436115
Radio Futura	0.0227150969677	0.0288224579449	0.00385728061716	0.0312868316726	0.0634308368156	0.0140362155791	0.466838101361	0.0245365905925	0.0113575484839	0.019179256402	0.0252866173792	0.0106075216972	0.0032144005143
