#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Elliott_Smith	music,0.4886927744070601	family,0.28626585769442914	literature,0.1014892443463872	explorers,0.041919470490899065	sports,0.03143960286817429	politics,0.023166023166023165	church/royalty,0.00882515168229454	royalty,0.008549365692222834	cricket,0.004964147821290678	military,0.004688361831218974
Ellis_Paul	music,0.530741410488246	family,0.19831223628691982	literature,0.1301989150090416	sports,0.07172995780590717	politics,0.02863170584689572	explorers,0.011452682338758288	royalty,0.010247136829415311	cricket,0.008438818565400843	church/royalty,0.006931886678722122	military,0.003315250150693189
Ellis_Wackett	military,0.6903313049357674	family,0.1555104800540906	politics,0.054090601757944556	literature,0.020960108181203516	royalty,0.020960108181203516	explorers,0.016227180527383367	cricket,0.016227180527383367	sports,0.010818120351588911	music,0.00878972278566599	church/royalty,0.006085192697768763
Elwood_Haynes	politics,0.47088406564319746	family,0.33827421916357864	literature,0.08364213869772366	sports,0.0328215987294865	explorers,0.022498676548438328	military,0.019057702488088937	music,0.01085230280571731	cricket,0.009793541556379036	royalty,0.007146638433033351	church/royalty,0.005029115934356803
Emperor_Norton	explorers,0.29677819083023543	family,0.2868649318463445	politics,0.11338289962825279	church/royalty,0.08364312267657993	literature,0.0762081784386617	royalty,0.06505576208178439	music,0.0322180916976456	sports,0.016728624535315983	military,0.01486988847583643	cricket,0.014250309789343246
Epaminondas	church/royalty,0.35135135135135137	family,0.22162162162162163	politics,0.0918918918918919	royalty,0.07567567567567568	military,0.05405405405405406	cricket,0.04864864864864865	explorers,0.043243243243243246	music,0.043243243243243246	sports,0.03783783783783784	literature,0.032432432432432434
Eric_Bana	literature,0.4654255319148936	family,0.16821808510638298	sports,0.13430851063829788	music,0.04853723404255319	cricket,0.04720744680851064	military,0.03856382978723404	explorers,0.03523936170212766	politics,0.022606382978723406	royalty,0.020611702127659573	church/royalty,0.01928191489361702
Eric_Brewer	sports,0.8735	family,0.054	royalty,0.017	literature,0.011	explorers,0.0095	cricket,0.0090	music,0.0075	politics,0.0075	military,0.0060	church/royalty,0.0050
Ernest_Augustus_I_of_Hanover	royalty,0.5192042000552639	family,0.30174081237911027	politics,0.08123791102514506	military,0.05360596849958552	literature,0.012434374136501796	church/royalty,0.00856590218292346	explorers,0.007460624481901078	sports,0.007184305056645482	cricket,0.004973749654600719	music,0.003592152528322741
Ernest_Joyce	explorers,0.5493601462522852	family,0.3030164533820841	literature,0.03884826325411334	military,0.027422303473491772	cricket,0.02056672760511883	politics,0.015539305301645339	sports,0.015082266910420476	royalty,0.013254113345521023	church/royalty,0.009140767824497258	music,0.007769652650822669
Ernest_Shackleton	explorers,0.4720677786603124	family,0.29229547259729943	literature,0.0632777336510458	royalty,0.058512046597828965	military,0.048451151707704525	sports,0.018533227429176596	politics,0.015356102727032035	music,0.011649457241196717	cricket,0.010855176065660577	church/royalty,0.009001853322742918
Ernie_Fletcher	politics,0.7024770386863345	family,0.17450598385750068	military,0.04981909268021152	sports,0.023657111049262453	literature,0.01168939604787086	explorers,0.010297801280267187	music,0.01001948232674645	royalty,0.008349568605622042	church/royalty,0.0052880601168939605	cricket,0.003896465349290287
Ernie_Toshack	cricket,0.7841095890410958	family,0.08931506849315068	sports,0.044931506849315066	politics,0.01863013698630137	music,0.014794520547945205	literature,0.012602739726027398	royalty,0.011506849315068493	church/royalty,0.009863013698630137	military,0.007671232876712329	explorers,0.006575342465753425
Ernie_Toshack_with_the_Australian_cricket_team_in_England_in_1948	cricket,0.8987962550156041	family,0.06152474364690147	politics,0.008024966562639322	literature,0.007133303611234953	explorers,0.007133303611234953	sports,0.005349977708426215	music,0.0035666518056174765	military,0.003120820329915292	church/royalty,0.0026749888542131075	royalty,0.0026749888542131075
Ernst_Lindemann	military,0.6899563318777293	family,0.16625077978789768	explorers,0.051154086088583905	royalty,0.03618215845290081	politics,0.011852776044915784	sports,0.011540860885839051	cricket,0.011540860885839051	literature,0.009045539613225203	music,0.006550218340611353	church/royalty,0.005926388022457892
Ethan_Hawke	literature,0.5510286405808794	family,0.1843485276321097	music,0.1044776119402985	sports,0.05808793868495361	politics,0.03227107704719645	explorers,0.024203307785397338	royalty,0.02218636546994756	cricket,0.012505042355788625	military,0.006857603872529245	church/royalty,0.004033884630899556
Evelyn_Waugh	literature,0.4153196179279941	family,0.3361498897869214	royalty,0.09478324761204997	military,0.05675973548861132	politics,0.02994121969140338	explorers,0.02626745040411462	church/royalty,0.013592946362968405	music,0.010837619397501837	sports,0.009184423218221896	cricket,0.0071638501102130785
Faith_Leech	sports,0.5151785714285714	family,0.21428571428571427	cricket,0.10982142857142857	military,0.04017857142857143	explorers,0.029464285714285714	literature,0.02857142857142857	politics,0.02142857142857143	royalty,0.01607142857142857	church/royalty,0.013392857142857142	music,0.011607142857142858
Faryl_Smith	music,0.5267395054629097	family,0.1799884991374353	sports,0.11270845313398505	literature,0.06785508913168488	royalty,0.04600345025876941	explorers,0.018401380103507763	military,0.014951121334100058	politics,0.01437607820586544	cricket,0.012075905692926969	church/royalty,0.006900517538815411
Felice_Beato	literature,0.4572039942938659	family,0.20827389443651925	explorers,0.09771754636233952	military,0.07203994293865906	royalty,0.05706134094151213	church/royalty,0.05206847360912981	music,0.01925820256776034	politics,0.015691868758915834	cricket,0.012838801711840228	sports,0.007845934379457917
Fightin'_Texas_Aggie_Band	music,0.3537675606641124	family,0.29118773946360155	military,0.19582801191996593	sports,0.05363984674329502	politics,0.04427415921668795	literature,0.02894848871860366	church/royalty,0.01319710515112814	explorers,0.009365687526607066	royalty,0.005108556832694764	cricket,0.004682843763303533
Flea_(musician)	music,0.6218375499334221	family,0.23089214380825565	literature,0.07403462050599201	sports,0.02343541944074567	explorers,0.01651131824234354	politics,0.010652463382157125	royalty,0.009587217043941412	cricket,0.0074567243675099865	church/royalty,0.002929427430093209	military,0.002663115845539281
Francis_Harvey	military,0.5822784810126582	family,0.1839662447257384	cricket,0.05907172995780591	royalty,0.05232067510548523	explorers,0.04556962025316456	sports,0.020253164556962026	music,0.018565400843881856	literature,0.017721518987341773	church/royalty,0.01181434599156118	politics,0.008438818565400843
Francis_Tresham	royalty,0.547077922077922	family,0.3222402597402597	explorers,0.04220779220779221	politics,0.021915584415584416	literature,0.015422077922077922	church/royalty,0.012987012987012988	military,0.010551948051948052	cricket,0.010551948051948052	music,0.008928571428571428	sports,0.008116883116883116
Frank_Bladin	military,0.8018018018018018	family,0.10533610533610534	literature,0.01593901593901594	sports,0.01386001386001386	cricket,0.012474012474012475	politics,0.01178101178101178	church/royalty,0.011088011088011088	royalty,0.010395010395010396	music,0.009702009702009701	explorers,0.007623007623007623
Frank_Klepacki	music,0.5623806492679821	family,0.196053469127944	sports,0.06651814131126671	literature,0.062380649267982174	military,0.05537873965626989	politics,0.02259707192870783	church/royalty,0.010821133036282623	cricket,0.009548058561425843	explorers,0.008911521323997454	royalty,0.0054105665181413114
Frank_McNamara_(VC)	military,0.7164612037708484	family,0.135605511240029	politics,0.032632342277012324	royalty,0.03118201595358956	cricket,0.02610587382160986	literature,0.022480058013052938	music,0.013778100072516316	sports,0.007976794778825236	church/royalty,0.007251631617113851	explorers,0.006526468455402465
Frank_Zappa	music,0.5362819626814098	family,0.23721492743607464	literature,0.11126468555632343	politics,0.045438838977194196	sports,0.018659295093296474	explorers,0.017795438838977194	royalty,0.012266758811333794	church/royalty,0.008984105044920525	military,0.008465791292328956	cricket,0.0036281962681409814
Franklin_Knight_Lane	politics,0.6303006939090208	family,0.23785659213569776	explorers,0.03353893600616808	literature,0.03161141094834233	royalty,0.018504240555127217	military,0.014263685427910563	church/royalty,0.00963762528912876	sports,0.008866615265998457	cricket,0.008866615265998457	music,0.0065535851966075555
Fred_Moosally	military,0.462970297029703	family,0.24237623762376237	politics,0.11801980198019801	sports,0.05861386138613861	explorers,0.04514851485148515	literature,0.029306930693069305	music,0.021386138613861388	cricket,0.011485148514851485	church/royalty,0.0075247524752475245	royalty,0.0031683168316831685
Frederick_Delius	music,0.501407789770061	family,0.2571562646644768	literature,0.11614265603003285	royalty,0.05584232754575317	explorers,0.022055373064289067	military,0.012904739558892538	politics,0.012904739558892538	cricket,0.008446738620366025	church/royalty,0.00680431722196152	sports,0.006335053965274519
Frederick_III,_German_Emperor	royalty,0.3524816176470588	family,0.3046875	military,0.12270220588235294	politics,0.0978860294117647	church/royalty,0.050091911764705885	literature,0.03125	sports,0.011948529411764705	explorers,0.011948529411764705	music,0.010569852941176471	cricket,0.006433823529411764
Frederick_Scherger	military,0.700711743772242	family,0.17295373665480426	politics,0.044839857651245554	literature,0.017437722419928827	cricket,0.015302491103202847	sports,0.013879003558718862	royalty,0.012811387900355872	explorers,0.009608540925266904	music,0.009252669039145907	church/royalty,0.003202846975088968
Fridtjof_Nansen	explorers,0.47146974063400576	family,0.3033621517771374	military,0.042843419788664745	literature,0.040730067243035545	politics,0.037463976945244955	sports,0.03131604226705091	royalty,0.03016330451488953	church/royalty,0.016522574447646494	music,0.015946205571565803	cricket,0.010182516810758886
G._Ledyard_Stebbins	literature,0.6785128485511208	family,0.1607435757244396	politics,0.05467468562055768	explorers,0.03225806451612903	music,0.01913613996719519	military,0.014762165117550574	church/royalty,0.012575177692728267	sports,0.009841443411700382	cricket,0.009294696555494806	royalty,0.008201202843083653
Garret_Hobart	politics,0.6018261214767765	family,0.3076617705438666	literature,0.025803890432711394	royalty,0.01627630011909488	explorers,0.01071853910281858	military,0.008733624454148471	cricket,0.00833664152441445	sports,0.007939658594680429	music,0.007145692735212386	church/royalty,0.0055577610162763
Geoffrey_(archbishop_of_York)	royalty,0.7442922374429224	family,0.1706102117061021	politics,0.026151930261519303	church/royalty,0.0228310502283105	sports,0.007471980074719801	explorers,0.006641760066417601	cricket,0.006641760066417601	literature,0.0062266500622665	military,0.005396430053964301	music,0.0037359900373599006
Georg_Forster	explorers,0.3072961373390558	family,0.21587982832618025	literature,0.18969957081545064	military,0.1240343347639485	royalty,0.06652360515021459	church/royalty,0.03390557939914163	politics,0.030472103004291845	music,0.017167381974248927	sports,0.009871244635193134	cricket,0.005150214592274678
Georg_Solti	music,0.5026990553306343	family,0.2149122807017544	literature,0.07793522267206478	military,0.058704453441295545	royalty,0.04993252361673414	politics,0.02631578947368421	church/royalty,0.021929824561403508	sports,0.018556005398110663	cricket,0.015856950067476384	explorers,0.013157894736842105
George_Andrew_Davis,_Jr.	military,0.715345699831366	family,0.14435075885328835	explorers,0.03709949409780776	cricket,0.03170320404721754	politics,0.019224283305227657	sports,0.016863406408094434	literature,0.014839797639123103	music,0.01011804384485666	church/royalty,0.0060708263069139965	royalty,0.004384485666104553
George_B._McClellan	family,0.2996327082930601	military,0.2868741542625169	politics,0.2845544171660545	explorers,0.051227527546878024	literature,0.02416392808815001	royalty,0.020877633868161608	church/royalty,0.011985308331722405	cricket,0.007732456988208003	music,0.006572588439976802	sports,0.006379277015271603
George_Calvert,_1st_Baron_Baltimore	royalty,0.510551948051948	family,0.25811688311688313	explorers,0.08887987012987013	politics,0.08603896103896104	literature,0.01948051948051948	military,0.00974025974025974	music,0.008116883116883116	church/royalty,0.007305194805194805	sports,0.006493506493506494	cricket,0.005275974025974026
George_F._Kennan	politics,0.3702368692070031	family,0.3112770339855819	military,0.16529351184346036	literature,0.09088568486096807	church/royalty,0.024974253347064882	music,0.012100926879505664	explorers,0.011585993820803296	sports,0.005664263645726055	royalty,0.005406797116374871	cricket,0.0025746652935118436
George_Fox	family,0.42466227918254246	royalty,0.3023900242466228	literature,0.0966401108417042	explorers,0.057499134049186	church/royalty,0.0401801177693107	politics,0.034638032559750606	cricket,0.017319016279875303	music,0.014547973675095255	military,0.0065812261863526155	sports,0.005542085209560097
George_H._D._Gossip	sports,0.39095638255302123	family,0.22929171668667467	literature,0.19727891156462585	cricket,0.058823529411764705	royalty,0.04561824729891957	politics,0.018807523009203683	explorers,0.017607042817126852	military,0.01640656262505002	church/royalty,0.014405762304921969	music,0.010804321728691477
George_Headley	cricket,0.7614601018675722	family,0.12924448217317488	sports,0.039261460101867575	politics,0.02037351443123939	royalty,0.015067911714770798	explorers,0.012521222410865875	military,0.00700339558573854	literature,0.005730050933786078	church/royalty,0.004881154499151104	music,0.004456706281833617
George_Hirst	cricket,0.7887813353189377	family,0.16008935219657483	sports,0.014892032762472078	literature,0.012410027302060065	royalty,0.007446016381236039	military,0.0047158103747828245	explorers,0.003474807644576818	music,0.003226607098535617	politics,0.002730206006453214	church/royalty,0.0022338049143708115
George_I_of_Great_Britain	royalty,0.6270430906389302	family,0.2065378900445765	politics,0.06315007429420505	church/royalty,0.03268945022288262	military,0.029346210995542348	explorers,0.009658246656760773	sports,0.008915304606240713	literature,0.008915304606240713	cricket,0.007429420505200594	music,0.006315007429420505
George_I_of_Greece	royalty,0.3545493378897907	church/royalty,0.20290474156343444	family,0.1670226398974797	politics,0.11149081589064502	military,0.0922682614267407	explorers,0.0299017513882956	sports,0.015378043571123452	music,0.009397693293464331	literature,0.00897052541648868	cricket,0.008116189662537377
George_II_of_Great_Britain	royalty,0.6347699050401753	family,0.21621621621621623	military,0.056245434623813005	politics,0.03798392987582177	church/royalty,0.013513513513513514	cricket,0.01168736303871439	literature,0.011322132943754566	explorers,0.007304601899196494	sports,0.00547845142439737	music,0.00547845142439737
George_III_of_the_United_Kingdom	royalty,0.5004400117336463	family,0.25520680551481373	politics,0.10824288647697272	literature,0.043121149897330596	explorers,0.0354942798474626	church/royalty,0.027867409797594604	military,0.012907010853622763	music,0.006160164271047228	sports,0.005280140803754767	cricket,0.005280140803754767
George_IV_of_the_United_Kingdom	royalty,0.5713747645951036	family,0.27419962335216574	politics,0.07382297551789077	literature,0.02598870056497175	military,0.021845574387947268	sports,0.009416195856873822	explorers,0.008662900188323917	music,0.005273069679849341	cricket,0.004896421845574388	church/royalty,0.004519774011299435
George_Jones_(RAAF_officer)	military,0.6545532278751603	family,0.2056434373663959	politics,0.059854638734501926	cricket,0.01453612654980761	royalty,0.01410859341598974	music,0.012825994014536126	explorers,0.012398460880718255	literature,0.010688328345446772	sports,0.008123129542539546	church/royalty,0.007268063274903805
George_Macaulay	cricket,0.7826446280991736	family,0.13140495867768595	military,0.023140495867768594	sports,0.014462809917355372	politics,0.013223140495867768	royalty,0.011570247933884297	literature,0.00743801652892562	church/royalty,0.00743801652892562	music,0.005371900826446281	explorers,0.003305785123966942
George_Moore_(novelist)	literature,0.5597652081109925	family,0.2294557097118463	royalty,0.10405549626467449	politics,0.030416221985058698	explorers,0.019743863393810034	sports,0.017075773745997867	military,0.011739594450373533	church/royalty,0.0096051227321238	cricket,0.0096051227321238	music,0.008537886872998933
George_V	royalty,0.5090039392234103	family,0.20596510973550927	military,0.10045019696117051	politics,0.06921778277996624	literature,0.04248733821046708	explorers,0.023072594259988744	cricket,0.017726505346088915	music,0.014350028137310074	sports,0.012380416432189083	church/royalty,0.005346088913899831
George_W._Romney	politics,0.5532900834105653	family,0.29116465863453816	literature,0.05421686746987952	sports,0.027803521779425393	explorers,0.020389249304911955	military,0.017299969107198023	royalty,0.010658016682113068	music,0.010349088662341674	church/royalty,0.009267840593141797	cricket,0.005560704355885079
George_Washington_Dixon	family,0.34479967624443547	politics,0.25576689599352487	literature,0.1813031161473088	music,0.08700930797248077	explorers,0.040064751112909754	sports,0.0226628895184136	cricket,0.02104411169566977	church/royalty,0.017806556050182113	royalty,0.017806556050182113	military,0.011736139214892756
George_Went_Hensley	politics,0.36934950385887544	family,0.3472987872105843	church/royalty,0.08269018743109151	explorers,0.06174200661521499	royalty,0.053472987872105845	literature,0.03307607497243661	music,0.027563395810363836	military,0.009922822491730982	sports,0.007717750826901874	cricket,0.007166482910694598
Georges_Bizet	music,0.42301943198804187	family,0.28126557050323864	literature,0.13552566018933732	royalty,0.06950672645739911	explorers,0.02142501245640259	church/royalty,0.02092675635276532	sports,0.016442451420029897	politics,0.011709018435475834	cricket,0.010712506228201295	military,0.009466865969108122
Georges_Vézina	sports,0.7925867507886435	family,0.09858044164037855	royalty,0.025236593059936908	church/royalty,0.017350157728706624	explorers,0.015772870662460567	military,0.014195583596214511	cricket,0.011829652996845425	literature,0.01025236593059937	music,0.01025236593059937	politics,0.003943217665615142
Georgette_Heyer	literature,0.502751572327044	family,0.30345911949685533	royalty,0.07468553459119497	music,0.02397798742138365	military,0.02358490566037736	politics,0.02279874213836478	sports,0.014937106918238994	explorers,0.013757861635220126	cricket,0.010220125786163521	church/royalty,0.009827044025157232
Gerald_Ford	politics,0.494483604045357	family,0.23230156297885382	military,0.0827459393196445	sports,0.07079374808458473	explorers,0.04428440085810604	literature,0.037848605577689244	music,0.011186025130248238	royalty,0.011186025130248238	church/royalty,0.008734293594851363	cricket,0.006435795280416794
Gerard_(archbishop_of_York)	royalty,0.724202626641651	family,0.1529080675422139	church/royalty,0.038461538461538464	literature,0.02626641651031895	politics,0.012195121951219513	cricket,0.012195121951219513	sports,0.009380863039399626	military,0.009380863039399626	explorers,0.009380863039399626	music,0.005628517823639775
Gilbert_Foliot	royalty,0.7226299694189603	family,0.1672782874617737	church/royalty,0.044036697247706424	literature,0.018960244648318043	politics,0.01651376146788991	music,0.011926605504587157	sports,0.005810397553516819	explorers,0.005198776758409786	cricket,0.003975535168195718	military,0.003669724770642202
Gilberto_Silva	sports,0.6048278945015646	family,0.2329012069736254	cricket,0.05498435404559678	royalty,0.028609745194456863	church/royalty,0.024586499776486366	music,0.013410818059901655	politics,0.012069736253911488	military,0.010728654447921324	literature,0.009387572641931158	explorers,0.008493518104604381
Giovanni_Villani	church/royalty,0.4155895025460243	family,0.31492361927144535	literature,0.1128084606345476	royalty,0.05718762240501371	politics,0.04034469251860556	sports,0.021151586368977675	explorers,0.018409714061887975	music,0.009792401096748922	cricket,0.0050920485703094395	military,0.004700352526439483
Godsmack	music,0.7205613178767541	family,0.15192190359975594	sports,0.03172666259914582	literature,0.02928615009151922	explorers,0.01464307504575961	military,0.013422818791946308	church/royalty,0.012202562538133009	politics,0.009151921903599756	royalty,0.008541793776693106	cricket,0.008541793776693106
Grand_Duchess_Anastasia_Nikolaevna_of_Russia	family,0.3593652769135034	explorers,0.3223397635345364	royalty,0.18170504044803984	literature,0.06067205973864343	music,0.020224019912881145	military,0.019290603609209707	sports,0.016490354698195396	church/royalty,0.009645301804604853	cricket,0.005600497822028625	politics,0.004667081518357187
Grand_Duchess_Olga_Alexandrovna_of_Russia	royalty,0.44172010562052055	family,0.25575254620897775	explorers,0.0999622783855149	military,0.0965673330818559	literature,0.044511505092417955	politics,0.027159562429271974	music,0.01093926820067899	church/royalty,0.01093926820067899	sports,0.00980761976612599	cricket,0.002640513013956997
Grand_Duchess_Olga_Nikolaevna_of_Russia	family,0.4282029234737747	royalty,0.292060762396102	explorers,0.17368873602751506	literature,0.049584408139868155	military,0.021496130696474634	music,0.013184293493837776	sports,0.00831183720263686	church/royalty,0.005159071367153913	cricket,0.005159071367153913	politics,0.0031527658354829464
Gregory_of_Nazianzus	church/royalty,0.5332446808510638	family,0.27726063829787234	politics,0.049867021276595744	royalty,0.043882978723404256	literature,0.04321808510638298	explorers,0.0199468085106383	sports,0.011303191489361703	military,0.009308510638297872	music,0.007313829787234043	cricket,0.004654255319148936
Gustav_Mahler	music,0.49248402856069146	family,0.28504321683577605	literature,0.07760240511086058	military,0.040398346486283356	royalty,0.040398346486283356	church/royalty,0.0212326193160466	sports,0.017098835024426908	politics,0.01597143930853063	cricket,0.005636978579481398	explorers,0.004133784291619692
Guy_Fawkes	royalty,0.45264847512038525	family,0.3247726056714821	explorers,0.07918673087212413	literature,0.04226859283039058	politics,0.024077046548956663	cricket,0.021936864633493848	church/royalty,0.019796682718031033	military,0.014446227929373997	music,0.011771000535045479	sports,0.00909577314071696
Gwen_Stefani	music,0.5550500454959054	family,0.22429481346678798	literature,0.13148316651501366	royalty,0.020473157415832575	sports,0.01683348498635123	military,0.014558689717925387	cricket,0.011373976342129208	politics,0.010009099181073703	explorers,0.009554140127388535	church/royalty,0.006369426751592357
H.D.	literature,0.6197452229299363	family,0.22738853503184714	military,0.03184713375796178	music,0.03184713375796178	church/royalty,0.02356687898089172	royalty,0.022292993630573247	sports,0.01464968152866242	explorers,0.011464968152866241	politics,0.009554140127388535	cricket,0.007643312101910828
Hannah_Primrose,_Countess_of_Rosebery	family,0.41304347826086957	royalty,0.37577639751552794	literature,0.09808488612836438	politics,0.060041407867494824	cricket,0.012163561076604554	sports,0.010093167701863354	explorers,0.009316770186335404	music,0.008281573498964804	military,0.007505175983436853	church/royalty,0.005693581780538302
Happy_Chandler	politics,0.6475914523723288	family,0.17928286852589642	sports,0.10974284679463962	literature,0.02336110105034408	royalty,0.010503440782325244	military,0.009416877942774357	music,0.008511408909815284	church/royalty,0.004527345164795364	explorers,0.004346251358203549	cricket,0.0027164070988772186
Harbhajan_Singh	cricket,0.8361929901745124	family,0.09928141956298578	sports,0.02698342865522804	politics,0.009238891333040036	literature,0.0061592608886933565	explorers,0.00586596275113653	royalty,0.005572664613579704	music,0.004986068338466051	military,0.0038128757882387445	church/royalty,0.0019064378941193723
Harmon_Killebrew	sports,0.763785394932936	family,0.11698956780923994	cricket,0.04955290611028316	politics,0.019746646795827123	literature,0.012667660208643815	music,0.012667660208643815	military,0.00856929955290611	royalty,0.006333830104321907	church/royalty,0.005961251862891207	explorers,0.0037257824143070045
Harriet_Arbuthnot	royalty,0.46491969568892644	family,0.33981403212172445	literature,0.060862214708368556	politics,0.039729501267962805	military,0.021132713440405747	church/royalty,0.02028740490278952	sports,0.015215553677092139	cricket,0.014370245139475908	music,0.013524936601859678	explorers,0.01014370245139476
Harriet_Bosse	family,0.33495145631067963	literature,0.325782092772384	explorers,0.20658036677454153	music,0.04422869471413161	royalty,0.03128371089536138	politics,0.014563106796116505	cricket,0.012944983818770227	military,0.011866235167206042	sports,0.010248112189859764	church/royalty,0.007551240560949299
Harry_Chauvel	military,0.6981689308919079	family,0.13614884819846426	royalty,0.05581807442409923	politics,0.02598936798582398	cricket,0.020968694624926166	explorers,0.018901358535144713	literature,0.01831069108092144	church/royalty,0.012699350265800354	sports,0.008564678086237449	music,0.004430005906674543
Harry_Cobby	military,0.7442922374429224	family,0.1329908675799087	royalty,0.03139269406392694	literature,0.02454337899543379	music,0.015410958904109588	cricket,0.014840182648401826	explorers,0.0136986301369863	sports,0.010844748858447488	church/royalty,0.007420091324200913	politics,0.0045662100456621
Harry_McNish	explorers,0.4766081871345029	family,0.3502923976608187	royalty,0.0391812865497076	literature,0.03567251461988304	sports,0.021052631578947368	cricket,0.02046783625730994	politics,0.01871345029239766	military,0.016374269005847954	music,0.011111111111111112	church/royalty,0.010526315789473684
Harry_Murray	military,0.7151370679380215	family,0.12097735399284863	royalty,0.060786650774731825	sports,0.02205005959475566	politics,0.020858164481525627	cricket,0.020858164481525627	explorers,0.017878426698450536	literature,0.010727056019070322	church/royalty,0.0077473182359952325	music,0.0029797377830750892
Harry_Trott	cricket,0.6552839683680806	family,0.21207764198418405	royalty,0.029834651329978434	sports,0.02875629043853343	politics,0.025880661394680086	literature,0.019769949676491733	military,0.010424155283968369	explorers,0.007548526240115025	music,0.005391804457225018	church/royalty,0.0050323508267433505
Hasekura_Tsunenaga	explorers,0.5311994827028774	family,0.22858066602004526	church/royalty,0.15066278693824767	royalty,0.037827352085354024	literature,0.016488845780795344	politics,0.014225670869705788	sports,0.006142903330100227	military,0.005496281926931782	cricket,0.004849660523763337	music,0.0045263498221791145
Hastings_Ismay,_1st_Baron_Ismay	military,0.4938126104890984	family,0.25987035945786685	politics,0.09723040659988215	royalty,0.0774896876841485	literature,0.022097819681791395	explorers,0.016499705362404242	cricket,0.012374779021803181	sports,0.009723040659988214	church/royalty,0.0058927519151443725	music,0.005008839127872717
Hector_Waller	military,0.7193396226415094	family,0.10141509433962265	explorers,0.029874213836477988	royalty,0.029874213836477988	politics,0.0220125786163522	sports,0.02122641509433962	literature,0.02122641509433962	church/royalty,0.020440251572327043	cricket,0.020440251572327043	music,0.014150943396226415
Hedley_Verity	cricket,0.7613891726251277	family,0.16138917262512767	military,0.030643513789581207	sports,0.011848825331971399	literature,0.008784473953013279	politics,0.007354443309499489	church/royalty,0.007150153217568948	explorers,0.004698672114402451	royalty,0.0040858018386108275	music,0.002655771195097038
Heinrich_Bär	military,0.7564182842830307	family,0.13713212273011896	cricket,0.020037570444583593	literature,0.016906700062617408	sports,0.015654351909830933	explorers,0.015654351909830933	church/royalty,0.015654351909830933	royalty,0.010018785222291797	music,0.006261740763932373	politics,0.006261740763932373
Helmut_Lent	military,0.7586054721977052	family,0.10194174757281553	royalty,0.038834951456310676	sports,0.02383053839364519	literature,0.019858781994704325	church/royalty,0.018534863195057368	politics,0.01500441306266549	music,0.009267431597528684	cricket,0.0088261253309797	explorers,0.00529567519858782
Henrik_Sedin	sports,0.9133093525179856	family,0.03920863309352518	explorers,0.00935251798561151	music,0.00935251798561151	military,0.007913669064748202	royalty,0.006474820143884892	literature,0.0035971223021582736	church/royalty,0.0035971223021582736	politics,0.0035971223021582736	cricket,0.0035971223021582736
Henry_(Bishop_of_Finland)	church/royalty,0.5270500170125894	family,0.19904729499829873	royalty,0.15821708063967335	explorers,0.029601905410003404	literature,0.028921401837359646	sports,0.01497107859816264	military,0.01497107859816264	politics,0.01122830894862198	music,0.010547805375978225	cricket,0.005444028581150051
Henry_Cornelius_Burnett	politics,0.7147239263803681	family,0.13420245398773006	military,0.0598159509202454	explorers,0.027607361963190184	royalty,0.018404907975460124	literature,0.013803680981595092	cricket,0.00843558282208589	sports,0.007668711656441718	music,0.007668711656441718	church/royalty,0.007668711656441718
Henry_Edwards_(entomologist)	literature,0.41092636579572445	family,0.1824228028503563	royalty,0.15914489311163896	politics,0.05890736342042755	explorers,0.05558194774346793	sports,0.04513064133016627	cricket,0.0327790973871734	military,0.031828978622327794	music,0.014251781472684086	church/royalty,0.009026128266033254
Henry_Moore	literature,0.5257527733755943	family,0.24564183835182252	royalty,0.06061806656101426	military,0.04675118858954041	politics,0.0277337559429477	music,0.02694136291600634	sports,0.018225039619651346	church/royalty,0.017432646592709985	cricket,0.01624405705229794	explorers,0.014659270998415214
Henry_Wells_(general)	military,0.8062970568104039	family,0.10061601642710473	royalty,0.021218343600273786	cricket,0.01779603011635866	music,0.010951403148528405	politics,0.010951403148528405	church/royalty,0.01026694045174538	literature,0.008213552361396304	sports,0.006844626967830253	explorers,0.006844626967830253
Henry_Wood	music,0.501885775862069	family,0.2672413793103448	royalty,0.07489224137931035	literature,0.05172413793103448	cricket,0.034482758620689655	military,0.02720905172413793	sports,0.022898706896551723	politics,0.008081896551724138	church/royalty,0.006734913793103448	explorers,0.004849137931034483
Herbert_Greenfield	politics,0.6181451612903226	family,0.2814516129032258	royalty,0.020161290322580645	explorers,0.018145161290322582	literature,0.014112903225806451	military,0.01129032258064516	sports,0.010887096774193548	cricket,0.010887096774193548	music,0.008467741935483872	church/royalty,0.0064516129032258064
Herbie_Hewett	cricket,0.7133864876206463	family,0.13680234997901805	sports,0.04154427192614352	royalty,0.03147293327738145	literature,0.02308015107007973	music,0.015107007973143098	politics,0.014687368862778011	explorers,0.01258917331095258	military,0.006714225765841376	church/royalty,0.004616030214015947
Hermann_Detzner	explorers,0.35500878734622143	military,0.26362038664323373	family,0.2126537785588752	literature,0.09007029876977153	politics,0.02240773286467487	church/royalty,0.017135325131810195	music,0.015377855887521968	royalty,0.01054481546572935	sports,0.007029876977152899	cricket,0.006151142355008787
Hilary_of_Chichester	royalty,0.720029784065525	family,0.1526433358153388	church/royalty,0.04095309009679821	politics,0.04095309009679821	explorers,0.00967982129560685	music,0.00967982129560685	sports,0.008935219657483246	military,0.006701414743112435	cricket,0.005956813104988831	literature,0.004467609828741623
