#doc name topic proportion ...
0	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/A._E._J._Collins	39	0.23043478260869565	10	0.1358695652173913	27	0.1108695652173913	15	0.06630434782608696	13	0.06521739130434782	35	0.058695652173913045	14	0.05543478260869565	11	0.05326086956521739	49	0.051086956521739134	45	0.016304347826086956	6	0.015217391304347827	29	0.010869565217391304	46	0.008695652173913044	37	0.008695652173913044	12	0.007608695652173913	22	0.006521739130434782	4	0.006521739130434782	3	0.006521739130434782	44	0.005434782608695652	43	0.005434782608695652	25	0.005434782608695652	17	0.005434782608695652	16	0.005434782608695652	28	0.004347826086956522	26	0.004347826086956522	23	0.004347826086956522	9	0.004347826086956522	7	0.004347826086956522	42	0.003260869565217391	5	0.003260869565217391	0	0.003260869565217391	41	0.002173913043478261	40	0.002173913043478261	36	0.002173913043478261	21	0.002173913043478261	19	0.002173913043478261	8	0.002173913043478261	48	0.0010869565217391304	47	0.0010869565217391304	38	0.0010869565217391304	34	0.0010869565217391304	33	0.0010869565217391304	32	0.0010869565217391304	31	0.0010869565217391304	30	0.0010869565217391304	24	0.0010869565217391304	20	0.0010869565217391304	18	0.0010869565217391304	2	0.0010869565217391304	1	0.0010869565217391304	
1	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Aaron_Sorkin	48	0.4083698953763078	11	0.1302733715828552	27	0.0880863989200135	29	0.067161660479244	10	0.05028687141410732	16	0.04083698953763078	32	0.0320620992237597	44	0.028687141410732364	31	0.020587242659466758	28	0.01653729328383395	35	0.01282483968950388	23	0.010799865001687479	6	0.010462369220384746	46	0.0077624029699628755	2	0.007087411407357408	19	0.006074924063449207	5	0.005062436719541006	12	0.004387445156935539	43	0.003712453594330071	4	0.003712453594330071	41	0.0033749578130273373	3	0.0033749578130273373	22	0.0030374620317246033	14	0.0030374620317246033	9	0.0030374620317246033	45	0.002362470469119136	42	0.002362470469119136	37	0.0020249746878164025	24	0.0020249746878164025	15	0.0020249746878164025	13	0.0020249746878164025	7	0.0020249746878164025	49	0.0016874789065136687	25	0.0016874789065136687	17	0.0013499831252109348	40	0.0010124873439082012	26	0.0010124873439082012	21	0.0010124873439082012	0	0.0010124873439082012	39	6.749915626054674E-4	33	6.749915626054674E-4	30	6.749915626054674E-4	20	6.749915626054674E-4	18	6.749915626054674E-4	1	6.749915626054674E-4	47	3.374957813027337E-4	38	3.374957813027337E-4	36	3.374957813027337E-4	34	3.374957813027337E-4	8	3.374957813027337E-4	
2	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Abbas_Kiarostami	48	0.30600626245374324	16	0.21776259607173357	29	0.08653572445203529	11	0.06347850839738116	23	0.05351551380586393	10	0.04725306006262454	27	0.04668374608596641	24	0.03700540848277825	22	0.029035012809564473	19	0.02134927412467976	35	0.015086820381440364	43	0.011955593509820665	3	0.00654711073156846	21	0.00569313976658127	12	0.004839168801594079	20	0.004554511813265016	31	0.0034158838599487617	30	0.0034158838599487617	34	0.002846569883290635	37	0.0025619128949615714	9	0.002277255906632508	44	0.0019925989183034445	17	0.0019925989183034445	2	0.0019925989183034445	41	0.0017079419299743809	39	0.0017079419299743809	32	0.0017079419299743809	5	0.0017079419299743809	38	0.0014232849416453174	6	0.0014232849416453174	47	0.001138627953316254	28	0.001138627953316254	15	0.001138627953316254	4	0.001138627953316254	49	8.539709649871904E-4	25	8.539709649871904E-4	1	8.539709649871904E-4	46	5.69313976658127E-4	42	5.69313976658127E-4	40	5.69313976658127E-4	36	5.69313976658127E-4	33	5.69313976658127E-4	8	5.69313976658127E-4	45	2.846569883290635E-4	26	2.846569883290635E-4	18	2.846569883290635E-4	14	2.846569883290635E-4	13	2.846569883290635E-4	7	2.846569883290635E-4	0	2.846569883290635E-4	
3	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Abdul_Karim_(the_Munshi)	45	0.3253731343283582	35	0.13582089552238805	29	0.11641791044776119	27	0.09440298507462687	19	0.07164179104477612	10	0.05634328358208955	16	0.026865671641791045	31	0.024626865671641792	22	0.023134328358208955	2	0.014552238805970149	12	0.010447761194029851	36	0.010074626865671642	23	0.007835820895522387	0	0.007462686567164179	25	0.006716417910447761	9	0.005597014925373134	46	0.0052238805970149255	24	0.0052238805970149255	20	0.004850746268656716	15	0.004104477611940298	44	0.0037313432835820895	11	0.0029850746268656717	3	0.0029850746268656717	40	0.0026119402985074628	13	0.0026119402985074628	6	0.0026119402985074628	1	0.0026119402985074628	26	0.002238805970149254	49	0.0018656716417910447	30	0.0018656716417910447	7	0.0018656716417910447	48	0.0014925373134328358	47	0.0014925373134328358	41	0.0014925373134328358	43	0.001119402985074627	33	0.001119402985074627	32	0.001119402985074627	18	0.001119402985074627	5	0.001119402985074627	28	7.462686567164179E-4	17	7.462686567164179E-4	14	7.462686567164179E-4	42	3.7313432835820896E-4	39	3.7313432835820896E-4	38	3.7313432835820896E-4	37	3.7313432835820896E-4	34	3.7313432835820896E-4	21	3.7313432835820896E-4	8	3.7313432835820896E-4	4	3.7313432835820896E-4	
4	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Abu_Nidal	36	0.2642613359336909	10	0.14456362749878107	29	0.09605070697220867	27	0.08191126279863481	11	0.0560702096538274	19	0.05411994149195514	3	0.04729400292540224	35	0.045343734763529986	13	0.04363725012189176	17	0.037298878595806925	31	0.026328620185275476	22	0.019746465138956608	41	0.015358361774744027	16	0.014383227693807898	33	0.005119453924914676	12	0.0048756704046806435	0	0.004144319843978547	7	0.0039005363237445147	48	0.0029254022428083864	28	0.0029254022428083864	44	0.0024378352023403218	43	0.0024378352023403218	25	0.0024378352023403218	9	0.0024378352023403218	46	0.0021940516821062897	20	0.0019502681618722574	24	0.0014627011214041932	1	0.0014627011214041932	45	0.0012189176011701609	6	0.0012189176011701609	42	9.751340809361287E-4	37	9.751340809361287E-4	15	9.751340809361287E-4	5	9.751340809361287E-4	47	7.313505607020966E-4	30	7.313505607020966E-4	26	7.313505607020966E-4	40	4.8756704046806434E-4	39	4.8756704046806434E-4	32	4.8756704046806434E-4	23	4.8756704046806434E-4	21	4.8756704046806434E-4	49	2.4378352023403217E-4	38	2.4378352023403217E-4	34	2.4378352023403217E-4	18	2.4378352023403217E-4	14	2.4378352023403217E-4	8	2.4378352023403217E-4	4	2.4378352023403217E-4	2	2.4378352023403217E-4	
5	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/AC_DC	20	0.057692307692307696	49	0.019230769230769232	48	0.019230769230769232	47	0.019230769230769232	46	0.019230769230769232	45	0.019230769230769232	44	0.019230769230769232	43	0.019230769230769232	42	0.019230769230769232	41	0.019230769230769232	40	0.019230769230769232	39	0.019230769230769232	38	0.019230769230769232	37	0.019230769230769232	36	0.019230769230769232	35	0.019230769230769232	34	0.019230769230769232	33	0.019230769230769232	32	0.019230769230769232	31	0.019230769230769232	30	0.019230769230769232	29	0.019230769230769232	28	0.019230769230769232	27	0.019230769230769232	26	0.019230769230769232	25	0.019230769230769232	24	0.019230769230769232	23	0.019230769230769232	22	0.019230769230769232	21	0.019230769230769232	19	0.019230769230769232	18	0.019230769230769232	17	0.019230769230769232	16	0.019230769230769232	15	0.019230769230769232	14	0.019230769230769232	13	0.019230769230769232	12	0.019230769230769232	11	0.019230769230769232	10	0.019230769230769232	9	0.019230769230769232	8	0.019230769230769232	7	0.019230769230769232	6	0.019230769230769232	5	0.019230769230769232	4	0.019230769230769232	3	0.019230769230769232	2	0.019230769230769232	1	0.019230769230769232	0	0.019230769230769232	
6	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Adam_Gilchrist	14	0.3464959861141245	39	0.19158168800173572	49	0.18225211542633976	27	0.09155999132132783	26	0.07940985029290519	19	0.025385116077240182	29	0.022564547624213494	11	0.009763506183553917	22	0.007810804946843133	6	0.005207203297895422	16	0.004990236493816446	31	0.0030375352571056628	12	0.0028205684530266868	10	0.0028205684530266868	48	0.002603601648947711	9	0.002386634844868735	4	0.0019527012367107832	44	0.0013018008244738556	43	0.0013018008244738556	38	0.0010848340203948796	36	0.0010848340203948796	28	0.0010848340203948796	25	0.0010848340203948796	32	8.678672163159037E-4	20	8.678672163159037E-4	15	8.678672163159037E-4	17	6.509004122369278E-4	13	6.509004122369278E-4	42	4.3393360815795185E-4	41	4.3393360815795185E-4	40	4.3393360815795185E-4	35	4.3393360815795185E-4	24	4.3393360815795185E-4	21	4.3393360815795185E-4	2	4.3393360815795185E-4	0	4.3393360815795185E-4	47	2.1696680407897592E-4	46	2.1696680407897592E-4	45	2.1696680407897592E-4	37	2.1696680407897592E-4	34	2.1696680407897592E-4	33	2.1696680407897592E-4	30	2.1696680407897592E-4	23	2.1696680407897592E-4	18	2.1696680407897592E-4	8	2.1696680407897592E-4	7	2.1696680407897592E-4	5	2.1696680407897592E-4	3	2.1696680407897592E-4	1	2.1696680407897592E-4	
7	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Adelaide_Anne_Procter	23	0.228430566967954	35	0.1322925225965489	16	0.12982744453574363	41	0.10517666392769104	29	0.08463434675431389	27	0.06737880032867707	0	0.04026294165981923	22	0.023007395234182416	19	0.023007395234182416	45	0.015612161051766639	32	0.014790468364831553	10	0.010682004930156122	2	0.010682004930156122	34	0.009860312243221035	47	0.009038619556285949	26	0.009038619556285949	48	0.008216926869350863	31	0.00657354149548069	28	0.005751848808545604	39	0.0049301561216105174	44	0.004108463434675432	37	0.004108463434675432	17	0.004108463434675432	13	0.004108463434675432	7	0.004108463434675432	46	0.003286770747740345	38	0.003286770747740345	20	0.003286770747740345	49	0.0024650780608052587	42	0.0024650780608052587	1	0.0024650780608052587	43	0.0016433853738701725	33	0.0016433853738701725	25	0.0016433853738701725	18	0.0016433853738701725	15	0.0016433853738701725	12	0.0016433853738701725	11	0.0016433853738701725	6	0.0016433853738701725	3	0.0016433853738701725	40	8.216926869350862E-4	36	8.216926869350862E-4	30	8.216926869350862E-4	24	8.216926869350862E-4	21	8.216926869350862E-4	14	8.216926869350862E-4	9	8.216926869350862E-4	8	8.216926869350862E-4	5	8.216926869350862E-4	4	8.216926869350862E-4	
8	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Adolfo_Farsari	24	0.4129316678912564	16	0.1594415870683321	27	0.08302718589272594	22	0.05143277002204261	19	0.04335047759000735	29	0.03232916972814107	11	0.03085966201322557	10	0.022777369581190303	35	0.020573108008817047	3	0.013960323291697281	28	0.012490815576781777	23	0.012490815576781777	33	0.010286554004408524	46	0.008082292432035268	39	0.008082292432035268	48	0.005878030859662013	44	0.005878030859662013	36	0.005143277002204262	31	0.00440852314474651	18	0.00440852314474651	4	0.0036737692872887582	42	0.0029390154298310064	37	0.0029390154298310064	34	0.0029390154298310064	26	0.0029390154298310064	13	0.0029390154298310064	2	0.0029390154298310064	41	0.002204261572373255	30	0.002204261572373255	14	0.002204261572373255	1	0.002204261572373255	49	0.0014695077149155032	47	0.0014695077149155032	43	0.0014695077149155032	40	0.0014695077149155032	25	0.0014695077149155032	21	0.0014695077149155032	20	0.0014695077149155032	15	0.0014695077149155032	12	0.0014695077149155032	8	0.0014695077149155032	0	0.0014695077149155032	45	7.347538574577516E-4	38	7.347538574577516E-4	32	7.347538574577516E-4	17	7.347538574577516E-4	9	7.347538574577516E-4	7	7.347538574577516E-4	6	7.347538574577516E-4	5	7.347538574577516E-4	
9	file:/Users/jbaxter/Documents/MIT/Spring12/MAS.S60/pnlp-final-project/datasets/en/lowernostop/Adrian_Boult	37	0.5444002650762094	27	0.11597084161696487	16	0.06891981444665342	29	0.0559973492379059	19	0.04440026507620941	11	0.03313452617627568	31	0.017892644135188866	35	0.013916500994035786	22	0.01027170311464546	13	0.008946322067594433	38	0.0066269052352551355	20	0.005964214711729622	30	0.005632869449966865	48	0.005301524188204109	17	0.005301524188204109	39	0.004307488402915839	0	0.003976143141153081	34	0.003644797879390325	25	0.0033134526176275677	5	0.0033134526176275677	32	0.002982107355864811	9	0.002982107355864811	44	0.0026507620941020544	24	0.0026507620941020544	23	0.0026507620941020544	6	0.0026507620941020544	1	0.0026507620941020544	28	0.0023194168323392977	47	0.0016567263088137839	40	0.0016567263088137839	21	0.0013253810470510272	4	0.0013253810470510272	45	9.940357852882703E-4	33	9.940357852882703E-4	10	9.940357852882703E-4	7	9.940357852882703E-4	46	6.626905235255136E-4	43	6.626905235255136E-4	42	6.626905235255136E-4	41	6.626905235255136E-4	26	6.626905235255136E-4	15	6.626905235255136E-4	14	6.626905235255136E-4	12	6.626905235255136E-4	49	3.313452617627568E-4	36	3.313452617627568E-4	18	3.313452617627568E-4	8	3.313452617627568E-4	3	3.313452617627568E-4	2	3.313452617627568E-4	
